clip_path,domain,source_video,duration,sr,label
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0000.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0001.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0002.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0003.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0004.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0005.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0006.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0007.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0008.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0009.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0010.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0011.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0012.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0013.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0014.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0015.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0016.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0017.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0018.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0019.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0020.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0021.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0022.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0023.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0024.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0025.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0026.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0027.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0028.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0029.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0030.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0031.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0032.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0033.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0034.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0035.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0036.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0037.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0038.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0039.wav,broadcast,-94hXndQc8s,10,16000,bonafide
E:\FYP\data\realworld\youtube\broadcast\clips\-94hXndQc8s_clip0040.wav,broadcast,-94hXndQc8s,10,16000,bonafide
