clip_path,domain,source_video,duration,sr,label
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0000.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0001.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0002.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0003.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0004.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0005.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0006.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0007.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0008.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0009.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0010.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0011.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0012.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0013.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0014.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0015.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0016.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0017.wav,podcast,--NqGw9rfNA,10,16000,bonafide
E:\FYP\data\realworld\youtube\podcast\clips\--NqGw9rfNA_clip0018.wav,podcast,--NqGw9rfNA,10,16000,bonafide
