clip_path,domain,source_video,duration,sr,label
clips\7ihOyjFXd08_clip0000.wav,social,7ihOyjFXd08,10,16000,bonafide
clips\7ihOyjFXd08_clip0001.wav,social,7ihOyjFXd08,10,16000,bonafide
clips\sPPfO0aVTj0_clip0000.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0001.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0002.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0003.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0004.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0005.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0006.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0007.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0008.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0009.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0010.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0011.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0012.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0013.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0014.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\sPPfO0aVTj0_clip0015.wav,social,sPPfO0aVTj0,10,16000,bonafide
clips\u4E4gEZrlFU_clip0000.wav,social,u4E4gEZrlFU,10,16000,bonafide
clips\u4E4gEZrlFU_clip0001.wav,social,u4E4gEZrlFU,10,16000,bonafide
clips\u4E4gEZrlFU_clip0002.wav,social,u4E4gEZrlFU,10,16000,bonafide
clips\u4E4gEZrlFU_clip0003.wav,social,u4E4gEZrlFU,10,16000,bonafide
clips\u4E4gEZrlFU_clip0004.wav,social,u4E4gEZrlFU,10,16000,bonafide
clips\u4E4gEZrlFU_clip0005.wav,social,u4E4gEZrlFU,10,16000,bonafide
clips\fxiHgEwJBkM_clip0000.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0001.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0002.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0003.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0004.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0005.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0006.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0007.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0008.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0009.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0010.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0011.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0012.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0013.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0014.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0015.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0016.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0017.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0018.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0019.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0020.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0021.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0022.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0023.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0024.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0025.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0026.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0027.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0028.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0029.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0030.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0031.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0032.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0033.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0034.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0035.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0036.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0037.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0038.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0039.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0040.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0041.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0042.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0043.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0044.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0045.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0046.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0047.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\fxiHgEwJBkM_clip0048.wav,social,fxiHgEwJBkM,10,16000,bonafide
clips\-1OgDPsK2Yk_clip0000.wav,social,-1OgDPsK2Yk,10,16000,bonafide
clips\NERyjLh-U4A_clip0000.wav,social,NERyjLh-U4A,10,16000,bonafide
clips\B7ICNHfXebo_clip0000.wav,social,B7ICNHfXebo,10,16000,bonafide
clips\Um8s15J4LIk_clip0000.wav,social,Um8s15J4LIk,10,16000,bonafide
clips\Rkw0AL3UjvY_clip0000.wav,social,Rkw0AL3UjvY,10,16000,bonafide
