scope,dimension,value,row_count,unique_file_count,row_pct,file_pct,avg_rows_per_file
unified,label,spoof,1573308,1573308,83.0716,83.0716,1.0
unified,label,bonafide,320611,320611,16.9284,16.9284,1.0
unified,attack_type,replay,816480,816480,43.1106,43.1106,1.0
unified,attack_type,conversion,589212,589212,31.1107,31.1107,1.0
unified,attack_type,bonafide,320611,320611,16.9284,16.9284,1.0
unified,attack_type,synthesis,167616,167616,8.8502,8.8502,1.0
unified,dataset,PA,943110,943110,49.7967,49.7967,1.0
unified,dataset,DF,611829,611829,32.3049,32.3049,1.0
unified,dataset,LA,181566,181566,9.5868,9.5868,1.0
unified,dataset,RealWorld,157414,157414,8.3115,8.3115,1.0
unified,domain,studio,1819660,1819660,96.0791,96.0791,1.0
unified,domain,read_speech,28539,28539,1.5069,1.5069,1.0
unified,domain,broadcast,17994,17994,0.9501,0.9501,1.0
unified,domain,podcast,17512,17512,0.9246,0.9246,1.0
unified,domain,social,5712,5712,0.3016,0.3016,1.0
unified,domain,synthetic,4502,4502,0.2377,0.2377,1.0
unified,source,clean,1736505,1736505,91.6885,91.6885,1.0
unified,source,realworld,157414,157414,8.3115,8.3115,1.0
train,label,spoof,1232473,1232473,83.0652,83.0652,1.0
train,label,bonafide,251268,251268,16.9348,16.9348,1.0
train,attack_type,replay,646380,646380,43.5642,43.5642,1.0
train,attack_type,conversion,456417,456417,30.7612,30.7612,1.0
train,attack_type,bonafide,251268,251268,16.9348,16.9348,1.0
train,attack_type,synthesis,129676,129676,8.7398,8.7398,1.0
train,dataset,PA,746550,746550,50.3154,50.3154,1.0
train,dataset,DF,473697,473697,31.9259,31.9259,1.0
train,dataset,LA,140273,140273,9.454,9.454,1.0
train,dataset,RealWorld,123221,123221,8.3048,8.3048,1.0
train,domain,studio,1424330,1424330,95.9959,95.9959,1.0
train,domain,read_speech,22732,22732,1.5321,1.5321,1.0
train,domain,broadcast,14472,14472,0.9754,0.9754,1.0
train,domain,podcast,14035,14035,0.9459,0.9459,1.0
train,domain,social,4580,4580,0.3087,0.3087,1.0
train,domain,synthetic,3592,3592,0.2421,0.2421,1.0
train,source,clean,1360520,1360520,91.6952,91.6952,1.0
train,source,realworld,123221,123221,8.3048,8.3048,1.0
val,label,spoof,125998,125998,80.9735,80.9735,1.0
val,label,bonafide,29606,29606,19.0265,19.0265,1.0
val,attack_type,replay,68040,68040,43.7264,43.7264,1.0
val,attack_type,conversion,42210,42210,27.1266,27.1266,1.0
val,attack_type,bonafide,29606,29606,19.0265,19.0265,1.0
val,attack_type,synthesis,15748,15748,10.1206,10.1206,1.0
val,dataset,PA,77490,77490,49.7995,49.7995,1.0
val,dataset,DF,44100,44100,28.3412,28.3412,1.0
val,dataset,RealWorld,17109,17109,10.9952,10.9952,1.0
val,dataset,LA,16905,16905,10.8641,10.8641,1.0
val,domain,studio,148179,148179,95.2283,95.2283,1.0
val,domain,read_speech,2896,2896,1.8611,1.8611,1.0
val,domain,broadcast,1804,1804,1.1594,1.1594,1.0
val,domain,podcast,1694,1694,1.0887,1.0887,1.0
val,domain,social,578,578,0.3715,0.3715,1.0
val,domain,synthetic,453,453,0.2911,0.2911,1.0
val,source,clean,138495,138495,89.0048,89.0048,1.0
val,source,realworld,17109,17109,10.9952,10.9952,1.0
test,label,spoof,214837,214837,84.3908,84.3908,1.0
test,label,bonafide,39737,39737,15.6092,15.6092,1.0
test,attack_type,replay,102060,102060,40.0905,40.0905,1.0
test,attack_type,conversion,90585,90585,35.583,35.583,1.0
test,attack_type,bonafide,39737,39737,15.6092,15.6092,1.0
test,attack_type,synthesis,22192,22192,8.7173,8.7173,1.0
test,dataset,PA,119070,119070,46.7723,46.7723,1.0
test,dataset,DF,94032,94032,36.937,36.937,1.0
test,dataset,LA,24388,24388,9.5799,9.5799,1.0
test,dataset,RealWorld,17084,17084,6.7108,6.7108,1.0
test,domain,studio,247151,247151,97.0841,97.0841,1.0
test,domain,read_speech,2911,2911,1.1435,1.1435,1.0
test,domain,podcast,1783,1783,0.7004,0.7004,1.0
test,domain,broadcast,1718,1718,0.6749,0.6749,1.0
test,domain,social,554,554,0.2176,0.2176,1.0
test,domain,synthetic,457,457,0.1795,0.1795,1.0
test,source,clean,237490,237490,93.2892,93.2892,1.0
test,source,realworld,17084,17084,6.7108,6.7108,1.0
