filepath,dataset,label,attack_type,domain,file_exists,checked_path
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2012593.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2012593.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5630776.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5630776.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5545353.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5545353.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6608427.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6608427.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2141937.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2141937.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9195762.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9195762.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_1694115.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_1694115.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4483061.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4483061.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9800187.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9800187.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9415062.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9415062.wav
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4825678.wav,DF,spoof,conversion,studio,True,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4825678.wav
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2061663.wav,DF,spoof,conversion,studio,True,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2061663.wav
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4790228.wav,DF,spoof,conversion,studio,True,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4790228.wav
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4439049.wav,DF,spoof,conversion,studio,True,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4439049.wav
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4595770.wav,DF,spoof,conversion,studio,True,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4595770.wav
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4917761.wav,DF,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4917761.wav
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2041786.wav,DF,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2041786.wav
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4866070.wav,DF,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4866070.wav
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4362130.wav,DF,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4362130.wav
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4734099.wav,DF,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4734099.wav
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9731970.wav,PA,spoof,replay,studio,True,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9731970.wav
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1033013.wav,PA,spoof,replay,studio,True,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1033013.wav
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9938366.wav,PA,spoof,replay,studio,True,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9938366.wav
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8913539.wav,PA,spoof,replay,studio,True,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8913539.wav
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9913700.wav,PA,spoof,replay,studio,True,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9913700.wav
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9709158.wav,PA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9709158.wav
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1052160.wav,PA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1052160.wav
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9895850.wav,PA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9895850.wav
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9161097.wav,PA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9161097.wav
