chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.6957605985037406,True,0.9855521321296692,"[0.16583196818828583, 0.07925684005022049, 0.7549111247062683, 5.219757460463159e-13]",conversion,"{'rt60': 1.6, 'drr': 0.21117185056209564, 'snr': 13.843537330627441, 'background_level': -30.82598114013672, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.752443150404917, 'spectral_flatness': 0.049792297184467316, 'spectral_rolloff': 3619.1716269841268, 'cleanliness_score': 0.0, 'high_freq_content': 0.03591763228178024, 'background_consistency': 0.6545865535736084, 'env_stability': 0.5}"
1,3.0,7.0,True,0.5635910224438903,True,0.01962496154010296,"[0.9784935116767883, 0.021282585337758064, 0.00022384568001143634, 1.1450141812474612e-07]",bonafide,"{'rt60': 0.0, 'drr': 0.222484290599823, 'snr': 21.308879852294922, 'background_level': -75.22782897949219, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8390411357717417, 'spectral_flatness': 0.036722756922245026, 'spectral_rolloff': 3097.718253968254, 'cleanliness_score': 0.3, 'high_freq_content': 0.030097084119915962, 'background_consistency': 0.5008426904678345, 'env_stability': 0.5}"
2,6.0,10.0,True,0.6084788029925187,True,0.0991208553314209,"[0.9215439558029175, 0.07683616876602173, 0.0016197963850572705, 3.340643317528702e-08]",bonafide,"{'rt60': 0.832, 'drr': 0.19162246584892273, 'snr': 16.082271575927734, 'background_level': -38.48598861694336, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0163598046492173, 'spectral_flatness': 0.026615038514137268, 'spectral_rolloff': 2766.9270833333335, 'cleanliness_score': 0.0, 'high_freq_content': 0.01834784634411335, 'background_consistency': 0.5030339956283569, 'env_stability': 0.5}"
3,9.0,13.0,True,0.5610972568578554,True,0.001960835652425885,"[0.9985517859458923, 0.0014381209621205926, 1.0075987120217178e-05, 5.194486618620431e-09]",bonafide,"{'rt60': 0.0, 'drr': 0.18020306527614594, 'snr': 26.524776458740234, 'background_level': -75.85902404785156, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6955189399834487, 'spectral_flatness': 0.038707174360752106, 'spectral_rolloff': 3225.3844246031745, 'cleanliness_score': 0.3, 'high_freq_content': 0.05840403586626053, 'background_consistency': 0.6085757613182068, 'env_stability': 0.5}"
4,12.0,16.0,True,0.8129675810473815,True,0.1881747543811798,"[0.954402506351471, 0.03265785798430443, 0.012939754873514175, 1.0307234177275859e-08]",bonafide,"{'rt60': 0.0, 'drr': 0.2211904227733612, 'snr': 8.767891883850098, 'background_level': -25.450571060180664, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0866388948170895, 'spectral_flatness': 0.01985282264649868, 'spectral_rolloff': 2529.7619047619046, 'cleanliness_score': 0.0, 'high_freq_content': 0.019129682332277298, 'background_consistency': 0.8457240462303162, 'env_stability': 0.5}"
5,15.0,19.0,True,0.571072319201995,True,0.958304226398468,"[0.01696718856692314, 0.00027424906147643924, 0.9827585816383362, 1.0621098591552178e-13]",conversion,"{'rt60': 0.0, 'drr': 0.2583025097846985, 'snr': 15.398378372192383, 'background_level': -36.33564376831055, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1320805114483212, 'spectral_flatness': 0.017590167000889778, 'spectral_rolloff': 3023.499503968254, 'cleanliness_score': 0.0, 'high_freq_content': 0.013757088221609592, 'background_consistency': 0.5068178772926331, 'env_stability': 1.0}"
6,18.0,22.0,True,0.5610972568578554,True,1.0,"[2.278828930002419e-07, 8.25337167498219e-08, 0.9999996423721313, 1.85048669438197e-28]",conversion,"{'rt60': 0.0, 'drr': 0.19735479354858398, 'snr': 11.00389575958252, 'background_level': -33.21108627319336, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.084315656128457, 'spectral_flatness': 0.02492801658809185, 'spectral_rolloff': 3013.2688492063494, 'cleanliness_score': 0.0, 'high_freq_content': 0.005550890229642391, 'background_consistency': 0.659339189529419, 'env_stability': 1.0}"
7,21.0,25.0,True,0.6907730673316709,True,0.973036527633667,"[0.03986062854528427, 0.8840469121932983, 0.07608669996261597, 5.818910722155124e-06]",synthesis,"{'rt60': 0.0, 'drr': 0.21950426697731018, 'snr': 7.642426490783691, 'background_level': -29.101909637451172, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.3090552344292865, 'spectral_flatness': 0.008913181722164154, 'spectral_rolloff': 2410.9623015873017, 'cleanliness_score': 0.0, 'high_freq_content': 0.0009331683395430446, 'background_consistency': 0.7381579875946045, 'env_stability': 1.0}"
8,24.0,28.0,True,0.5985037406483791,True,0.9954439401626587,"[0.010600510984659195, 0.00871974229812622, 0.9806797504425049, 1.0904266378730654e-09]",conversion,"{'rt60': 0.0, 'drr': 0.21227887272834778, 'snr': 6.782247543334961, 'background_level': -29.807893753051758, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1913549817024984, 'spectral_flatness': 0.017991231754422188, 'spectral_rolloff': 2835.689484126984, 'cleanliness_score': 0.0, 'high_freq_content': 0.0023237636778503656, 'background_consistency': 0.7264062762260437, 'env_stability': 1.0}"
9,27.0,31.0,True,0.5985037406483791,True,0.005980330053716898,"[0.9978787899017334, 0.001975896768271923, 0.0001453875156585127, 2.130694376489828e-08]",bonafide,"{'rt60': 2.112, 'drr': 0.20056620240211487, 'snr': 13.698587417602539, 'background_level': -31.512531280517578, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8983082943868386, 'spectral_flatness': 0.03248728811740875, 'spectral_rolloff': 3007.626488095238, 'cleanliness_score': 0.0, 'high_freq_content': 0.02611977979540825, 'background_consistency': 0.9648125171661377, 'env_stability': 0.5}"
