chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.6209476309226932,True,0.8933094143867493,"[0.09589604288339615, 0.8183643817901611, 0.08218459039926529, 0.0035549565218389034]",synthesis,"{'rt60': 0.0, 'drr': 0.3003949820995331, 'snr': 6.16825532913208, 'background_level': -28.695526123046875, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.4841475650516196, 'spectral_flatness': 0.06679435074329376, 'spectral_rolloff': 4665.860615079365, 'cleanliness_score': 0.0, 'high_freq_content': 0.2097165584564209, 'background_consistency': 0.9331691861152649, 'env_stability': 1.0}"
1,3.0,7.0,True,0.6533665835411472,True,0.9941232800483704,"[0.0018743486143648624, 0.9978519678115845, 0.0002732084831222892, 4.54661432058856e-07]",synthesis,"{'rt60': 0.0, 'drr': 0.34751462936401367, 'snr': 5.2070183753967285, 'background_level': -27.784286499023438, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.4614884013896156, 'spectral_flatness': 0.06947939842939377, 'spectral_rolloff': 4766.617063492064, 'cleanliness_score': 0.0, 'high_freq_content': 0.251586377620697, 'background_consistency': 0.9643763303756714, 'env_stability': 1.0}"
2,6.0,10.0,True,0.5361596009975063,True,0.9222726225852966,"[0.07269369810819626, 0.8705845475196838, 0.05661391466856003, 0.0001078065179171972]",synthesis,"{'rt60': 0.0, 'drr': 0.3062424659729004, 'snr': 7.0498151779174805, 'background_level': -29.80472183227539, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6097213772862463, 'spectral_flatness': 0.05883006751537323, 'spectral_rolloff': 4459.511408730159, 'cleanliness_score': 0.0, 'high_freq_content': 0.14213816821575165, 'background_consistency': 0.8015899062156677, 'env_stability': 1.0}"
3,9.0,13.0,True,0.6733167082294265,True,0.8588370084762573,"[0.10822765529155731, 0.8753019571304321, 0.01637187786400318, 9.849828347796574e-05]",synthesis,"{'rt60': 0.0, 'drr': 0.3052014708518982, 'snr': 5.72031307220459, 'background_level': -28.097820281982422, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.50425331175436, 'spectral_flatness': 0.06417997181415558, 'spectral_rolloff': 4701.512896825397, 'cleanliness_score': 0.0, 'high_freq_content': 0.18435531854629517, 'background_consistency': 0.9533853530883789, 'env_stability': 1.0}"
4,12.0,16.0,True,0.6359102244389028,True,0.7478001117706299,"[0.13255298137664795, 0.8052732348442078, 0.053765859454870224, 0.00840788520872593]",synthesis,"{'rt60': 0.0, 'drr': 0.3157334625720978, 'snr': 6.221890926361084, 'background_level': -29.49746322631836, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6248789270149798, 'spectral_flatness': 0.054076310247182846, 'spectral_rolloff': 4407.738095238095, 'cleanliness_score': 0.0, 'high_freq_content': 0.1293720006942749, 'background_consistency': 0.9034220576286316, 'env_stability': 1.0}"
5,15.0,19.0,True,0.6932668329177057,True,0.060363005846738815,"[0.939778208732605, 0.05729885399341583, 0.00042985923937521875, 0.0024930702056735754]",bonafide,"{'rt60': 0.0, 'drr': 0.30968305468559265, 'snr': 4.819709777832031, 'background_level': -27.633983612060547, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5454699794786383, 'spectral_flatness': 0.07971325516700745, 'spectral_rolloff': 4933.4077380952385, 'cleanliness_score': 0.0, 'high_freq_content': 0.13672542572021484, 'background_consistency': 0.8918495774269104, 'env_stability': 1.0}"
6,18.0,22.0,True,0.456359102244389,True,0.2221933901309967,"[0.6662137508392334, 0.18231064081192017, 0.0015109573723748326, 0.14996466040611267]",bonafide,"{'rt60': 0.0, 'drr': 0.29382383823394775, 'snr': 7.003929138183594, 'background_level': -30.732215881347656, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6211981142716624, 'spectral_flatness': 0.06696993112564087, 'spectral_rolloff': 4736.173115079365, 'cleanliness_score': 0.0, 'high_freq_content': 0.13947243988513947, 'background_consistency': 0.8797294497489929, 'env_stability': 1.0}"
7,21.0,25.0,True,0.7605985037406484,True,0.15380319952964783,"[0.7260509729385376, 0.2654091715812683, 0.001644256291911006, 0.006895589642226696]",bonafide,"{'rt60': 0.0, 'drr': 0.28761768341064453, 'snr': 4.099002838134766, 'background_level': -26.12626838684082, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5143746226486121, 'spectral_flatness': 0.06373170018196106, 'spectral_rolloff': 4938.492063492064, 'cleanliness_score': 0.0, 'high_freq_content': 0.17024588584899902, 'background_consistency': 0.9794642925262451, 'env_stability': 1.0}"
8,24.0,28.0,True,0.7007481296758105,True,0.0466814786195755,"[0.9310967326164246, 0.06744842231273651, 0.00046797521645203233, 0.0009868411580100656]",bonafide,"{'rt60': 0.0, 'drr': 0.34016773104667664, 'snr': 4.5850067138671875, 'background_level': -27.641679763793945, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.619276372009174, 'spectral_flatness': 0.05868890881538391, 'spectral_rolloff': 4463.975694444444, 'cleanliness_score': 0.0, 'high_freq_content': 0.13640794157981873, 'background_consistency': 0.9218354821205139, 'env_stability': 1.0}"
9,27.0,31.0,True,0.4763092269326683,True,0.9564311504364014,"[0.08326335996389389, 0.8625552654266357, 0.054180506616830826, 8.111529723464628e-07]",synthesis,"{'rt60': 0.0, 'drr': 0.308200478553772, 'snr': 5.980689525604248, 'background_level': -30.504438400268555, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6164033463594021, 'spectral_flatness': 0.061105553060770035, 'spectral_rolloff': 4352.864583333333, 'cleanliness_score': 0.0, 'high_freq_content': 0.17457467317581177, 'background_consistency': 0.9340808987617493, 'env_stability': 1.0}"
