chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.5985037406483791,True,0.9999990463256836,"[4.507817266130587e-06, 4.714230783520179e-07, 0.9999949932098389, 3.0410492370144763e-26]",conversion,"{'rt60': 0.96, 'drr': 0.2455584704875946, 'snr': 19.33489990234375, 'background_level': -52.14091491699219, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9765121869794325, 'spectral_flatness': 0.02715119533240795, 'spectral_rolloff': 3544.9528769841268, 'cleanliness_score': 0.0, 'high_freq_content': 0.0037236905191093683, 'background_consistency': 0.5140369534492493, 'env_stability': 0.5}"
1,3.0,7.0,True,0.6159600997506235,True,0.9972637891769409,"[0.00262076617218554, 0.0002574716054368764, 0.9971217513084412, 2.2329485202495826e-16]",conversion,"{'rt60': 0.0, 'drr': 0.1525159627199173, 'snr': 16.315505981445312, 'background_level': -45.76778030395508, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9130603375327624, 'spectral_flatness': 0.018789980560541153, 'spectral_rolloff': 2858.1349206349205, 'cleanliness_score': 0.0, 'high_freq_content': 0.006930303294211626, 'background_consistency': 0.5159592032432556, 'env_stability': 0.5}"
2,6.0,10.0,True,0.43640897755610975,True,0.0697949230670929,"[0.9187754988670349, 0.07888283580541611, 0.002340549137443304, 1.0442481652717106e-06]",bonafide,"{'rt60': 3.008, 'drr': 0.1580970287322998, 'snr': 39.62881088256836, 'background_level': -79.32067108154297, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0520295642175976, 'spectral_flatness': 0.025412628427147865, 'spectral_rolloff': 3401.847718253968, 'cleanliness_score': 0.3, 'high_freq_content': 0.0028500619810074568, 'background_consistency': 0.5010457038879395, 'env_stability': 0.5}"
3,9.0,13.0,True,0.5635910224438903,True,0.03358950465917587,"[0.966662585735321, 0.03212236985564232, 0.0012119235470890999, 3.111548267042963e-06]",bonafide,"{'rt60': 0.512, 'drr': 0.16987018287181854, 'snr': 26.555095672607422, 'background_level': -79.54215240478516, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0339137399087142, 'spectral_flatness': 0.01428022887557745, 'spectral_rolloff': 3558.59375, 'cleanliness_score': 0.3, 'high_freq_content': 0.007034364156424999, 'background_consistency': 0.500521183013916, 'env_stability': 1.0}"
4,12.0,16.0,True,0.5860349127182045,True,0.00013289992057252675,"[0.9999858140945435, 1.4119087609287817e-05, 1.0673701922314649e-08, 3.236760193203736e-08]",bonafide,"{'rt60': 0.0, 'drr': 0.2256409376859665, 'snr': 14.771767616271973, 'background_level': -41.625, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.869367574722103, 'spectral_flatness': 0.02955661714076996, 'spectral_rolloff': 3397.0114087301586, 'cleanliness_score': 0.0, 'high_freq_content': 0.011012515984475613, 'background_consistency': 0.5609451532363892, 'env_stability': 0.5}"
5,15.0,19.0,True,0.5411471321695761,True,0.9886900782585144,"[0.06500175595283508, 0.10186342895030975, 0.8331348299980164, 2.3970588968608153e-12]",conversion,"{'rt60': 0.0, 'drr': 0.20834937691688538, 'snr': 25.49852752685547, 'background_level': -75.43965911865234, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8735300770843591, 'spectral_flatness': 0.024531591683626175, 'spectral_rolloff': 3715.7738095238096, 'cleanliness_score': 0.3, 'high_freq_content': 0.013183039613068104, 'background_consistency': 0.5010203123092651, 'env_stability': 0.5}"
6,18.0,22.0,True,0.6583541147132169,True,0.1870584338903427,"[0.8949704170227051, 0.08422648161649704, 0.02080247364938259, 5.979763955110684e-07]",bonafide,"{'rt60': 0.0, 'drr': 0.2694571614265442, 'snr': 12.350617408752441, 'background_level': -36.613441467285156, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7222689817168257, 'spectral_flatness': 0.023240214213728905, 'spectral_rolloff': 3925.967261904762, 'cleanliness_score': 0.0, 'high_freq_content': 0.018350066617131233, 'background_consistency': 0.9615143537521362, 'env_stability': 0.5}"
7,21.0,25.0,True,0.5835411471321695,True,0.0001809357781894505,"[0.9999223947525024, 7.752412784611806e-05, 5.0918153249313036e-08, 8.797868389365249e-08]",bonafide,"{'rt60': 1.44, 'drr': 0.255323201417923, 'snr': 16.26717758178711, 'background_level': -40.53378677368164, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8690508141514243, 'spectral_flatness': 0.028898341581225395, 'spectral_rolloff': 3473.4002976190477, 'cleanliness_score': 0.0, 'high_freq_content': 0.009583376348018646, 'background_consistency': 0.8958125114440918, 'env_stability': 0.5}"
8,24.0,28.0,True,0.6159600997506235,True,0.3247170150279999,"[0.7822824120521545, 0.1958698034286499, 0.021847594529390335, 1.8419733294194884e-07]",bonafide,"{'rt60': 1.888, 'drr': 0.3050690293312073, 'snr': 17.33576202392578, 'background_level': -48.983707427978516, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8601280807899137, 'spectral_flatness': 0.019092509523034096, 'spectral_rolloff': 3477.8645833333335, 'cleanliness_score': 0.0, 'high_freq_content': 0.010605410672724247, 'background_consistency': 0.5017607808113098, 'env_stability': 0.5}"
9,27.0,31.0,True,0.6309226932668329,True,0.0008592476369813085,"[0.998853325843811, 0.0011402155505493283, 6.369191851263167e-06, 1.3745415117227822e-07]",bonafide,"{'rt60': 0.0, 'drr': 0.24319599568843842, 'snr': 15.528336524963379, 'background_level': -39.957313537597656, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.725117253235603, 'spectral_flatness': 0.02191876992583275, 'spectral_rolloff': 4015.376984126984, 'cleanliness_score': 0.0, 'high_freq_content': 0.014691666699945927, 'background_consistency': 0.5035463571548462, 'env_stability': 0.5}"
