chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.5561097256857855,True,1.0,"[1.2973169630572934e-12, 0.9810219407081604, 0.01897803694009781, 1.4520766987459077e-29]",synthesis,"{'rt60': 0.0, 'drr': 0.23959721624851227, 'snr': 6.757656097412109, 'background_level': -23.340660095214844, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.3602786441272934, 'spectral_flatness': 0.006900462321937084, 'spectral_rolloff': 2588.9756944444443, 'cleanliness_score': 0.0, 'high_freq_content': 0.0006365168374031782, 'background_consistency': 0.8801560401916504, 'env_stability': 1.0}"
1,3.0,7.0,True,0.6234413965087282,True,1.0,"[5.0298762550859966e-12, 0.9999992847442627, 7.112436719580728e-07, 2.1516742858867614e-22]",synthesis,"{'rt60': 0.0, 'drr': 0.2489369660615921, 'snr': 9.473613739013672, 'background_level': -26.436899185180664, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.342098625691017, 'spectral_flatness': 0.010283801704645157, 'spectral_rolloff': 2630.5183531746034, 'cleanliness_score': 0.0, 'high_freq_content': 0.0008221946773119271, 'background_consistency': 0.6876378655433655, 'env_stability': 1.0}"
2,6.0,10.0,True,0.600997506234414,True,1.0,"[8.758887712345675e-12, 1.4624282812292222e-05, 0.9999853372573853, 4.533211051157413e-28]",conversion,"{'rt60': 0.0, 'drr': 0.2402615249156952, 'snr': 11.130359649658203, 'background_level': -26.62764549255371, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.3266184195603508, 'spectral_flatness': 0.00944198202341795, 'spectral_rolloff': 2482.5148809523807, 'cleanliness_score': 0.0, 'high_freq_content': 0.0006975833093747497, 'background_consistency': 0.6572595834732056, 'env_stability': 1.0}"
3,9.0,13.0,True,0.5935162094763092,True,1.0,"[3.2798794791233377e-08, 0.9995478987693787, 0.0004520923539530486, 4.1649218821424787e-17]",synthesis,"{'rt60': 0.0, 'drr': 0.22577010095119476, 'snr': 13.195480346679688, 'background_level': -28.98332977294922, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.4230857017355059, 'spectral_flatness': 0.009200041182339191, 'spectral_rolloff': 2417.782738095238, 'cleanliness_score': 0.0, 'high_freq_content': 0.00031727523310109973, 'background_consistency': 0.733691930770874, 'env_stability': 1.0}"
4,12.0,16.0,True,0.5835411471321695,True,1.0,"[3.2501060176493013e-10, 0.07107366621494293, 0.9289263486862183, 8.058712706924735e-24]",conversion,"{'rt60': 0.0, 'drr': 0.19571763277053833, 'snr': 12.49287223815918, 'background_level': -29.333965301513672, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.3320884057168298, 'spectral_flatness': 0.01038696151226759, 'spectral_rolloff': 2666.7906746031745, 'cleanliness_score': 0.0, 'high_freq_content': 0.00035618743277154863, 'background_consistency': 0.8799080848693848, 'env_stability': 1.0}"
5,15.0,19.0,True,0.6758104738154613,True,1.0,"[9.263874389819904e-12, 0.9858275651931763, 0.014172364957630634, 1.3873545169435311e-27]",synthesis,"{'rt60': 0.0, 'drr': 0.2474021017551422, 'snr': 9.105594635009766, 'background_level': -24.750736236572266, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.430915589597672, 'spectral_flatness': 0.005522913299500942, 'spectral_rolloff': 2363.033234126984, 'cleanliness_score': 0.0, 'high_freq_content': 0.0001895156892715022, 'background_consistency': 0.8932067155838013, 'env_stability': 1.0}"
6,18.0,22.0,True,0.6059850374064838,True,1.0,"[7.303061692713608e-13, 1.0, 1.5680429177322708e-09, 2.6157728946785524e-22]",synthesis,"{'rt60': 0.0, 'drr': 0.2994835078716278, 'snr': 7.224674701690674, 'background_level': -23.086454391479492, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.4021131848179464, 'spectral_flatness': 0.005767344497144222, 'spectral_rolloff': 2368.3655753968255, 'cleanliness_score': 0.0, 'high_freq_content': 0.00036026243469677866, 'background_consistency': 0.6951853036880493, 'env_stability': 1.0}"
7,21.0,25.0,True,0.6907730673316709,True,1.0,"[9.921513751624117e-14, 0.9504110217094421, 0.04958902671933174, 9.025666030804303e-33]",synthesis,"{'rt60': 0.0, 'drr': 0.23646457493305206, 'snr': 5.7626142501831055, 'background_level': -21.185379028320312, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.3701681265044556, 'spectral_flatness': 0.005573628935962915, 'spectral_rolloff': 2480.46875, 'cleanliness_score': 0.0, 'high_freq_content': 0.0005468138260766864, 'background_consistency': 0.9642091393470764, 'env_stability': 1.0}"
8,24.0,28.0,True,0.713216957605985,True,1.0,"[6.095539654624171e-13, 0.9989515542984009, 0.001048469333909452, 2.0839375073018676e-33]",synthesis,"{'rt60': 0.0, 'drr': 0.187199667096138, 'snr': 6.660079002380371, 'background_level': -20.621774673461914, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.4030209008827064, 'spectral_flatness': 0.0057515306398272514, 'spectral_rolloff': 2541.6666666666665, 'cleanliness_score': 0.0, 'high_freq_content': 0.00048213478294201195, 'background_consistency': 0.699672520160675, 'env_stability': 1.0}"
9,27.0,31.0,True,0.6034912718204489,True,1.0,"[3.074695446164677e-12, 0.9999972581863403, 2.747854296103469e-06, 8.964140007421303e-27]",synthesis,"{'rt60': 0.0, 'drr': 0.22201958298683167, 'snr': 8.70073127746582, 'background_level': -24.54144287109375, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.2577544746706137, 'spectral_flatness': 0.009011968970298767, 'spectral_rolloff': 2753.1001984126983, 'cleanliness_score': 0.0, 'high_freq_content': 0.0009990617400035262, 'background_consistency': 0.966457188129425, 'env_stability': 1.0}"
