chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.57356608478803,True,0.9999982118606567,"[0.000244696595473215, 0.8747205138206482, 0.12503477931022644, 3.3406138098823757e-12]",synthesis,"{'rt60': 0.0, 'drr': 0.19166915118694305, 'snr': 16.16145133972168, 'background_level': -32.538734436035156, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.4787794229600475, 'spectral_flatness': 0.015658928081393242, 'spectral_rolloff': 2389.6329365079364, 'cleanliness_score': 0.0, 'high_freq_content': 0.00035930299782194197, 'background_consistency': 0.6052974462509155, 'env_stability': 0.5}"
1,3.0,7.0,True,0.6134663341645885,True,0.9999969005584717,"[5.23972739756573e-05, 3.629452839959413e-05, 0.9999113082885742, 3.81856845564897e-18]",conversion,"{'rt60': 0.0, 'drr': 0.20965921878814697, 'snr': 14.589611053466797, 'background_level': -34.88079071044922, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.4891780430621884, 'spectral_flatness': 0.016192562878131866, 'spectral_rolloff': 2076.8229166666665, 'cleanliness_score': 0.0, 'high_freq_content': 0.0005420807865448296, 'background_consistency': 0.5921488404273987, 'env_stability': 0.5}"
2,6.0,10.0,True,0.7231920199501247,True,1.0,"[6.328072998940115e-08, 1.3320251355253276e-06, 0.9999985694885254, 7.277136309702881e-27]",conversion,"{'rt60': 0.0, 'drr': 0.22847245633602142, 'snr': 8.503658294677734, 'background_level': -24.632022857666016, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.6625489467613497, 'spectral_flatness': 0.005560720805078745, 'spectral_rolloff': 1807.6016865079366, 'cleanliness_score': 0.0, 'high_freq_content': 0.0005358763155527413, 'background_consistency': 0.8817380666732788, 'env_stability': 0.5}"
3,9.0,13.0,True,0.7331670822942643,True,1.0,"[9.105831964006939e-07, 1.0036944608771137e-08, 0.9999990463256836, 9.274461054907535e-28]",conversion,"{'rt60': 0.0, 'drr': 0.21177592873573303, 'snr': 8.66951847076416, 'background_level': -25.060014724731445, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.5267387372618224, 'spectral_flatness': 0.009315205737948418, 'spectral_rolloff': 1930.3075396825398, 'cleanliness_score': 0.0, 'high_freq_content': 0.0006197249167598784, 'background_consistency': 0.9663267135620117, 'env_stability': 0.5}"
4,12.0,16.0,True,0.6109725685785536,True,0.9996387958526611,"[0.0014657290885224938, 0.0014714658027514815, 0.9970627427101135, 9.998513281694269e-15]",conversion,"{'rt60': 0.0, 'drr': 0.3828890025615692, 'snr': 10.689617156982422, 'background_level': -26.40958023071289, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.3436804950090389, 'spectral_flatness': 0.008723770268261433, 'spectral_rolloff': 2365.5753968253966, 'cleanliness_score': 0.0, 'high_freq_content': 0.0008102980209514499, 'background_consistency': 0.5625858306884766, 'env_stability': 0.5}"
5,15.0,19.0,True,0.7032418952618454,True,0.9955229759216309,"[0.0123663991689682, 0.9355689883232117, 0.05206448584794998, 1.381237240138944e-07]",synthesis,"{'rt60': 0.0, 'drr': 0.26790687441825867, 'snr': 9.288923263549805, 'background_level': -23.515941619873047, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.4742830693684026, 'spectral_flatness': 0.006607348565012217, 'spectral_rolloff': 1947.9166666666667, 'cleanliness_score': 0.0, 'high_freq_content': 0.0004899888881482184, 'background_consistency': 0.8124278783798218, 'env_stability': 0.5}"
6,18.0,22.0,True,0.5835411471321695,True,1.0,"[6.666763061741188e-12, 2.933583733971798e-16, 1.0, 0.0]",conversion,"{'rt60': 0.0, 'drr': 0.20262466371059418, 'snr': 11.947026252746582, 'background_level': -27.577543258666992, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.2834488398079273, 'spectral_flatness': 0.013543636538088322, 'spectral_rolloff': 2258.370535714286, 'cleanliness_score': 0.0, 'high_freq_content': 0.001006400678306818, 'background_consistency': 0.8671891093254089, 'env_stability': 0.5}"
7,21.0,25.0,True,0.5985037406483791,True,1.0,"[7.647448001080193e-06, 0.08670870959758759, 0.91328364610672, 2.1077491758859655e-17]",conversion,"{'rt60': 0.0, 'drr': 0.25855255126953125, 'snr': 9.416009902954102, 'background_level': -26.669893264770508, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.3398004028290567, 'spectral_flatness': 0.013013014569878578, 'spectral_rolloff': 2386.0367063492063, 'cleanliness_score': 0.0, 'high_freq_content': 0.0014612618833780289, 'background_consistency': 0.9923422932624817, 'env_stability': 0.5}"
8,24.0,28.0,True,0.6259351620947631,True,1.0,"[2.7903007904228616e-08, 1.3200304564697785e-11, 1.0, 5.8366505173368036e-36]",conversion,"{'rt60': 0.0, 'drr': 0.23682400584220886, 'snr': 10.195174217224121, 'background_level': -27.152528762817383, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.3292506363588599, 'spectral_flatness': 0.014100762084126472, 'spectral_rolloff': 2489.3353174603176, 'cleanliness_score': 0.0, 'high_freq_content': 0.0015909583307802677, 'background_consistency': 0.8173884749412537, 'env_stability': 0.5}"
9,27.0,31.0,True,0.6159600997506235,True,1.0,"[4.959279976901598e-06, 1.1621107660175767e-05, 0.9999834299087524, 5.4451457955033174e-21]",conversion,"{'rt60': 0.0, 'drr': 0.27879318594932556, 'snr': 11.657970428466797, 'background_level': -29.79642105102539, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.4788908849267393, 'spectral_flatness': 0.004815571941435337, 'spectral_rolloff': 1978.8566468253969, 'cleanliness_score': 0.0, 'high_freq_content': 0.0004423033387865871, 'background_consistency': 0.5627519488334656, 'env_stability': 0.5}"
