manipulation_type,source_origin,split,variant_id,total,status_ai_replay_detected,status_ai_replay_file_level_missed_but_segment_suspicious,avg_decision_score,avg_suspicious_chunk_ratio,avg_max_chunk_spoof,partial_detection_rate,status_direct_ai_file_level_missed_but_segment_suspicious,status_direct_ai_missed,status_clean_human_false_alarm,status_clean_human_accepted,status_clean_human_borderline,status_human_replay_manipulation_detected,status_ai_mixer_detected,status_human_mixer_manipulation_detected,status_partial_fabrication_missed,status_partial_fabrication_detected
ai_replay,ai,test,ai_replay_laptop_mobile,4,3.0,1.0,0.7295138888888889,0.7295138888888889,0.998628556728363,,,,,,,,,,,
ai_replay,ai,train,ai_replay_laptop_mobile,16,11.0,5.0,0.6976254801162889,0.6976254801162889,0.9984716288745403,,,,,,,,,,,
ai_replay,ai,val,ai_replay_laptop_mobile,3,1.0,2.0,0.6759615384615385,0.6759615384615385,0.9957349101702372,,,,,,,,,,,
clean_direct,ai,test,ai_direct,4,,,0.26707516339869275,0.26707516339869275,0.9202085584402084,,3.0,1.0,,,,,,,,
clean_direct,ai,train,ai_direct,16,,,0.29845397147786856,0.29845397147786856,0.8683167420094833,,13.0,3.0,,,,,,,,
clean_direct,ai,val,ai_direct,3,,,0.4139433551198257,0.4139433551198257,0.9993148048718771,,3.0,,,,,,,,,
clean_direct,human,test,human_clean,4,,,0.6511904761904761,0.6511904761904761,0.9221758842468262,,,,2.0,2.0,,,,,,
clean_direct,human,train,human_clean,16,,,0.892817599067599,0.892817599067599,0.9998125843703747,,,,13.0,1.0,2.0,,,,,
clean_direct,human,val,human_clean,3,,,0.8611111111111112,0.8611111111111112,0.9985589782396952,,,,2.0,1.0,,,,,,
human_replay,human,test,human_replay_laptop_mobile,4,,,1.0,1.0,0.999986857175827,,,,,,,4.0,,,,
human_replay,human,train,human_replay_laptop_mobile,16,,,0.9595170454545454,0.9595170454545454,0.9982957132160664,,,,,,,16.0,,,,
human_replay,human,val,human_replay_laptop_mobile,3,,,1.0,1.0,0.9999999602635702,,,,,,,3.0,,,,
mixer_processed,ai,test,ai_mixer_processed,4,,,1.0,1.0,1.0,,,,,,,,4.0,,,
mixer_processed,ai,train,ai_mixer_processed,16,,,1.0,1.0,1.0,,,,,,,,16.0,,,
mixer_processed,ai,val,ai_mixer_processed,3,,,1.0,1.0,1.0,,,,,,,,3.0,,,
mixer_processed,human,test,human_mixer_processed,4,,,0.9833333333333333,0.9833333333333333,0.9999952912330627,,,,,,,,,4.0,,
mixer_processed,human,train,human_mixer_processed,16,,,0.9777462121212122,0.9777462121212122,0.9999999180436134,,,,,,,,,16.0,,
mixer_processed,human,val,human_mixer_processed,3,,,1.0,1.0,1.0,,,,,,,,,3.0,,
partial_ai_insert,mixed,test,ai_fabricated,4,,,0.4495614035087719,0.4495614035087719,0.9999214261770248,0.75,,,,,,,,,1.0,3.0
partial_ai_insert,mixed,test,human_fabricated,4,,,0.5940709617180205,0.5940709617180205,0.9810989499092102,0.5,,,,,,,,,2.0,2.0
partial_ai_insert,mixed,train,ai_fabricated,16,,,0.39202887084320903,0.39202887084320903,0.9999009892344475,1.0,,,,,,,,,,16.0
partial_ai_insert,mixed,train,human_fabricated,16,,,0.7701349374095118,0.7701349374095118,0.9986198581755161,1.0,,,,,,,,,,16.0
partial_ai_insert,mixed,val,ai_fabricated,3,,,0.5071010860484544,0.5071010860484544,0.9999999602635702,1.0,,,,,,,,,,3.0
partial_ai_insert,mixed,val,human_fabricated,3,,,0.7246345029239766,0.7246345029239766,0.998542070388794,1.0,,,,,,,,,,3.0
