sample_id,audio_path,base_id,variant_id,speaker_id,speaker_gender,language,source_origin,manipulation_type,ground_truth_origin,ground_truth_manipulation,origin_label,manipulation_label,attack_hint,risk_level,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,split,split_group_id,prediction,confidence,decision_score,effective_threshold,attack_type,attack_type_conf,bonafide_prob,synthesis_prob,conversion_prob,replay_prob,n_chunks_used,n_chunks_total,suspicious_chunk_count,suspicious_chunk_ratio,max_chunk_spoof,mean_chunk_spoof,median_chunk_spoof,dominant_chunk_attack,n_chunks_inside,n_chunks_outside,inside_region_avg_spoof,outside_region_avg_spoof,inside_region_max_spoof,outside_region_max_spoof,inside_region_dominant_attack,outside_region_dominant_attack,partial_region_detected,baseline_status,final_baseline_interpretation,error
human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,base_001,human_clean,speaker_001,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_001,FAKE,0.9230769230769232,0.9230769230769232,0.7,synthesis,0.667110800743103,0.0875894129276275,0.667110800743103,0.2452349960803985,6.483356264652684e-05,13,13,12,0.9230769230769232,0.9999924898147584,0.9058481065126566,0.9987840056419371,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.923).,
human_002_clean,data/phase7c1/raw/human_clean/human_002_clean.wav,base_002,human_clean,speaker_002,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_002,FAKE,1.0,1.0,0.7,synthesis,0.9979369640350342,0.001752960961312,0.9979369640350342,0.0003075025742873,2.6611103294271743e-06,11,11,11,1.0,0.9999868869781494,0.9939151839776472,0.9989637136459352,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_004_clean,data/phase7c1/raw/human_clean/human_004_clean.wav,base_004,human_clean,speaker_004,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_004,FAKE,0.9166666666666666,0.9166666666666666,0.7,conversion,0.4904036223888397,0.0837693512439727,0.4258266985416412,0.4904036223888397,3.520269729051506e-07,12,12,11,0.9166666666666666,1.0,0.9233306820193926,0.9989178776741028,conversion,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.917).,
human_005_clean,data/phase7c1/raw/human_clean/human_005_clean.wav,base_005,human_clean,speaker_005,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_005,FAKE,1.0,1.0,0.7,synthesis,0.7520877718925476,0.0534686148166656,0.7520877718925476,0.194443479180336,1.056162304280406e-07,14,14,14,1.0,1.0,0.9738754374640328,0.9996487200260162,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_006_clean,data/phase7c1/raw/human_clean/human_006_clean.wav,base_006,human_clean,speaker_006,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_006,FAKE,0.8333333333333334,0.8333333333333334,0.7,synthesis,0.4467877149581909,0.2491651624441146,0.4467877149581909,0.3040456473827362,1.521316335129086e-06,12,12,10,0.8333333333333334,0.9999985694885254,0.7670339044028273,0.921844720840454,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.833).,
human_007_clean,data/phase7c1/raw/human_clean/human_007_clean.wav,base_007,human_clean,speaker_007,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_007,FAKE,1.0,1.0,0.7,conversion,0.9999998211860656,1.2099130231035818e-07,5.2241666992358666e-08,0.9999998211860656,6.818040987354025e-26,10,10,10,1.0,1.0,1.0,1.0,conversion,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_008_clean,data/phase7c1/raw/human_clean/human_008_clean.wav,base_008,human_clean,speaker_008,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_008,FAKE,1.0,1.0,0.7,conversion,0.8001766204833984,2.713908543228172e-05,0.1997963041067123,0.8001766204833984,1.295550732666184e-11,5,5,5,1.0,1.0,0.9999907732009888,1.0,conversion,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_009_clean,data/phase7c1/raw/human_clean/human_009_clean.wav,base_009,human_clean,speaker_009,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_009,FAKE,1.0,1.0,0.7,synthesis,0.7274245619773865,0.0722691863775253,0.7274245619773865,0.2003061771392822,1.537258214057147e-07,15,16,15,1.0,0.9999998807907104,0.9705977996190388,0.9938309192657472,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_011_clean,data/phase7c1/raw/human_clean/human_011_clean.wav,base_011,human_clean,speaker_011,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_011,FAKE,1.0,1.0,0.7,conversion,0.4716525077819824,0.1487477570772171,0.3795996606349945,0.4716525077819824,1.1401399291344205e-07,12,13,12,1.0,0.999969720840454,0.928511048356692,0.9869783818721772,conversion,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_013_clean,data/phase7c1/raw/human_clean/human_013_clean.wav,base_013,human_clean,speaker_013,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_013,FAKE,1.0,1.0,0.7,conversion,0.7570996284484863,0.0020208812784403,0.2408794909715652,0.7570996284484863,1.1541381184088097e-08,12,12,12,1.0,1.0,0.9970351755619048,0.9999991059303284,conversion,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
