sample_id,audio_path,base_id,variant_id,speaker_id,speaker_gender,language,source_origin,manipulation_type,ground_truth_origin,ground_truth_manipulation,origin_label,manipulation_label,attack_hint,risk_level,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,split,split_group_id,prediction,confidence,decision_score,effective_threshold,attack_type,attack_type_conf,bonafide_prob,synthesis_prob,conversion_prob,replay_prob,n_chunks_used,n_chunks_total,suspicious_chunk_count,suspicious_chunk_ratio,max_chunk_spoof,mean_chunk_spoof,median_chunk_spoof,dominant_chunk_attack,n_chunks_inside,n_chunks_outside,inside_region_avg_spoof,outside_region_avg_spoof,inside_region_max_spoof,outside_region_max_spoof,inside_region_dominant_attack,outside_region_dominant_attack,partial_region_detected,baseline_status,final_baseline_interpretation,error
ai_001_direct,data/phase7c1/raw/ai_direct/ai_001_direct.wav,base_001,ai_direct,speaker_001,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_001,REAL,0.7222222222222222,0.2777777777777778,0.7,bonafide,0.7853395342826843,0.7853395342826843,0.030389001592993736,0.184271439909935,4.66724152659026e-08,18,18,5,0.2777777777777778,0.9985895752906799,0.28278728063104885,0.04122040048241615,bonafide,0,0,,,,,,,False,direct_ai_file_level_missed_but_segment_suspicious,Direct AI file-level REAL but segment-suspicious chunks (max spoof elevated).,
ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,base_001,ai_fabricated,speaker_001,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,18.024,27.818,train,base_001,REAL,0.6666666666666667,0.3333333333333333,0.7,bonafide,0.669929027557373,0.669929027557373,0.053475767374038696,0.276594877243042,3.634913809946738e-07,21,21,7,0.3333333333333333,1.0,0.3447230944111273,0.010944577865302563,bonafide,5,16,0.7865530048497021,0.2066512473990727,1.0,0.9999499320983887,conversion,bonafide,True,partial_fabrication_detected,Partial fabrication: suspicious region shows higher spoof signal than outside.,
ai_001_mixer_processed,data/phase7c1/raw/ai_mixer/ai_001_mixer_processed.wav,base_001,ai_mixer_processed,speaker_001,unknown,unknown,ai,mixer_processed,ai,processed,ai_likely,channel_processed,synthesis,high,0,,,train,base_001,FAKE,1.0,1.0,0.7,synthesis,0.9730965495109558,0.011336748488247395,0.9730965495109558,0.0021760188974440098,0.013390782289206982,18,18,18,1.0,1.0,0.9958447648419274,0.9999984502792358,synthesis,0,0,,,,,,,False,ai_mixer_detected,"AI mixer detected (FAKE, score=1.000).",
ai_001_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,base_001,ai_replay_laptop_mobile,speaker_001,unknown,unknown,ai,ai_replay,ai,replayed,ai_likely,replayed_or_re_recorded,replay,high,0,,,train,base_001,FAKE,0.7222222222222222,0.7222222222222222,0.7,bonafide,0.3812120258808136,0.3812120258808136,0.25451868772506714,0.36347272992134094,0.0007965394761413336,18,18,13,0.7222222222222222,0.9999610185623169,0.6797812299595939,0.7897898554801941,bonafide,0,0,,,,,,,False,ai_replay_detected,"AI replay detected (FAKE, score=0.722).",
human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,base_001,human_clean,speaker_001,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_001,FAKE,0.9230769230769231,0.9230769230769231,0.7,synthesis,0.667110800743103,0.08758941292762756,0.667110800743103,0.24523499608039856,6.483356264652684e-05,13,13,12,0.9230769230769231,0.9999924898147583,0.9058481065126566,0.9987840056419373,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.923).,
human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,base_001,human_fabricated,speaker_001,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,16.049,24.293,train,base_001,FAKE,0.9375,0.9375,0.7,synthesis,0.5702021718025208,0.11317108571529388,0.5702021718025208,0.3165971040725708,2.9615232051583007e-05,16,16,15,0.9375,0.999997615814209,0.8880841373284056,0.9981538951396942,synthesis,4,12,0.6757132019120036,0.958874449133873,0.9749406576156616,0.999997615814209,conversion,synthesis,True,partial_fabrication_detected,Partial fabrication: suspicious region shows higher spoof signal than outside.,
human_001_mixer_processed,data/phase7c1/raw/human_mixer/human_001_mixer_processed.wav,base_001,human_mixer_processed,speaker_001,unknown,unknown,human,mixer_processed,human,processed,human_likely,channel_processed,unknown,medium,0,,,train,base_001,FAKE,1.0,1.0,0.7,replay,0.64962238073349,1.1601494406932034e-05,0.3503660559654236,1.15822813579608e-12,0.64962238073349,13,13,13,1.0,1.0,1.0,1.0,replay,0,0,,,,,,,False,human_mixer_manipulation_detected,"Human mixer channel manipulation detected (FAKE, score=1.000).",
human_001_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_001_replay_laptop_mobile.wav,base_001,human_replay_laptop_mobile,speaker_001,unknown,unknown,human,human_replay,human,replayed,human_likely,replayed_or_re_recorded,replay,medium,0,,,train,base_001,FAKE,1.0,1.0,0.7,synthesis,0.694901704788208,0.0418749675154686,0.694901704788208,0.005480476655066013,0.25774282217025757,10,10,10,1.0,1.0,0.9884096205234527,0.9999986290931702,synthesis,0,0,,,,,,,False,human_replay_manipulation_detected,"Human replay manipulation signal detected (FAKE, score=1.000).",
ai_002_direct,data/phase7c1/raw/ai_direct/ai_002_direct.wav,base_002,ai_direct,speaker_002,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_002,REAL,0.7692307692307692,0.23076923076923078,0.7,bonafide,0.8117710947990417,0.8117710947990417,0.013699118979275227,0.1745295226573944,2.348606358282268e-07,13,13,3,0.23076923076923078,0.9983579516410828,0.2474616840595445,0.00695760827511549,bonafide,0,0,,,,,,,False,direct_ai_file_level_missed_but_segment_suspicious,Direct AI file-level REAL but segment-suspicious chunks (max spoof elevated).,
ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,base_002,ai_fabricated,speaker_002,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,35.741,42.331,train,base_002,REAL,0.7333333333333334,0.26666666666666666,0.7,bonafide,0.7633128762245178,0.7633128762245178,0.072191022336483,0.16449572145938873,3.0178441079442564e-07,15,15,4,0.26666666666666666,0.9987232089042664,0.300336702769467,0.03967602923512459,bonafide,4,11,0.5638366211569519,0.2045185506285634,0.9980581402778625,0.9987232089042664,bonafide,bonafide,True,partial_fabrication_detected,Partial fabrication: suspicious region shows higher spoof signal than outside.,
ai_002_mixer_processed,data/phase7c1/raw/ai_mixer/ai_002_mixer_processed.wav,base_002,ai_mixer_processed,speaker_002,unknown,unknown,ai,mixer_processed,ai,processed,ai_likely,channel_processed,synthesis,high,0,,,train,base_002,FAKE,1.0,1.0,0.7,synthesis,0.6260619759559631,0.01343723013997078,0.6260619759559631,0.00011697803711285815,0.36038386821746826,12,13,12,1.0,1.0,0.9963153551022211,0.9999983310699463,synthesis,0,0,,,,,,,False,ai_mixer_detected,"AI mixer detected (FAKE, score=1.000).",
ai_002_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_002_replay_laptop_mobile.wav,base_002,ai_replay_laptop_mobile,speaker_002,unknown,unknown,ai,ai_replay,ai,replayed,ai_likely,replayed_or_re_recorded,replay,high,0,,,train,base_002,REAL,0.4,0.6,0.7,synthesis,0.5802397727966309,0.37576478719711304,0.5802397727966309,0.02674430049955845,0.01725105568766594,10,10,6,0.6,0.9941232800483704,0.5855814661830664,0.8033185601234436,synthesis,0,0,,,,,,,False,ai_replay_file_level_missed_but_segment_suspicious,AI replay file-level REAL but segment-suspicious chunks present.,
human_002_clean,data/phase7c1/raw/human_clean/human_002_clean.wav,base_002,human_clean,speaker_002,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_002,FAKE,1.0,1.0,0.7,synthesis,0.9979369640350342,0.0017529609613120556,0.9979369640350342,0.00030750257428735495,2.6611103294271743e-06,11,11,11,1.0,0.9999868869781494,0.9939151839776472,0.9989637136459351,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_002_fabricated,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,base_002,human_fabricated,speaker_002,unknown,unknown,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,1,5.697,11.771,train,base_002,FAKE,0.8461538461538461,0.8461538461538461,0.7,synthesis,0.8508139848709106,0.14666351675987244,0.8508139848709106,0.002436024835333228,8.647596405353397e-05,13,13,11,0.8461538461538461,0.9999982118606567,0.8490693173729457,0.9941800832748413,synthesis,3,10,0.40001949419577915,0.9837842643260956,0.9920312166213989,0.9999982118606567,bonafide,synthesis,True,partial_fabrication_detected,Partial fabrication: suspicious region shows higher spoof signal than outside.,
