sample_id,audio_path,base_id,variant_id,suspicious_start_time,suspicious_end_time,n_chunks_inside,n_chunks_outside,inside_region_avg_spoof,outside_region_avg_spoof,inside_region_max_spoof,outside_region_max_spoof,inside_region_dominant_attack,outside_region_dominant_attack,region_delta,partial_region_detected,notes
ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,base_001,ai_fabricated,18.024,27.818,5,16,0.7865530048497021,0.2066512473990727,1.0,0.9999499320983887,conversion,bonafide,0.579902,True,evaluated
human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,base_001,human_fabricated,16.049,24.293,4,12,0.6757132019120036,0.958874449133873,0.9749406576156616,0.999997615814209,conversion,synthesis,-0.283161,True,evaluated
ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,base_002,ai_fabricated,35.741,42.331,4,11,0.5638366211569519,0.2045185506285634,0.9980581402778625,0.9987232089042664,bonafide,bonafide,0.359318,True,evaluated
human_002_fabricated,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,base_002,human_fabricated,5.697,11.771,3,10,0.40001949419577915,0.9837842643260956,0.9920312166213989,0.9999982118606567,bonafide,synthesis,-0.583765,True,evaluated
ai_003_fabricated,data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,base_003,ai_fabricated,1.952,8.531,3,14,0.7970901727676392,0.4158157235469844,0.9999958276748657,0.990044355392456,conversion,bonafide,0.381274,True,evaluated
human_003_fabricated,data/phase7c1/raw/human_fabricated/human_003_fabricated.wav,base_003,human_fabricated,6.14,13.891,4,10,0.2387322136549983,0.37556404564529655,0.9548583030700684,0.9873993396759033,bonafide,bonafide,-0.136832,True,evaluated
ai_004_fabricated,data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,base_004,ai_fabricated,39.453,46.277,4,14,0.9549382328987122,0.21706065988603637,1.0,0.9987744688987732,conversion,bonafide,0.737878,True,evaluated
human_004_fabricated,data/phase7c1/raw/human_fabricated/human_004_fabricated.wav,base_004,human_fabricated,1.739,8.153,2,11,0.4894159871619195,0.9131423072381453,0.9769127368927002,1.0,bonafide,conversion,-0.423726,True,evaluated
ai_005_fabricated,data/phase7c1/raw/ai_fabricated/ai_005_fabricated.wav,base_005,ai_fabricated,42.59,49.433,4,16,0.9949477910995483,0.4076360817863929,1.0,0.9997743964195251,conversion,bonafide,0.587312,True,evaluated
human_005_fabricated,data/phase7c1/raw/human_fabricated/human_005_fabricated.wav,base_005,human_fabricated,27.493,35.762,4,13,0.4090421396831516,0.9595633515944848,0.9999948740005493,1.0,bonafide,synthesis,-0.550521,True,evaluated
ai_006_fabricated,data/phase7c1/raw/ai_fabricated/ai_006_fabricated.wav,base_006,ai_fabricated,29.439,38.986,4,16,0.45450245519168675,0.13505197882619768,0.9999634027481079,0.9945730566978455,bonafide,bonafide,0.31945,True,evaluated
human_006_fabricated,data/phase7c1/raw/human_fabricated/human_006_fabricated.wav,base_006,human_fabricated,0.425,6.74,3,11,0.7958963712056478,0.5542295720193496,0.9988259673118591,1.0,synthesis,bonafide,0.241667,True,evaluated
ai_007_fabricated,data/phase7c1/raw/ai_fabricated/ai_007_fabricated.wav,base_007,ai_fabricated,45.753,54.448,4,14,0.9365884810686111,0.6765741967995252,0.9999964237213135,0.9999942779541016,conversion,conversion,0.260014,True,evaluated
human_007_fabricated,data/phase7c1/raw/human_fabricated/human_007_fabricated.wav,base_007,human_fabricated,11.149,18.612,4,8,0.7239116711280076,1.0,0.9999997615814209,1.0,synthesis,conversion,-0.276088,True,evaluated
ai_008_fabricated,data/phase7c1/raw/ai_fabricated/ai_008_fabricated.wav,base_008,ai_fabricated,14.11,21.003,4,10,0.6997715131146833,0.18201851802350574,0.9983958601951599,1.0,bonafide,bonafide,0.517753,True,evaluated
human_008_fabricated,data/phase7c1/raw/human_fabricated/human_008_fabricated.wav,base_008,human_fabricated,3.349,8.052,3,3,0.6750038663546244,1.0,1.0,1.0,conversion,conversion,-0.324996,True,evaluated
ai_009_fabricated,data/phase7c1/raw/ai_fabricated/ai_009_fabricated.wav,base_009,ai_fabricated,6.078,15.785,5,12,0.5060271848953561,0.4096118045059332,0.9999767541885376,0.999721348285675,bonafide,bonafide,0.096415,True,evaluated
human_009_fabricated,data/phase7c1/raw/human_fabricated/human_009_fabricated.wav,base_009,human_fabricated,22.541,29.261,3,15,0.36704882979393005,0.9701689600944519,0.9442282915115356,0.9997487664222717,bonafide,synthesis,-0.60312,True,evaluated
ai_010_fabricated,data/phase7c1/raw/ai_fabricated/ai_010_fabricated.wav,base_010,ai_fabricated,39.565,46.965,4,12,0.7500415723916376,0.2121552816752228,1.0,0.9779256582260132,conversion,bonafide,0.537886,True,evaluated
human_010_fabricated,data/phase7c1/raw/human_fabricated/human_010_fabricated.wav,base_010,human_fabricated,30.108,37.657,4,9,0.736792442316073,0.7818207210964627,0.9999790191650391,0.9999998807907104,synthesis,synthesis,-0.045028,True,evaluated
ai_011_fabricated,data/phase7c1/raw/ai_fabricated/ai_011_fabricated.wav,base_011,ai_fabricated,30.108,36.664,3,10,0.665738097896489,0.0019307108821720056,0.9997658133506775,0.01890544779598713,synthesis,bonafide,0.663807,True,evaluated
human_011_fabricated,data/phase7c1/raw/human_fabricated/human_011_fabricated.wav,base_011,human_fabricated,36.178,43.987,4,11,0.462390647167922,0.9247653972018849,0.9999885559082031,0.9999676942825317,bonafide,conversion,-0.462375,True,evaluated
ai_012_fabricated,data/phase7c1/raw/ai_fabricated/ai_012_fabricated.wav,base_012,ai_fabricated,36.178,44.19,4,12,0.7804327420890331,0.015416708643627028,0.9999990463256836,0.1846204698085785,synthesis,bonafide,0.765016,True,evaluated
human_012_fabricated,data/phase7c1/raw/human_fabricated/human_012_fabricated.wav,base_012,human_fabricated,41.943,48.54,3,13,0.637850626912647,0.6720965547634618,0.9997859597206116,0.9999997615814209,bonafide,conversion,-0.034246,True,evaluated
ai_013_fabricated,data/phase7c1/raw/ai_fabricated/ai_013_fabricated.wav,base_013,ai_fabricated,23.7,31.661,4,16,0.6789346933364868,0.3016548331008124,0.999771773815155,0.9999954700469971,synthesis,bonafide,0.37728,True,evaluated
human_013_fabricated,data/phase7c1/raw/human_fabricated/human_013_fabricated.wav,base_013,human_fabricated,21.252,29.382,4,11,0.48882983159273863,0.9994620680809021,1.0,1.0,bonafide,conversion,-0.510632,True,evaluated
ai_014_fabricated,data/phase7c1/raw/ai_fabricated/ai_014_fabricated.wav,base_014,ai_fabricated,3.003,11.423,4,13,0.9996472746133804,0.24148023265136176,1.0,0.9936856627464294,synthesis,bonafide,0.758167,True,evaluated
human_014_fabricated,data/phase7c1/raw/human_fabricated/human_014_fabricated.wav,base_014,human_fabricated,23.7,30.463,4,11,0.7268622831870744,0.9896773262457415,0.9999865293502808,1.0,conversion,synthesis,-0.262815,True,evaluated
ai_015_fabricated,data/phase7c1/raw/ai_fabricated/ai_015_fabricated.wav,base_015,ai_fabricated,15.256,24.972,5,16,0.9915264248847961,0.6210754004212937,0.9999148845672607,0.9999998807907104,synthesis,conversion,0.370451,True,evaluated
human_015_fabricated,data/phase7c1/raw/human_fabricated/human_015_fabricated.wav,base_015,human_fabricated,3.003,10.86,4,11,0.7209751098416746,0.8415592908859253,1.0,1.0,synthesis,synthesis,-0.120584,True,evaluated
ai_016_fabricated,data/phase7c1/raw/ai_fabricated/ai_016_fabricated.wav,base_016,ai_fabricated,29.714,40.282,5,16,0.8199206531047821,0.5938830564919044,1.0,0.9999945163726807,synthesis,bonafide,0.226038,True,evaluated
human_016_fabricated,data/phase7c1/raw/human_fabricated/human_016_fabricated.wav,base_016,human_fabricated,15.256,24.535,5,14,0.383220796455862,0.6060682334937155,0.9004423022270203,0.9907855987548828,bonafide,synthesis,-0.222847,True,evaluated
