row_id,data_source,source_subset,audio_path,filepath,filename,sample_id,base_id,variant_id,speaker_id,speaker_gender,language,dataset,domain,attack_type_original,label_original,split,split_group_id,source_origin,manipulation_type,origin_label,manipulation_label,attack_hint,risk_level,origin_binary,manipulation_binary,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,baseline_status,decision_score,max_chunk_spoof,suspicious_chunk_ratio,sample_weight,weight_reason,use_origin_loss,use_manipulation_loss,use_attack_loss,use_partial_loss,review_status,notes
p7c1_train_000000,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_direct/ai_001_direct.wav,data/phase7c1/raw/ai_direct/ai_001_direct.wav,ai_001_direct.wav,ai_001_direct,base_001,ai_direct,speaker_001,unknown,unknown,phase7c1,direct_ai,synthesis,ai_likely,train,base_001,ai,clean_direct,ai_likely,clean_original,synthesis,high,ai,clean,0,,,direct_ai_file_level_missed_but_segment_suspicious,0.2777777777777778,0.99858957529068,0.2777777777777778,3.0,p7c1_clean_direct_ai+baseline_direct_ai_file_level_missed_but_segment_suspicious,true,true,true,true,approved,
p7c1_train_000001,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,ai_001_fabricated.wav,ai_001_fabricated,base_001,ai_fabricated,speaker_001,unknown,unknown,phase7c1,partial_fabrication,synthesis,mixed_or_partial_ai,train,base_001,mixed,partial_ai_insert,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,18.024,27.818,partial_fabrication_detected,0.3333333333333333,1.0,0.3333333333333333,3.0,p7c1_partial_fabrication,true,true,true,true,approved,"Fabricated mixed file. If mostly AI with human inserted, mention in notes manually. Timestamps loaded from sidecar: insertion_stamps (bulk)"
p7c1_train_000002,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_mixer/ai_001_mixer_processed.wav,data/phase7c1/raw/ai_mixer/ai_001_mixer_processed.wav,ai_001_mixer_processed.wav,ai_001_mixer_processed,base_001,ai_mixer_processed,speaker_001,unknown,unknown,phase7c1,mixer_changed_during_playback_and_mobile_recording,synthesis,ai_likely,train,base_001,ai,mixer_processed,ai_likely,channel_processed,synthesis,high,ai,manipulated,0,,,ai_mixer_detected,1.0,1.0,1.0,2.0,p7c1_mixer_ai,true,true,true,true,approved,"AI audio played from laptop, mixer/equalizer changed during playback, recorded on mobile."
p7c1_train_000003,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,ai_001_replay_laptop_mobile.wav,ai_001_replay_laptop_mobile,base_001,ai_replay_laptop_mobile,speaker_001,unknown,unknown,phase7c1,replayed_ai_audio,replay,ai_likely,train,base_001,ai,ai_replay,ai_likely,replayed_or_re_recorded,replay,high,ai,manipulated,0,,,ai_replay_detected,0.7222222222222222,0.9999610185623168,0.7222222222222222,2.0,p7c1_ai_replay,true,true,true,true,approved,
p7c1_train_000004,phase7c1,phase7c1_collection,data/phase7c1/raw/human_clean/human_001_clean.wav,data/phase7c1/raw/human_clean/human_001_clean.wav,human_001_clean.wav,human_001_clean,base_001,human_clean,speaker_001,unknown,unknown,phase7c1,clean_human,bonafide,human_likely,train,base_001,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,clean_human_false_alarm,0.9230769230769232,0.9999924898147584,0.9230769230769232,3.0,p7c1_clean_direct_human+baseline_clean_human_false_alarm,true,true,true,true,approved,
p7c1_train_000005,phase7c1,phase7c1_collection,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,human_001_fabricated.wav,human_001_fabricated,base_001,human_fabricated,speaker_001,unknown,unknown,phase7c1,partial_ai_insert,synthesis,mixed_or_partial_ai,train,base_001,mixed,partial_ai_insert,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,16.049,24.293,partial_fabrication_detected,0.9375,0.999997615814209,0.9375,3.0,p7c1_partial_fabrication,true,true,true,true,approved,Mostly human/real audio with AI-generated inserted/replaced segment. Timestamps loaded from sidecar: insertion_stamps (bulk)
p7c1_train_000006,phase7c1,phase7c1_collection,data/phase7c1/raw/human_mixer/human_001_mixer_processed.wav,data/phase7c1/raw/human_mixer/human_001_mixer_processed.wav,human_001_mixer_processed.wav,human_001_mixer_processed,base_001,human_mixer_processed,speaker_001,unknown,unknown,phase7c1,mixer_changed_during_playback_and_mobile_recording,unknown,human_likely,train,base_001,human,mixer_processed,human_likely,channel_processed,unknown,medium,human,manipulated,0,,,human_mixer_manipulation_detected,1.0,1.0,1.0,2.5,p7c1_mixer_human,true,true,true,true,approved,"Human audio played from laptop, mixer/equalizer changed during playback, recorded on mobile."
p7c1_train_000007,phase7c1,phase7c1_collection,data/phase7c1/raw/human_replay/human_001_replay_laptop_mobile.wav,data/phase7c1/raw/human_replay/human_001_replay_laptop_mobile.wav,human_001_replay_laptop_mobile.wav,human_001_replay_laptop_mobile,base_001,human_replay_laptop_mobile,speaker_001,unknown,unknown,phase7c1,replayed_human_audio,replay,human_likely,train,base_001,human,human_replay,human_likely,replayed_or_re_recorded,replay,medium,human,manipulated,0,,,human_replay_manipulation_detected,1.0,1.0,1.0,2.5,p7c1_human_replay,true,true,true,true,approved,
p7c1_train_000008,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_direct/ai_002_direct.wav,data/phase7c1/raw/ai_direct/ai_002_direct.wav,ai_002_direct.wav,ai_002_direct,base_002,ai_direct,speaker_002,unknown,unknown,phase7c1,direct_ai,synthesis,ai_likely,train,base_002,ai,clean_direct,ai_likely,clean_original,synthesis,high,ai,clean,0,,,direct_ai_file_level_missed_but_segment_suspicious,0.2307692307692307,0.9983579516410828,0.2307692307692307,3.0,p7c1_clean_direct_ai+baseline_direct_ai_file_level_missed_but_segment_suspicious,true,true,true,true,approved,
p7c1_train_000009,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,ai_002_fabricated.wav,ai_002_fabricated,base_002,ai_fabricated,speaker_002,unknown,unknown,phase7c1,partial_fabrication,synthesis,mixed_or_partial_ai,train,base_002,mixed,partial_ai_insert,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,35.741,42.331,partial_fabrication_detected,0.2666666666666666,0.9987232089042664,0.2666666666666666,3.0,p7c1_partial_fabrication,true,true,true,true,approved,"Fabricated mixed file. If mostly AI with human inserted, mention in notes manually. Timestamps loaded from sidecar: insertion_stamps (bulk)"
