row_id,data_source,source_subset,audio_path,filepath,filename,sample_id,base_id,variant_id,speaker_id,speaker_gender,language,dataset,domain,attack_type_original,label_original,split,split_group_id,source_origin,manipulation_type,origin_label,manipulation_label,attack_hint,risk_level,origin_binary,manipulation_binary,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,baseline_status,decision_score,max_chunk_spoof,suspicious_chunk_ratio,sample_weight,weight_reason,use_origin_loss,use_manipulation_loss,use_attack_loss,use_partial_loss,review_status,notes
cmb_train_000000,old,old_balanced,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_6182085.wav,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_6182085.wav,PA_E_6182085.wav,PA_E_6182085,old_PA_E_6182085,old_legacy,PA_0064,unknown,unknown,PA,studio,bonafide,bonafide,train,old_PA_E_6182085,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,,,,,1.0,old_bonafide_base,true,true,true,true,approved,Old balanced subset for Phase 7C2 fine-tuning prep.
cmb_train_000001,old,old_balanced,data\realworld\processed\youtube\broadcast\clips\M2FOTkPKfHA_clip0002.wav,data\realworld\processed\youtube\broadcast\clips\M2FOTkPKfHA_clip0002.wav,M2FOTkPKfHA_clip0002.wav,M2FOTkPKfHA_clip0002,old_M2FOTkPKfHA_clip0002,old_legacy,spk_f108429e,unknown,unknown,RealWorld,broadcast,bonafide,bonafide,train,old_M2FOTkPKfHA_clip0002,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,,,,,1.0,old_bonafide_base,true,true,true,true,approved,Old balanced subset for Phase 7C2 fine-tuning prep.
cmb_train_000002,old,old_balanced,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8341745.wav,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8341745.wav,PA_E_8341745.wav,PA_E_8341745,old_PA_E_8341745,old_legacy,PA_0064,unknown,unknown,PA,studio,bonafide,bonafide,train,old_PA_E_8341745,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,,,,,1.0,old_bonafide_base,true,true,true,true,approved,Old balanced subset for Phase 7C2 fine-tuning prep.
cmb_train_000003,old,old_balanced,data\realworld\processed\public_datasets\librispeech\train-clean-100\8630\305212\8630-305212-0019.wav,data\realworld\processed\public_datasets\librispeech\train-clean-100\8630\305212\8630-305212-0019.wav,8630-305212-0019.wav,8630-305212-0019,old_8630-305212-0019,old_legacy,spk_bae02bdf,unknown,unknown,RealWorld,read_speech,bonafide,bonafide,train,old_8630-305212-0019,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,,,,,1.0,old_bonafide_base,true,true,true,true,approved,Old balanced subset for Phase 7C2 fine-tuning prep.
cmb_train_000004,old,old_balanced,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_5690544.wav,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_5690544.wav,PA_E_5690544.wav,PA_E_5690544,old_PA_E_5690544,old_legacy,PA_0001,unknown,unknown,PA,studio,bonafide,bonafide,train,old_PA_E_5690544,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,,,,,1.0,old_bonafide_base,true,true,true,true,approved,Old balanced subset for Phase 7C2 fine-tuning prep.
cmb_train_000005,old,old_balanced,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p329\p329_345_mic2.wav,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p329\p329_345_mic2.wav,p329_345_mic2.wav,p329_345_mic2,old_p329_345_mic2,old_legacy,spk_345,unknown,unknown,RealWorld,studio,bonafide,bonafide,train,old_p329_345_mic2,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,,,,,1.0,old_bonafide_base,true,true,true,true,approved,Old balanced subset for Phase 7C2 fine-tuning prep.
cmb_train_000006,old,old_balanced,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_6041362.wav,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_6041362.wav,PA_E_6041362.wav,PA_E_6041362,old_PA_E_6041362,old_legacy,PA_0025,unknown,unknown,PA,studio,bonafide,bonafide,train,old_PA_E_6041362,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,,,,,1.0,old_bonafide_base,true,true,true,true,approved,Old balanced subset for Phase 7C2 fine-tuning prep.
cmb_train_000007,old,old_balanced,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_3412502.wav,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_3412502.wav,PA_E_3412502.wav,PA_E_3412502,old_PA_E_3412502,old_legacy,PA_0037,unknown,unknown,PA,studio,bonafide,bonafide,train,old_PA_E_3412502,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,,,,,1.0,old_bonafide_base,true,true,true,true,approved,Old balanced subset for Phase 7C2 fine-tuning prep.
cmb_train_000008,old,old_balanced,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_4594646.wav,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_4594646.wav,PA_E_4594646.wav,PA_E_4594646,old_PA_E_4594646,old_legacy,PA_0040,unknown,unknown,PA,studio,bonafide,bonafide,train,old_PA_E_4594646,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,,,,,1.0,old_bonafide_base,true,true,true,true,approved,Old balanced subset for Phase 7C2 fine-tuning prep.
cmb_train_000009,old,old_balanced,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p301\p301_108_mic1.wav,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p301\p301_108_mic1.wav,p301_108_mic1.wav,p301_108_mic1,old_p301_108_mic1,old_legacy,spk_108,unknown,unknown,RealWorld,studio,bonafide,bonafide,train,old_p301_108_mic1,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,,,,,1.0,old_bonafide_base,true,true,true,true,approved,Old balanced subset for Phase 7C2 fine-tuning prep.
cmb_train_000010,old,old_balanced,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8835546.wav,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8835546.wav,PA_E_8835546.wav,PA_E_8835546,old_PA_E_8835546,old_legacy,PA_0020,unknown,unknown,PA,studio,bonafide,bonafide,train,old_PA_E_8835546,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,,,,,1.0,old_bonafide_base,true,true,true,true,approved,Old balanced subset for Phase 7C2 fine-tuning prep.
