chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.7032418952618454,True,0.0030043430160731077,"[0.9959688186645508, 0.003374394727870822, 1.4003364867676282e-07, 0.000656716525554657]",bonafide,"{'rt60': 3.616, 'drr': 0.24772538244724274, 'snr': 12.657698631286621, 'background_level': -27.377614974975586, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0759077863629654, 'spectral_flatness': 0.041601456701755524, 'spectral_rolloff': 2868.4275793650795, 'cleanliness_score': 0.0, 'high_freq_content': 0.013546585105359554, 'background_consistency': 0.5443097949028015, 'env_stability': 0.5}"
1,3.0,7.0,True,0.6907730673316709,True,0.0005013742484152317,"[0.9989994168281555, 0.0009869185741990805, 1.309424305873108e-06, 1.2423471162037458e-05]",bonafide,"{'rt60': 0.704, 'drr': 0.2556844651699066, 'snr': 12.427900314331055, 'background_level': -45.81468200683594, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7688522441523623, 'spectral_flatness': 0.04431324824690819, 'spectral_rolloff': 3449.590773809524, 'cleanliness_score': 0.0, 'high_freq_content': 0.044648170471191406, 'background_consistency': 0.5007162094116211, 'env_stability': 0.5}"
2,6.0,10.0,True,0.600997506234414,True,0.0012768146116286516,"[0.9987509250640869, 0.0012387745082378387, 2.585717084002681e-06, 7.719525456195697e-06]",bonafide,"{'rt60': 1.472, 'drr': 0.2492845356464386, 'snr': 26.653907775878906, 'background_level': -74.26675415039062, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0225480564674683, 'spectral_flatness': 0.052664823830127716, 'spectral_rolloff': 3244.2336309523807, 'cleanliness_score': 0.3, 'high_freq_content': 0.017140859737992287, 'background_consistency': 0.6576740145683289, 'env_stability': 0.5}"
3,9.0,13.0,True,0.48129675810473815,True,0.0011203773319721222,"[0.9985429048538208, 0.0014409194700419903, 2.083343815684202e-06, 1.4016344721312635e-05]",bonafide,"{'rt60': 0.0, 'drr': 0.29643359780311584, 'snr': 64.60921478271484, 'background_level': -83.4769515991211, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9537975713365228, 'spectral_flatness': 0.060484420508146286, 'spectral_rolloff': 3903.4598214285716, 'cleanliness_score': 1.0, 'high_freq_content': 0.037460844963788986, 'background_consistency': 0.9011150598526001, 'env_stability': 0.5}"
4,12.0,16.0,True,0.6608478802992519,True,0.04935940355062485,"[0.8250014185905457, 0.16662999987602234, 0.0005140296998433769, 0.007854512892663479]",bonafide,"{'rt60': 1.856, 'drr': 0.2965979278087616, 'snr': 16.07733154296875, 'background_level': -47.10563278198242, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0171247459920914, 'spectral_flatness': 0.038240138441324234, 'spectral_rolloff': 3041.2326388888887, 'cleanliness_score': 0.0, 'high_freq_content': 0.019895274192094803, 'background_consistency': 0.5003950595855713, 'env_stability': 0.5}"
5,15.0,19.0,True,0.5785536159600998,True,0.0008609260548837483,"[0.9984264373779297, 0.001539674587547779, 2.4449236661894247e-06, 3.145950904581696e-05]",bonafide,"{'rt60': 0.0, 'drr': 0.22445045411586761, 'snr': 22.29290008544922, 'background_level': -63.845703125, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7930976577123756, 'spectral_flatness': 0.05009967461228371, 'spectral_rolloff': 3386.594742063492, 'cleanliness_score': 0.15, 'high_freq_content': 0.04807192087173462, 'background_consistency': 0.5085169076919556, 'env_stability': 0.5}"
6,18.0,22.0,True,0.4912718204488778,True,0.16478508710861206,"[0.4835723042488098, 0.453830748796463, 0.004361014347523451, 0.058235879987478256]",bonafide,"{'rt60': 0.384, 'drr': 0.22866278886795044, 'snr': 64.63211822509766, 'background_level': -83.31178283691406, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8815801015334045, 'spectral_flatness': 0.06397129595279694, 'spectral_rolloff': 3799.4791666666665, 'cleanliness_score': 1.0, 'high_freq_content': 0.046628858894109726, 'background_consistency': 0.5014635920524597, 'env_stability': 0.5}"
7,21.0,25.0,True,0.6159600997506235,True,0.0009217804181389511,"[0.9970393776893616, 0.0029291496612131596, 2.832221071003005e-06, 2.8604419640032575e-05]",bonafide,"{'rt60': 2.528, 'drr': 0.2679613530635834, 'snr': 20.489980697631836, 'background_level': -70.64374542236328, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7121099783191464, 'spectral_flatness': 0.04195284843444824, 'spectral_rolloff': 3342.7579365079364, 'cleanliness_score': 0.3, 'high_freq_content': 0.061132948845624924, 'background_consistency': 0.7736306190490723, 'env_stability': 0.5}"
8,24.0,28.0,True,0.5685785536159601,True,0.0021074723917990923,"[0.9977205395698547, 0.002249587094411254, 7.076526799210114e-06, 2.284330730617512e-05]",bonafide,"{'rt60': 0.0, 'drr': 0.27143824100494385, 'snr': 36.12616729736328, 'background_level': -72.65447998046875, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5999240461321701, 'spectral_flatness': 0.05877295136451721, 'spectral_rolloff': 3972.222222222222, 'cleanliness_score': 0.3, 'high_freq_content': 0.08322915434837341, 'background_consistency': 0.6335607171058655, 'env_stability': 0.5}"
9,27.0,31.0,True,0.6508728179551122,True,0.0008830458973534405,"[0.9977977275848389, 0.002174164168536663, 3.2180469133891165e-06, 2.4919474526541308e-05]",bonafide,"{'rt60': 0.0, 'drr': 0.2513934373855591, 'snr': 15.843833923339844, 'background_level': -45.31884765625, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9024026391804798, 'spectral_flatness': 0.05074254423379898, 'spectral_rolloff': 3523.809523809524, 'cleanliness_score': 0.0, 'high_freq_content': 0.04066558927297592, 'background_consistency': 0.501801073551178, 'env_stability': 0.5}"
