chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.8129675810473815,True,0.11566072702407837,"[0.7651670575141907, 0.1795380562543869, 0.0005389100406318903, 0.05475601181387901]",bonafide,"{'rt60': 0.0, 'drr': 0.4609285593032837, 'snr': 4.27061128616333, 'background_level': -25.569068908691406, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5057147218933016, 'spectral_flatness': 0.06149827316403389, 'spectral_rolloff': 4636.6567460317465, 'cleanliness_score': 0.0, 'high_freq_content': 0.14416062831878662, 'background_consistency': 0.861339807510376, 'env_stability': 1.0}"
1,3.0,7.0,True,0.6508728179551122,True,0.025492332875728607,"[0.9558512568473816, 0.04074482619762421, 0.00022494712902698666, 0.003178939688950777]",bonafide,"{'rt60': 0.0, 'drr': 0.3740883469581604, 'snr': 6.524717807769775, 'background_level': -30.302228927612305, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5338927092451965, 'spectral_flatness': 0.06593245267868042, 'spectral_rolloff': 4545.696924603175, 'cleanliness_score': 0.0, 'high_freq_content': 0.11665576696395874, 'background_consistency': 0.9513858556747437, 'env_stability': 1.0}"
2,6.0,10.0,True,0.6733167082294265,True,0.014587568119168282,"[0.9684191942214966, 0.029501885175704956, 0.00020034119370393455, 0.0018786395667120814]",bonafide,"{'rt60': 0.0, 'drr': 0.37063878774642944, 'snr': 5.958408832550049, 'background_level': -28.73621368408203, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6607156226546851, 'spectral_flatness': 0.04882056266069412, 'spectral_rolloff': 4155.133928571428, 'cleanliness_score': 0.0, 'high_freq_content': 0.09393175691366196, 'background_consistency': 0.8698951601982117, 'env_stability': 1.0}"
3,9.0,13.0,True,0.513715710723192,True,0.0065134987235069275,"[0.9843835830688477, 0.015123267658054829, 8.21992289274931e-05, 0.00041097027133218944]",bonafide,"{'rt60': 0.0, 'drr': 0.38773098587989807, 'snr': 6.668952941894531, 'background_level': -30.140865325927734, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5685742458080902, 'spectral_flatness': 0.059237293899059296, 'spectral_rolloff': 4404.699900793651, 'cleanliness_score': 0.0, 'high_freq_content': 0.2332020103931427, 'background_consistency': 0.9185285568237305, 'env_stability': 1.0}"
4,12.0,16.0,True,0.5960099750623441,True,0.03173859044909477,"[0.9330744743347168, 0.06331076472997665, 0.00021324701083358377, 0.003401536261662841]",bonafide,"{'rt60': 0.0, 'drr': 0.3428274095058441, 'snr': 6.6259355545043945, 'background_level': -30.20745849609375, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6974899102613933, 'spectral_flatness': 0.05481966584920883, 'spectral_rolloff': 4097.03621031746, 'cleanliness_score': 0.0, 'high_freq_content': 0.09625682979822159, 'background_consistency': 0.8219802975654602, 'env_stability': 1.0}"
5,15.0,19.0,False,0.34663341645885287,False,,,,
6,18.0,22.0,True,0.6109725685785536,True,0.010529711842536926,"[0.976455807685852, 0.022453997284173965, 0.00015609641559422016, 0.000934055948164314]",bonafide,"{'rt60': 0.0, 'drr': 0.3639730215072632, 'snr': 6.185307502746582, 'background_level': -29.278152465820312, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6631210405695455, 'spectral_flatness': 0.055707186460494995, 'spectral_rolloff': 4138.578869047619, 'cleanliness_score': 0.0, 'high_freq_content': 0.11529476940631866, 'background_consistency': 0.9041168093681335, 'env_stability': 1.0}"
7,21.0,25.0,True,0.6907730673316709,True,0.007218752056360245,"[0.9808830618858337, 0.01840950921177864, 8.969399641500786e-05, 0.0006177546456456184]",bonafide,"{'rt60': 0.0, 'drr': 0.3383435904979706, 'snr': 5.169618129730225, 'background_level': -28.548643112182617, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6143349637329646, 'spectral_flatness': 0.05811701714992523, 'spectral_rolloff': 4306.547619047619, 'cleanliness_score': 0.0, 'high_freq_content': 0.19032256305217743, 'background_consistency': 0.891746461391449, 'env_stability': 1.0}"
8,24.0,28.0,True,0.685785536159601,True,0.05510690435767174,"[0.9246746897697449, 0.06081048771739006, 0.0002671427500899881, 0.01424762886017561]",bonafide,"{'rt60': 0.0, 'drr': 0.4938672184944153, 'snr': 5.73026180267334, 'background_level': -28.138132095336914, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5414792109694251, 'spectral_flatness': 0.06981170922517776, 'spectral_rolloff': 4545.076884920635, 'cleanliness_score': 0.0, 'high_freq_content': 0.19400358200073242, 'background_consistency': 0.9781790375709534, 'env_stability': 1.0}"
9,27.0,31.0,True,0.5486284289276808,True,0.009633652865886688,"[0.9717156887054443, 0.027297569438815117, 0.00015917779819574207, 0.0008275415166281164]",bonafide,"{'rt60': 0.0, 'drr': 0.41282203793525696, 'snr': 6.871851921081543, 'background_level': -30.593107223510742, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5997479777138496, 'spectral_flatness': 0.061196330934762955, 'spectral_rolloff': 4300.657242063492, 'cleanliness_score': 0.0, 'high_freq_content': 0.1487494856119156, 'background_consistency': 0.7698833346366882, 'env_stability': 1.0}"
