chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.6134663341645885,True,0.6656279563903809,"[0.08941518515348434, 0.8991016149520874, 0.0028602462261915207, 0.008622915484011173]",synthesis,"{'rt60': 0.0, 'drr': 0.3674439787864685, 'snr': 18.362165451049805, 'background_level': -41.47721862792969, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9664298018279228, 'spectral_flatness': 0.03189517930150032, 'spectral_rolloff': 3201.7609126984125, 'cleanliness_score': 0.0, 'high_freq_content': 0.004587831906974316, 'background_consistency': 0.9769393801689148, 'env_stability': 1.0}"
1,3.0,7.0,True,0.6608478802992519,True,0.41949933767318726,"[0.45617184042930603, 0.03330415114760399, 0.00013452075654640794, 0.510389506816864]",replay,"{'rt60': 0.0, 'drr': 0.2903977930545807, 'snr': 18.420825958251953, 'background_level': -40.38204574584961, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9960533350276507, 'spectral_flatness': 0.034823544323444366, 'spectral_rolloff': 3385.7886904761904, 'cleanliness_score': 0.0, 'high_freq_content': 0.0057357195764780045, 'background_consistency': 0.6904764175415039, 'env_stability': 1.0}"
2,6.0,10.0,True,0.7531172069825436,True,0.29879820346832275,"[0.5492968559265137, 0.07452096045017242, 0.000311772309942171, 0.3758704364299774]",bonafide,"{'rt60': 0.0, 'drr': 0.295969158411026, 'snr': 13.280352592468262, 'background_level': -38.86955642700195, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1365566647876035, 'spectral_flatness': 0.02158469147980213, 'spectral_rolloff': 2848.8963293650795, 'cleanliness_score': 0.0, 'high_freq_content': 0.0037307133898139, 'background_consistency': 0.5936251878738403, 'env_stability': 1.0}"
3,9.0,13.0,True,0.5985037406483791,True,0.32098090648651123,"[0.5406509041786194, 0.08684808760881424, 0.0003726888680830598, 0.37212827801704407]",bonafide,"{'rt60': 0.0, 'drr': 0.35482001304626465, 'snr': 19.00162124633789, 'background_level': -39.473670959472656, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1122931876353863, 'spectral_flatness': 0.030160296708345413, 'spectral_rolloff': 3015.438988095238, 'cleanliness_score': 0.0, 'high_freq_content': 0.005678561981767416, 'background_consistency': 0.9992475509643555, 'env_stability': 1.0}"
4,12.0,16.0,True,0.7107231920199502,True,0.29528072476387024,"[0.5394759774208069, 0.04260723292827606, 0.00022710315533913672, 0.4176897406578064]",bonafide,"{'rt60': 0.0, 'drr': 0.26796841621398926, 'snr': 17.775066375732422, 'background_level': -39.23320388793945, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.2635852865753883, 'spectral_flatness': 0.016976257786154747, 'spectral_rolloff': 2662.5124007936506, 'cleanliness_score': 0.0, 'high_freq_content': 0.0011940733529627323, 'background_consistency': 0.9195554852485657, 'env_stability': 1.0}"
5,15.0,19.0,True,0.5187032418952618,True,0.14560063183307648,"[0.7947730422019958, 0.05143216252326965, 0.0002467005397193134, 0.15354806184768677]",bonafide,"{'rt60': 0.0, 'drr': 0.3131972849369049, 'snr': 20.899822235107422, 'background_level': -40.616153717041016, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1921186647979019, 'spectral_flatness': 0.026726502925157547, 'spectral_rolloff': 3055.3075396825398, 'cleanliness_score': 0.0, 'high_freq_content': 0.0033078992273658514, 'background_consistency': 0.9759037494659424, 'env_stability': 1.0}"
6,18.0,22.0,True,0.7032418952618454,True,0.5317261219024658,"[0.4172508418560028, 0.3455754816532135, 0.0005893044290132821, 0.23658432066440582]",bonafide,"{'rt60': 0.0, 'drr': 0.3480193018913269, 'snr': 17.026348114013672, 'background_level': -35.509273529052734, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0794918468978592, 'spectral_flatness': 0.023521659895777702, 'spectral_rolloff': 2938.1200396825398, 'cleanliness_score': 0.0, 'high_freq_content': 0.0054597933776676655, 'background_consistency': 0.9659205079078674, 'env_stability': 1.0}"
7,21.0,25.0,False,0.38154613466334164,False,,,,
8,24.0,28.0,True,0.48877805486284287,True,0.032961245626211166,"[0.9372576475143433, 0.05858609080314636, 0.0003962949849665165, 0.0037599424831569195]",bonafide,"{'rt60': 0.0, 'drr': 0.376528263092041, 'snr': 18.55786895751953, 'background_level': -39.966094970703125, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9985102035674832, 'spectral_flatness': 0.04042831435799599, 'spectral_rolloff': 3256.2003968253966, 'cleanliness_score': 0.0, 'high_freq_content': 0.012694531120359898, 'background_consistency': 0.9327392578125, 'env_stability': 1.0}"
9,27.0,31.0,True,0.5336658354114713,True,0.05005130544304848,"[0.9327592253684998, 0.05498676002025604, 0.000268952629994601, 0.011984989047050476]",bonafide,"{'rt60': 0.0, 'drr': 0.3545985221862793, 'snr': 19.623943328857422, 'background_level': -39.96281433105469, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8948305982485105, 'spectral_flatness': 0.03968602046370506, 'spectral_rolloff': 3432.0436507936506, 'cleanliness_score': 0.0, 'high_freq_content': 0.0184006467461586, 'background_consistency': 0.9908979535102844, 'env_stability': 1.0}"
10,30.0,34.0,True,0.6458852867830424,True,0.07857164740562439,"[0.9208410978317261, 0.052511367946863174, 0.00024317587667610496, 0.026404373347759247]",bonafide,"{'rt60': 0.0, 'drr': 0.293660432100296, 'snr': 20.828969955444336, 'background_level': -40.143341064453125, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9331453766641234, 'spectral_flatness': 0.026846222579479218, 'spectral_rolloff': 3240.6374007936506, 'cleanliness_score': 0.0, 'high_freq_content': 0.011738399975001812, 'background_consistency': 0.9530553221702576, 'env_stability': 1.0}"
11,33.0,37.0,True,0.6034912718204489,True,0.13122887909412384,"[0.8347330689430237, 0.05380749702453613, 0.00018772251496557146, 0.11127173900604248]",bonafide,"{'rt60': 0.0, 'drr': 0.2716931402683258, 'snr': 21.77640724182129, 'background_level': -40.223663330078125, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1250987820948408, 'spectral_flatness': 0.026797061786055565, 'spectral_rolloff': 2978.4846230158732, 'cleanliness_score': 0.0, 'high_freq_content': 0.006381777115166187, 'background_consistency': 0.9595595598220825, 'env_stability': 1.0}"
12,36.0,40.0,True,0.6234413965087282,True,0.6133813261985779,"[0.44864049553871155, 0.2368791252374649, 5.303798752720468e-05, 0.31442737579345703]",bonafide,"{'rt60': 0.0, 'drr': 0.2888772785663605, 'snr': 20.331079483032227, 'background_level': -40.509429931640625, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0797088739364484, 'spectral_flatness': 0.029563695192337036, 'spectral_rolloff': 3057.5396825396824, 'cleanliness_score': 0.0, 'high_freq_content': 0.005574578419327736, 'background_consistency': 0.8570407629013062, 'env_stability': 1.0}"
13,39.0,43.0,True,0.44389027431421446,True,0.12194692343473434,"[0.8369613885879517, 0.06051098182797432, 0.00019639174570329487, 0.10233128070831299]",bonafide,"{'rt60': 0.0, 'drr': 0.25011029839515686, 'snr': 20.096508026123047, 'background_level': -40.631080627441406, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0541236699579073, 'spectral_flatness': 0.03201974928379059, 'spectral_rolloff': 3097.842261904762, 'cleanliness_score': 0.0, 'high_freq_content': 0.008585006929934025, 'background_consistency': 0.8521817922592163, 'env_stability': 1.0}"
14,42.0,46.0,False,0.08478802992518704,False,,,,
