chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.46384039900249374,True,0.6242648959159851,"[0.1889370232820511, 0.0005133541417308152, 9.868482031549775e-09, 0.8105496168136597]",replay,"{'rt60': 0.0, 'drr': 0.1580319106578827, 'snr': 16.32164764404297, 'background_level': -38.89619445800781, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0287263680462586, 'spectral_flatness': 0.020119683817029, 'spectral_rolloff': 3535.404265873016, 'cleanliness_score': 0.0, 'high_freq_content': 0.005009761080145836, 'background_consistency': 0.6121540069580078, 'env_stability': 1.0}"
1,3.0,7.0,True,0.6209476309226932,True,0.991305410861969,"[0.0005013742484152317, 7.875958321938367e-14, 2.561597326265583e-28, 0.9994986057281494]",replay,"{'rt60': 0.0, 'drr': 0.16983285546302795, 'snr': 5.468048572540283, 'background_level': -24.654499053955078, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9922865986901507, 'spectral_flatness': 0.018052220344543457, 'spectral_rolloff': 3815.3521825396824, 'cleanliness_score': 0.0, 'high_freq_content': 0.007494914345443249, 'background_consistency': 0.9611934423446655, 'env_stability': 1.0}"
2,6.0,10.0,True,0.6882793017456359,True,0.8027875423431396,"[0.03682136908173561, 4.0806750689625915e-07, 5.122963346398078e-14, 0.9631782174110413]",replay,"{'rt60': 0.0, 'drr': 0.21331390738487244, 'snr': 6.510438919067383, 'background_level': -24.592485427856445, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0011597083801191, 'spectral_flatness': 0.01548666413873434, 'spectral_rolloff': 3730.15873015873, 'cleanliness_score': 0.0, 'high_freq_content': 0.008508879691362381, 'background_consistency': 0.7034018635749817, 'env_stability': 1.0}"
3,9.0,13.0,True,0.6084788029925187,True,0.7974779009819031,"[0.03402010351419449, 3.973791962152973e-08, 2.3199984668158214e-15, 0.9659798741340637]",replay,"{'rt60': 0.0, 'drr': 0.14994755387306213, 'snr': 7.2895379066467285, 'background_level': -25.290639877319336, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0456839437029428, 'spectral_flatness': 0.012876678258180618, 'spectral_rolloff': 3554.253472222222, 'cleanliness_score': 0.0, 'high_freq_content': 0.00415943656116724, 'background_consistency': 0.7179333567619324, 'env_stability': 1.0}"
4,12.0,16.0,True,0.6932668329177057,True,0.5484619140625,"[0.39920225739479065, 0.02193538285791874, 8.403671927226242e-06, 0.578853964805603]",replay,"{'rt60': 0.0, 'drr': 0.14427664875984192, 'snr': 6.925246715545654, 'background_level': -24.23809051513672, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.094507318726984, 'spectral_flatness': 0.009684878401458263, 'spectral_rolloff': 3413.0084325396824, 'cleanliness_score': 0.0, 'high_freq_content': 0.0033666344825178385, 'background_consistency': 0.895115852355957, 'env_stability': 1.0}"
5,15.0,19.0,False,0.38403990024937656,False,,,,
6,18.0,22.0,True,0.513715710723192,True,0.5205268263816833,"[0.376686155796051, 0.009193729609251022, 5.3707335609942675e-06, 0.6141147613525391]",replay,"{'rt60': 0.0, 'drr': 0.19769257307052612, 'snr': 11.425095558166504, 'background_level': -32.6661262512207, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0169751532433244, 'spectral_flatness': 0.01486724428832531, 'spectral_rolloff': 3665.3025793650795, 'cleanliness_score': 0.0, 'high_freq_content': 0.007799832616001368, 'background_consistency': 0.7084046602249146, 'env_stability': 1.0}"
7,21.0,25.0,True,0.6982543640897756,True,0.8913390040397644,"[0.01217062957584858, 1.142301186973782e-08, 1.320731325358715e-17, 0.987829327583313]",replay,"{'rt60': 0.0, 'drr': 0.18881918489933014, 'snr': 7.21952486038208, 'background_level': -25.29336929321289, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0698488862763254, 'spectral_flatness': 0.010182230733335018, 'spectral_rolloff': 3728.7326388888887, 'cleanliness_score': 0.0, 'high_freq_content': 0.004469483625143766, 'background_consistency': 0.9472416043281555, 'env_stability': 1.0}"
8,24.0,28.0,True,0.6109725685785536,True,0.742888331413269,"[0.0845659002661705, 2.864709313143976e-05, 2.555607635235102e-11, 0.9154054522514343]",replay,"{'rt60': 0.0, 'drr': 0.17817549407482147, 'snr': 8.184991836547852, 'background_level': -25.116823196411133, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1059325924755035, 'spectral_flatness': 0.009354927577078342, 'spectral_rolloff': 3404.7619047619046, 'cleanliness_score': 0.0, 'high_freq_content': 0.002365518594160676, 'background_consistency': 0.9830121397972107, 'env_stability': 1.0}"
9,27.0,31.0,True,0.7256857855361596,True,0.40189316868782043,"[0.6440971493721008, 0.11458158493041992, 0.0001692647929303348, 0.2411520630121231]",bonafide,"{'rt60': 0.0, 'drr': 0.1689087599515915, 'snr': 8.19528865814209, 'background_level': -24.194610595703125, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.099056477460998, 'spectral_flatness': 0.010569018311798573, 'spectral_rolloff': 3561.4459325396824, 'cleanliness_score': 0.0, 'high_freq_content': 0.0034756248351186514, 'background_consistency': 0.9902647733688354, 'env_stability': 1.0}"
10,30.0,34.0,True,0.655860349127182,True,0.14694206416606903,"[0.8972705006599426, 0.0029378491453826427, 1.5996869251466705e-06, 0.09979003667831421]",bonafide,"{'rt60': 0.0, 'drr': 0.16977570950984955, 'snr': 12.329496383666992, 'background_level': -31.123334884643555, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.178080702555072, 'spectral_flatness': 0.009102911688387394, 'spectral_rolloff': 3174.0451388888887, 'cleanliness_score': 0.0, 'high_freq_content': 0.0018020350253209472, 'background_consistency': 0.6318159699440002, 'env_stability': 1.0}"
