chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.428927680798005,True,0.03317983075976372,"[0.9392533898353577, 0.059286996722221375, 0.0006729221786372364, 0.000786725664511323]",bonafide,"{'rt60': 0.0, 'drr': 0.2146531641483307, 'snr': 48.18111038208008, 'background_level': -69.5993881225586, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.4792436435317036, 'spectral_flatness': 0.05174747481942177, 'spectral_rolloff': 3153.0877976190477, 'cleanliness_score': 0.35, 'high_freq_content': 0.001224650302901864, 'background_consistency': 0.5020351409912109, 'env_stability': 0.5}"
1,3.0,7.0,True,0.7281795511221946,True,0.03521113842725754,"[0.9247292876243591, 0.0733557865023613, 0.0011203944450244308, 0.0007944786339066923]",bonafide,"{'rt60': 0.0, 'drr': 0.17581160366535187, 'snr': 6.750741481781006, 'background_level': -23.634571075439453, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.2876239824408509, 'spectral_flatness': 0.004929410759359598, 'spectral_rolloff': 2432.7876984126983, 'cleanliness_score': 0.0, 'high_freq_content': 0.012955094687640667, 'background_consistency': 0.7767317891120911, 'env_stability': 0.5}"
2,6.0,10.0,True,0.6533665835411472,True,0.010489091277122498,"[0.9820632934570312, 0.01774287223815918, 0.00011452240141807124, 7.932734297355637e-05]",bonafide,"{'rt60': 0.0, 'drr': 0.18293677270412445, 'snr': 9.503461837768555, 'background_level': -25.245128631591797, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.374762057659988, 'spectral_flatness': 0.009247446432709694, 'spectral_rolloff': 2310.3298611111113, 'cleanliness_score': 0.0, 'high_freq_content': 0.001574913621880114, 'background_consistency': 0.8251405358314514, 'env_stability': 0.5}"
3,9.0,13.0,True,0.5960099750623441,True,0.018124720081686974,"[0.9513248801231384, 0.04796880483627319, 0.000518511631526053, 0.00018779246602207422]",bonafide,"{'rt60': 0.0, 'drr': 0.1882925033569336, 'snr': 11.784627914428711, 'background_level': -27.141929626464844, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.19152999680723, 'spectral_flatness': 0.009779824875295162, 'spectral_rolloff': 2630.6423611111113, 'cleanliness_score': 0.0, 'high_freq_content': 0.014845853671431541, 'background_consistency': 0.6135281920433044, 'env_stability': 0.5}"
4,12.0,16.0,True,0.6309226932668329,True,0.16158466041088104,"[0.6601601243019104, 0.2749270796775818, 0.0014972278149798512, 0.06341554969549179]",bonafide,"{'rt60': 0.0, 'drr': 0.18105511367321014, 'snr': 11.261358261108398, 'background_level': -27.742591857910156, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.2275181091774408, 'spectral_flatness': 0.011418319307267666, 'spectral_rolloff': 2924.4171626984125, 'cleanliness_score': 0.0, 'high_freq_content': 0.004703097511082888, 'background_consistency': 0.5830135941505432, 'env_stability': 0.5}"
5,15.0,19.0,True,0.6658354114713217,True,0.09894657880067825,"[0.6642657518386841, 0.32595789432525635, 0.004564064089208841, 0.005212325602769852]",bonafide,"{'rt60': 0.0, 'drr': 0.1556105762720108, 'snr': 7.429928779602051, 'background_level': -22.359819412231445, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.3323748962782396, 'spectral_flatness': 0.007707217708230019, 'spectral_rolloff': 2504.402281746032, 'cleanliness_score': 0.0, 'high_freq_content': 0.0024151054676622152, 'background_consistency': 0.7998042106628418, 'env_stability': 0.5}"
6,18.0,22.0,True,0.6309226932668329,True,0.09543372690677643,"[0.6812178492546082, 0.30734893679618835, 0.004212029743939638, 0.007221099454909563]",bonafide,"{'rt60': 0.0, 'drr': 0.1877267062664032, 'snr': 10.330764770507812, 'background_level': -25.602703094482422, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.2321767520000564, 'spectral_flatness': 0.00927787832915783, 'spectral_rolloff': 2753.90625, 'cleanliness_score': 0.0, 'high_freq_content': 0.008981632068753242, 'background_consistency': 0.8685328364372253, 'env_stability': 0.5}"
7,21.0,25.0,True,0.600997506234414,True,0.13161905109882355,"[0.600284218788147, 0.38719433546066284, 0.0037043679039925337, 0.008817162364721298]",bonafide,"{'rt60': 0.0, 'drr': 0.205683171749115, 'snr': 12.442567825317383, 'background_level': -28.883113861083984, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.4336716299996628, 'spectral_flatness': 0.012729354202747345, 'spectral_rolloff': 2605.902777777778, 'cleanliness_score': 0.0, 'high_freq_content': 0.011317580938339233, 'background_consistency': 0.7330867648124695, 'env_stability': 0.5}"
8,24.0,28.0,True,0.6608478802992519,True,0.1796024888753891,"[0.5489082932472229, 0.39807575941085815, 0.004345166962593794, 0.048670828342437744]",bonafide,"{'rt60': 0.0, 'drr': 0.16967721283435822, 'snr': 10.483407974243164, 'background_level': -25.72225570678711, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1808361270954564, 'spectral_flatness': 0.011409291997551918, 'spectral_rolloff': 2958.3953373015875, 'cleanliness_score': 0.0, 'high_freq_content': 0.007294276729226112, 'background_consistency': 0.5896903872489929, 'env_stability': 0.5}"
9,27.0,31.0,True,0.6458852867830424,True,0.7983440160751343,"[0.03636302426457405, 0.9609924554824829, 0.0025431315880268812, 0.00010134142939932644]",synthesis,"{'rt60': 0.0, 'drr': 0.15184983611106873, 'snr': 9.08745002746582, 'background_level': -23.815448760986328, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1190031010140504, 'spectral_flatness': 0.009628389962017536, 'spectral_rolloff': 2832.465277777778, 'cleanliness_score': 0.0, 'high_freq_content': 0.026963725686073303, 'background_consistency': 0.7322356104850769, 'env_stability': 0.5}"
