chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.6733167082294265,True,0.060363005846738815,"[0.9242528676986694, 0.06072341650724411, 0.00028731211205013096, 0.014736300334334373]",bonafide,"{'rt60': 0.0, 'drr': 0.2163694053888321, 'snr': 8.187198638916016, 'background_level': -24.384475708007812, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9064759674128017, 'spectral_flatness': 0.025742702186107635, 'spectral_rolloff': 3555.059523809524, 'cleanliness_score': 0.0, 'high_freq_content': 0.011509043164551258, 'background_consistency': 0.9087440371513367, 'env_stability': 1.0}"
1,3.0,7.0,True,0.5860349127182045,True,0.07198163121938705,"[0.8668860197067261, 0.11789451539516449, 0.000434427842264995, 0.014785077422857285]",bonafide,"{'rt60': 0.0, 'drr': 0.19086511433124542, 'snr': 9.118300437927246, 'background_level': -25.464590072631836, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8279079704805551, 'spectral_flatness': 0.028995158150792122, 'spectral_rolloff': 3757.316468253968, 'cleanliness_score': 0.0, 'high_freq_content': 0.016658909618854523, 'background_consistency': 0.7740108966827393, 'env_stability': 1.0}"
2,6.0,10.0,True,0.5635910224438903,True,0.03517797589302063,"[0.91004478931427, 0.08631686866283417, 0.00038818555185571313, 0.003250237787142396]",bonafide,"{'rt60': 0.0, 'drr': 0.20218750834465027, 'snr': 9.94993782043457, 'background_level': -27.376117706298828, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0005071655978257, 'spectral_flatness': 0.022043781355023384, 'spectral_rolloff': 3367.249503968254, 'cleanliness_score': 0.0, 'high_freq_content': 0.005364868324249983, 'background_consistency': 0.774152934551239, 'env_stability': 1.0}"
3,9.0,13.0,True,0.5561097256857855,True,0.04493164271116257,"[0.9184418320655823, 0.07250213623046875, 0.0002604641194920987, 0.008795508183538914]",bonafide,"{'rt60': 0.0, 'drr': 0.2282097339630127, 'snr': 10.373022079467773, 'background_level': -27.52121353149414, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9110198219739372, 'spectral_flatness': 0.02634199522435665, 'spectral_rolloff': 3438.058035714286, 'cleanliness_score': 0.0, 'high_freq_content': 0.011103801429271698, 'background_consistency': 0.7883680462837219, 'env_stability': 1.0}"
4,12.0,16.0,True,0.6109725685785536,True,0.006850480102002621,"[0.97465580701828, 0.02490558661520481, 0.00011005414853570983, 0.00032856097095645964]",bonafide,"{'rt60': 0.0, 'drr': 0.18639782071113586, 'snr': 8.68537712097168, 'background_level': -24.555572509765625, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9403297293606336, 'spectral_flatness': 0.021022288128733635, 'spectral_rolloff': 3437.251984126984, 'cleanliness_score': 0.0, 'high_freq_content': 0.008294687606394291, 'background_consistency': 0.7833009958267212, 'env_stability': 1.0}"
5,15.0,19.0,True,0.6408977556109726,True,0.005865338258445263,"[0.9812614917755127, 0.01850675418972969, 7.359281153185293e-05, 0.00015824941510800272]",bonafide,"{'rt60': 0.0, 'drr': 0.17272445559501648, 'snr': 8.603259086608887, 'background_level': -25.41138458251953, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7871912999271896, 'spectral_flatness': 0.029026830568909645, 'spectral_rolloff': 4110.987103174603, 'cleanliness_score': 0.0, 'high_freq_content': 0.031197352334856987, 'background_consistency': 0.7236102223396301, 'env_stability': 1.0}"
6,18.0,22.0,True,0.7356608478802993,True,0.019813736900687218,"[0.9359886050224304, 0.06258496642112732, 0.00038470758590847254, 0.0010416667209938169]",bonafide,"{'rt60': 0.0, 'drr': 0.24210669100284576, 'snr': 5.659463882446289, 'background_level': -21.867740631103516, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8608016380270295, 'spectral_flatness': 0.02260083705186844, 'spectral_rolloff': 3776.4756944444443, 'cleanliness_score': 0.0, 'high_freq_content': 0.012052571401000023, 'background_consistency': 0.999506950378418, 'env_stability': 1.0}"
7,21.0,25.0,True,0.6633416458852868,True,0.005099818110466003,"[0.9887370467185974, 0.011091667227447033, 5.096488166600466e-05, 0.00012036295083817095]",bonafide,"{'rt60': 0.0, 'drr': 0.27230939269065857, 'snr': 7.069623947143555, 'background_level': -23.427011489868164, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8833141294843804, 'spectral_flatness': 0.024170152842998505, 'spectral_rolloff': 3805.4315476190477, 'cleanliness_score': 0.0, 'high_freq_content': 0.01668052189052105, 'background_consistency': 0.8317148089408875, 'env_stability': 1.0}"
8,24.0,28.0,True,0.7306733167082294,True,0.01214717049151659,"[0.9755034446716309, 0.02362370491027832, 9.844884334597737e-05, 0.0007743602618575096]",bonafide,"{'rt60': 0.0, 'drr': 0.17780432105064392, 'snr': 6.263193607330322, 'background_level': -22.747785568237305, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.903556274665117, 'spectral_flatness': 0.018052857369184494, 'spectral_rolloff': 3705.5431547619046, 'cleanliness_score': 0.0, 'high_freq_content': 0.012206795625388622, 'background_consistency': 0.9822596311569214, 'env_stability': 1.0}"
9,27.0,31.0,False,0.39900249376558605,False,,,,
10,30.0,34.0,True,0.600997506234414,True,0.03339982405304909,"[0.928966224193573, 0.0665750727057457, 0.00027690199203789234, 0.004181842785328627]",bonafide,"{'rt60': 0.0, 'drr': 0.24668154120445251, 'snr': 10.510862350463867, 'background_level': -28.127880096435547, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9000619708311227, 'spectral_flatness': 0.0276715736836195, 'spectral_rolloff': 3568.7003968253966, 'cleanliness_score': 0.0, 'high_freq_content': 0.009047949686646461, 'background_consistency': 0.814617395401001, 'env_stability': 1.0}"
11,33.0,37.0,True,0.6359102244389028,True,0.017492765560746193,"[0.9698474407196045, 0.02797301672399044, 0.00015323373372666538, 0.00202635838650167]",bonafide,"{'rt60': 0.0, 'drr': 0.2851412892341614, 'snr': 8.623764991760254, 'background_level': -25.975269317626953, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9789163775341793, 'spectral_flatness': 0.024060875177383423, 'spectral_rolloff': 3568.8864087301586, 'cleanliness_score': 0.0, 'high_freq_content': 0.01741838827729225, 'background_consistency': 0.7735100388526917, 'env_stability': 1.0}"
