chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.628428927680798,True,0.051272422075271606,"[0.8429208397865295, 0.15246149897575378, 0.0017646064516156912, 0.0028530724812299013]",bonafide,"{'rt60': 0.0, 'drr': 0.2054998129606247, 'snr': 9.231359481811523, 'background_level': -27.955333709716797, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0713900973447712, 'spectral_flatness': 0.01837710663676262, 'spectral_rolloff': 3279.5758928571427, 'cleanliness_score': 0.0, 'high_freq_content': 0.008764894679188728, 'background_consistency': 0.7458084225654602, 'env_stability': 1.0}"
1,3.0,7.0,True,0.7605985037406484,True,0.012995414435863495,"[0.9745513796806335, 0.024854326620697975, 0.0003202893421985209, 0.00027395799406804144]",bonafide,"{'rt60': 0.0, 'drr': 0.1635894477367401, 'snr': 4.975386619567871, 'background_level': -24.039779663085938, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.067744090779768, 'spectral_flatness': 0.014209390617907047, 'spectral_rolloff': 3119.8536706349205, 'cleanliness_score': 0.0, 'high_freq_content': 0.007272595539689064, 'background_consistency': 0.9665008783340454, 'env_stability': 1.0}"
2,6.0,10.0,True,0.6433915211970075,True,0.05141511559486389,"[0.8752761483192444, 0.11610789597034454, 0.0010025701485574245, 0.007613405119627714]",bonafide,"{'rt60': 0.0, 'drr': 0.19515621662139893, 'snr': 7.222864627838135, 'background_level': -26.872404098510742, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0657483492507107, 'spectral_flatness': 0.020039787515997887, 'spectral_rolloff': 3320.560515873016, 'cleanliness_score': 0.0, 'high_freq_content': 0.00949055328965187, 'background_consistency': 0.7629250884056091, 'env_stability': 1.0}"
3,9.0,13.0,True,0.6783042394014963,True,0.003039649687707424,"[0.9978708028793335, 0.002022737869992852, 2.094488991133403e-05, 8.546823664801195e-05]",bonafide,"{'rt60': 0.0, 'drr': 0.17983756959438324, 'snr': 7.598151206970215, 'background_level': -26.967449188232422, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0405537055039618, 'spectral_flatness': 0.019952373579144478, 'spectral_rolloff': 3086.9915674603176, 'cleanliness_score': 0.0, 'high_freq_content': 0.008561001159250736, 'background_consistency': 0.8193721771240234, 'env_stability': 1.0}"
4,12.0,16.0,True,0.5935162094763092,True,0.0030278353951871395,"[0.9960789084434509, 0.0037980605848133564, 3.443662717472762e-05, 8.862670802045614e-05]",bonafide,"{'rt60': 0.0, 'drr': 0.23134151101112366, 'snr': 6.91276741027832, 'background_level': -27.47163963317871, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0118535432393907, 'spectral_flatness': 0.022868018597364426, 'spectral_rolloff': 3233.940972222222, 'cleanliness_score': 0.0, 'high_freq_content': 0.013156539760529995, 'background_consistency': 0.7553914785385132, 'env_stability': 1.0}"
5,15.0,19.0,True,0.5810473815461347,True,0.002287227427586913,"[0.9971875548362732, 0.0026988601312041283, 1.7625290638534352e-05, 9.602872160030529e-05]",bonafide,"{'rt60': 0.0, 'drr': 0.21502681076526642, 'snr': 7.887907981872559, 'background_level': -27.71611976623535, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9575975472391393, 'spectral_flatness': 0.02585402876138687, 'spectral_rolloff': 3466.0218253968255, 'cleanliness_score': 0.0, 'high_freq_content': 0.021990124136209488, 'background_consistency': 0.8023245334625244, 'env_stability': 1.0}"
6,18.0,22.0,True,0.6982543640897756,True,0.006903838366270065,"[0.9795915484428406, 0.020074300467967987, 0.00024781053070910275, 8.631272066850215e-05]",bonafide,"{'rt60': 0.0, 'drr': 0.18060262501239777, 'snr': 5.868216514587402, 'background_level': -25.91558837890625, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9259730759800999, 'spectral_flatness': 0.023807566612958908, 'spectral_rolloff': 3475.7564484126983, 'cleanliness_score': 0.0, 'high_freq_content': 0.01906706765294075, 'background_consistency': 0.9282006621360779, 'env_stability': 1.0}"
7,21.0,25.0,True,0.5386533665835411,True,0.0008263575728051364,"[0.9989373087882996, 0.0010505040409043431, 2.4461746761517134e-06, 9.67480900726514e-06]",bonafide,"{'rt60': 0.0, 'drr': 0.20016434788703918, 'snr': 9.769144058227539, 'background_level': -29.015024185180664, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9092351840441478, 'spectral_flatness': 0.030924713239073753, 'spectral_rolloff': 3752.4181547619046, 'cleanliness_score': 0.0, 'high_freq_content': 0.019157644361257553, 'background_consistency': 0.8069756031036377, 'env_stability': 1.0}"
8,24.0,28.0,True,0.6359102244389028,True,9.58525481209449e-10,"[1.0, 1.3800625647418432e-14, 6.081854036602785e-22, 4.085602623306095e-18]",bonafide,"{'rt60': 0.0, 'drr': 0.32237377762794495, 'snr': 9.314977645874023, 'background_level': -25.99508285522461, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0403868386053872, 'spectral_flatness': 0.014316036365926266, 'spectral_rolloff': 2988.28125, 'cleanliness_score': 0.0, 'high_freq_content': 0.010894251987338066, 'background_consistency': 0.8800495862960815, 'env_stability': 0.5}"
9,27.0,31.0,True,0.486284289276808,True,7.543320680269971e-05,"[0.9997748732566833, 0.00022516825993079692, 2.048956382338929e-08, 3.910501700232771e-09]",bonafide,"{'rt60': 0.0, 'drr': 0.2529675364494324, 'snr': 11.315245628356934, 'background_level': -29.30681610107422, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9360356676016517, 'spectral_flatness': 0.012094700708985329, 'spectral_rolloff': 3227.6785714285716, 'cleanliness_score': 0.0, 'high_freq_content': 0.017558347433805466, 'background_consistency': 0.8560875058174133, 'env_stability': 0.5}"
