manipulation_type,source_origin,split,variant_id,total,status_ai_replay_missed,avg_decision_score,avg_suspicious_chunk_ratio,avg_max_chunk_spoof,partial_detection_rate,status_direct_ai_file_level_missed_but_segment_suspicious,status_direct_ai_missed,status_clean_human_accepted,status_human_replay_missed,status_ai_mixer_file_level_missed_but_segment_suspicious,status_ai_mixer_missed,status_human_mixer_manipulation_detected,status_human_mixer_missed,status_partial_fabrication_missed,status_partial_fabrication_detected
ai_replay,ai,test,ai_replay_laptop_mobile,4,4.0,0.0,0.0,0.06569224130362267,,,,,,,,,,,
ai_replay,ai,train,ai_replay_laptop_mobile,16,16.0,0.0,0.0,0.11049544485285873,,,,,,,,,,,
ai_replay,ai,val,ai_replay_laptop_mobile,3,3.0,0.0,0.0,0.08564942516386503,,,,,,,,,,,
clean_direct,ai,test,ai_direct,4,,0.045036764705882346,0.045036764705882346,0.6867055371403694,,1.0,3.0,,,,,,,,
clean_direct,ai,train,ai_direct,16,,0.029211229946524055,0.029211229946524055,0.4275422972277738,,1.0,15.0,,,,,,,,
clean_direct,ai,val,ai_direct,3,,0.039215686274509796,0.039215686274509796,0.5720921431978543,,1.0,2.0,,,,,,,,
clean_direct,human,test,human_clean,4,,0.033333333333333326,0.033333333333333326,0.4227131884545088,,,,4.0,,,,,,,
clean_direct,human,train,human_clean,16,,0.042708333333333334,0.042708333333333334,0.5097070061601698,,,,16.0,,,,,,,
clean_direct,human,val,human_clean,3,,0.09206349206349203,0.09206349206349203,0.5355479965607325,,,,3.0,,,,,,,
human_replay,human,test,human_replay_laptop_mobile,4,,0.03846153846153845,0.03846153846153845,0.33853040635585785,,,,,4.0,,,,,,
human_replay,human,train,human_replay_laptop_mobile,16,,0.05034722222222222,0.05034722222222222,0.3823932287050411,,,,,16.0,,,,,,
human_replay,human,val,human_replay_laptop_mobile,3,,0.0,0.0,0.28990826631585753,,,,,3.0,,,,,,
mixer_processed,ai,test,ai_mixer_processed,4,,0.0980392156862745,0.0980392156862745,0.8012126684188843,,,,,,1.0,3.0,,,,
mixer_processed,ai,train,ai_mixer_processed,16,,0.049088176937441635,0.049088176937441635,0.6411273088306189,,,,,,,16.0,,,,
mixer_processed,ai,val,ai_mixer_processed,3,,0.09259259259259252,0.09259259259259252,0.7922350168228149,,,,,,1.0,2.0,,,,
mixer_processed,human,test,human_mixer_processed,4,,0.4422619047619047,0.4422619047619047,0.8703494966030121,,,,,,,,2.0,2.0,,
mixer_processed,human,train,human_mixer_processed,16,,0.3839249292374292,0.3839249292374292,0.830744531005621,,,,,,,,4.0,12.0,,
mixer_processed,human,val,human_mixer_processed,3,,0.2738095238095238,0.2738095238095238,0.8354690472284952,,,,,,,,,3.0,,
partial_ai_insert,mixed,test,ai_fabricated,4,,0.027046783625730972,0.027046783625730972,0.5639497376978397,0.0,,,,,,,,,4.0,
partial_ai_insert,mixed,test,human_fabricated,4,,0.02941176470588235,0.02941176470588235,0.42087407596409315,0.0,,,,,,,,,4.0,
partial_ai_insert,mixed,train,ai_fabricated,16,,0.030815242763772163,0.030815242763772163,0.5512956301681697,0.25,,,,,,,,,12.0,4.0
partial_ai_insert,mixed,train,human_fabricated,16,,0.02345467032967032,0.02345467032967032,0.48735405202023685,0.0625,,,,,,,,,15.0,1.0
partial_ai_insert,mixed,val,ai_fabricated,3,,0.05096073517126146,0.05096073517126146,0.7588383952776591,0.3333333333333333,,,,,,,,,2.0,1.0
partial_ai_insert,mixed,val,human_fabricated,3,,0.05921052631578946,0.05921052631578946,0.6308526744445165,0.0,,,,,,,,,3.0,
