sample_id,audio_path,base_id,variant_id,suspicious_start_time,suspicious_end_time,n_chunks_inside,n_chunks_outside,inside_region_avg_spoof,outside_region_avg_spoof,inside_region_max_spoof,outside_region_max_spoof,inside_region_dominant_attack,outside_region_dominant_attack,region_delta,partial_region_detected,notes
ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,base_001,ai_fabricated,18.024,27.818,5,16,0.19390945485793054,0.05889420280860769,0.8121234178543091,0.8262916803359985,bonafide,bonafide,0.135015,True,evaluated
human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,base_001,human_fabricated,16.049,24.293,4,12,0.017057204197044484,0.14065143037199354,0.042642395943403244,0.26564228534698486,bonafide,bonafide,-0.123594,False,evaluated
ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,base_002,ai_fabricated,35.741,42.331,4,11,0.013782429115963168,0.014105372712074106,0.025613917037844658,0.10885028541088104,bonafide,bonafide,-0.000323,False,evaluated
human_002_fabricated,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,base_002,human_fabricated,5.697,11.771,3,10,0.005878769482175509,0.06763653494417668,0.01096574030816555,0.20537588000297546,bonafide,bonafide,-0.061758,False,evaluated
ai_003_fabricated,data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,base_003,ai_fabricated,1.952,8.531,3,14,0.24075590896609356,0.009050513981882042,0.7216451168060303,0.050283972173929214,bonafide,bonafide,0.231705,True,evaluated
human_003_fabricated,data/phase7c1/raw/human_fabricated/human_003_fabricated.wav,base_003,human_fabricated,6.14,13.891,4,10,0.0002678103346163141,0.005393315453511604,0.0010670424671843648,0.032040078192949295,bonafide,bonafide,-0.005126,False,evaluated
ai_004_fabricated,data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,base_004,ai_fabricated,39.453,46.277,4,14,0.26686131327551266,0.013978412195098957,0.7909343242645264,0.13951358199119568,bonafide,bonafide,0.252883,True,evaluated
human_004_fabricated,data/phase7c1/raw/human_fabricated/human_004_fabricated.wav,base_004,human_fabricated,1.739,8.153,2,11,0.004210462007904425,0.12493433203450298,0.007518718484789133,0.4317339360713959,bonafide,bonafide,-0.120724,False,evaluated
ai_005_fabricated,data/phase7c1/raw/ai_fabricated/ai_005_fabricated.wav,base_005,ai_fabricated,42.59,49.433,4,16,0.1437319795077201,0.051208730045374296,0.47390830516815186,0.54449862241745,bonafide,bonafide,0.092523,False,evaluated
human_005_fabricated,data/phase7c1/raw/human_fabricated/human_005_fabricated.wav,base_005,human_fabricated,27.493,35.762,4,13,0.027757803401073033,0.1804303773589289,0.10257408022880554,0.6340903043746948,bonafide,bonafide,-0.152673,False,evaluated
ai_006_fabricated,data/phase7c1/raw/ai_fabricated/ai_006_fabricated.wav,base_006,ai_fabricated,29.439,38.986,4,16,0.0705647348677303,0.002026633820008783,0.2807149589061737,0.022158870473504066,bonafide,bonafide,0.068538,False,evaluated
human_006_fabricated,data/phase7c1/raw/human_fabricated/human_006_fabricated.wav,base_006,human_fabricated,0.425,6.74,3,11,0.04289028653874993,0.10528645528537534,0.09097748249769211,0.8663023114204407,bonafide,bonafide,-0.062396,False,evaluated
ai_007_fabricated,data/phase7c1/raw/ai_fabricated/ai_007_fabricated.wav,base_007,ai_fabricated,45.753,54.448,4,14,0.15126301987766055,0.1117897787442936,0.34714969992637634,0.6691505908966064,bonafide,bonafide,0.039473,False,evaluated
human_007_fabricated,data/phase7c1/raw/human_fabricated/human_007_fabricated.wav,base_007,human_fabricated,11.149,18.612,4,8,0.05404320962361453,0.3168317526578903,0.210198312997818,0.9983158111572266,bonafide,synthesis,-0.262789,False,evaluated
ai_008_fabricated,data/phase7c1/raw/ai_fabricated/ai_008_fabricated.wav,base_008,ai_fabricated,14.11,21.003,4,10,0.009504082672037839,0.0998398638871322,0.029063189402222633,0.9848255515098572,bonafide,bonafide,-0.090336,False,evaluated
human_008_fabricated,data/phase7c1/raw/human_fabricated/human_008_fabricated.wav,base_008,human_fabricated,3.349,8.052,3,3,0.2669807037973442,0.2236484152575334,0.544195830821991,0.47158828377723694,bonafide,bonafide,0.043332,False,evaluated
ai_009_fabricated,data/phase7c1/raw/ai_fabricated/ai_009_fabricated.wav,base_009,ai_fabricated,6.078,15.785,5,12,0.09645642149080232,0.02642620237292211,0.45656120777130127,0.19208428263664246,bonafide,bonafide,0.07003,False,evaluated
human_009_fabricated,data/phase7c1/raw/human_fabricated/human_009_fabricated.wav,base_009,human_fabricated,22.541,29.261,3,15,0.007146115342038684,0.051707431202521546,0.01725933328270912,0.18959608674049377,bonafide,bonafide,-0.044561,False,evaluated
ai_010_fabricated,data/phase7c1/raw/ai_fabricated/ai_010_fabricated.wav,base_010,ai_fabricated,39.565,46.965,4,12,0.10872105846647173,0.007617142387971398,0.3356774151325226,0.054098695516586304,bonafide,bonafide,0.101104,False,evaluated
human_010_fabricated,data/phase7c1/raw/human_fabricated/human_010_fabricated.wav,base_010,human_fabricated,30.108,37.657,4,9,0.13825955662572653,0.39208462586005527,0.3853457570075989,0.8805404901504517,bonafide,synthesis,-0.253825,False,evaluated
ai_011_fabricated,data/phase7c1/raw/ai_fabricated/ai_011_fabricated.wav,base_011,ai_fabricated,30.108,36.664,3,10,0.09647579418636572,6.043627727662694e-05,0.16371268033981323,0.0004859561158809811,bonafide,bonafide,0.096415,False,evaluated
human_011_fabricated,data/phase7c1/raw/human_fabricated/human_011_fabricated.wav,base_011,human_fabricated,36.178,43.987,4,11,0.05494889401779801,0.07760924238457599,0.1973671019077301,0.5708996057510376,bonafide,bonafide,-0.02266,False,evaluated
ai_012_fabricated,data/phase7c1/raw/ai_fabricated/ai_012_fabricated.wav,base_012,ai_fabricated,36.178,44.19,4,12,0.017996001544815954,0.0005397971029933841,0.06064055114984512,0.006475691217929125,bonafide,bonafide,0.017456,False,evaluated
human_012_fabricated,data/phase7c1/raw/human_fabricated/human_012_fabricated.wav,base_012,human_fabricated,41.943,48.54,3,13,0.027972182935118422,0.012388826604225099,0.06244529038667679,0.045183755457401276,bonafide,bonafide,0.015583,False,evaluated
ai_013_fabricated,data/phase7c1/raw/ai_fabricated/ai_013_fabricated.wav,base_013,ai_fabricated,23.7,31.661,4,16,0.029692944792259368,0.09633646513314442,0.059047263115644455,0.8375535607337952,bonafide,bonafide,-0.066644,False,evaluated
human_013_fabricated,data/phase7c1/raw/human_fabricated/human_013_fabricated.wav,base_013,human_fabricated,21.252,29.382,4,11,0.028716873552184552,0.07766497831537643,0.10687688738107681,0.5605834722518921,bonafide,bonafide,-0.048948,False,evaluated
ai_014_fabricated,data/phase7c1/raw/ai_fabricated/ai_014_fabricated.wav,base_014,ai_fabricated,3.003,11.423,4,13,0.309112552087754,0.043289106662572206,0.7423750758171082,0.41917237639427185,bonafide,bonafide,0.265823,True,evaluated
human_014_fabricated,data/phase7c1/raw/human_fabricated/human_014_fabricated.wav,base_014,human_fabricated,23.7,30.463,4,11,0.041806688187534746,0.19815049608322707,0.13986563682556152,0.6193273663520813,bonafide,bonafide,-0.156344,False,evaluated
ai_015_fabricated,data/phase7c1/raw/ai_fabricated/ai_015_fabricated.wav,base_015,ai_fabricated,15.256,24.972,5,16,0.17658972308854573,0.10826908779090605,0.5799357891082764,0.91359943151474,bonafide,bonafide,0.068321,False,evaluated
human_015_fabricated,data/phase7c1/raw/human_fabricated/human_015_fabricated.wav,base_015,human_fabricated,3.003,10.86,4,11,0.22278219253348652,0.10605383846400813,0.8504065275192261,0.5256732106208801,bonafide,bonafide,0.116728,True,evaluated
ai_016_fabricated,data/phase7c1/raw/ai_fabricated/ai_016_fabricated.wav,base_016,ai_fabricated,29.714,40.282,5,16,0.09596467005467275,0.05343401113702839,0.3836990296840668,0.38358354568481445,bonafide,bonafide,0.042531,False,evaluated
human_016_fabricated,data/phase7c1/raw/human_fabricated/human_016_fabricated.wav,base_016,human_fabricated,15.256,24.535,5,14,0.01060420319026889,0.012152901858696299,0.030763033777475357,0.08616955578327179,bonafide,bonafide,-0.001549,False,evaluated
ai_017_fabricated,data/phase7c1/raw/ai_fabricated/ai_017_fabricated.wav,base_017,ai_fabricated,24.26,33.894,5,16,0.15655737556517124,0.016892461218787957,0.684211254119873,0.11951085925102234,bonafide,bonafide,0.139665,True,evaluated
human_017_fabricated,data/phase7c1/raw/human_fabricated/human_017_fabricated.wav,base_017,human_fabricated,2.103,11.913,4,15,0.02882595484243211,0.22313571138462673,0.11299101263284683,0.891999363899231,bonafide,bonafide,-0.19431,False,evaluated
ai_018_fabricated,data/phase7c1/raw/ai_fabricated/ai_018_fabricated.wav,base_018,ai_fabricated,45.994,54.836,4,15,0.05176210752688348,0.20380406516002647,0.13415081799030304,0.9641530513763428,bonafide,bonafide,-0.152042,False,evaluated
human_018_fabricated,data/phase7c1/raw/human_fabricated/human_018_fabricated.wav,base_018,human_fabricated,29.714,38.679,4,11,0.017332063987851143,0.007409858392334586,0.055310651659965515,0.019985152408480644,bonafide,bonafide,0.009922,False,evaluated
ai_019_fabricated,data/phase7c1/raw/ai_fabricated/ai_019_fabricated.wav,base_019,ai_fabricated,39.92,51.003,6,15,0.12007670156890526,0.08801805913196101,0.3547123968601227,0.6281508803367615,bonafide,bonafide,0.032059,False,evaluated
human_019_fabricated,data/phase7c1/raw/human_fabricated/human_019_fabricated.wav,base_019,human_fabricated,4.337,13.506,3,13,0.003693167797943412,0.22460669150146154,0.0110081871971488,0.945248007774353,bonafide,bonafide,-0.220914,False,evaluated
ai_020_fabricated,data/phase7c1/raw/ai_fabricated/ai_020_fabricated.wav,base_020,ai_fabricated,10.708,20.214,3,16,0.020381830167025328,0.12375235537530216,0.04531031847000122,0.8206132054328918,bonafide,bonafide,-0.103371,False,evaluated
human_020_fabricated,data/phase7c1/raw/human_fabricated/human_020_fabricated.wav,base_020,human_fabricated,20.622,27.612,4,13,0.055190141894854605,0.3716596932365344,0.11051914095878601,0.9943031072616577,bonafide,synthesis,-0.31647,False,evaluated
ai_021_fabricated,data/phase7c1/raw/ai_fabricated/ai_021_fabricated.wav,base_021,ai_fabricated,14.392,22.878,4,14,0.03671550168655813,0.00900708681585424,0.10420353710651398,0.061932697892189026,bonafide,bonafide,0.027708,False,evaluated
human_021_fabricated,data/phase7c1/raw/human_fabricated/human_021_fabricated.wav,base_021,human_fabricated,24.26,32.978,4,14,0.0002254485609647361,0.013364254081222628,0.0008263575728051364,0.05141511559486389,bonafide,bonafide,-0.013139,False,evaluated
ai_022_fabricated,data/phase7c1/raw/ai_fabricated/ai_022_fabricated.wav,base_022,ai_fabricated,53.857,63.793,4,17,0.04876747675007209,0.07377178609117466,0.12163356691598892,0.6298315525054932,bonafide,bonafide,-0.025004,False,evaluated
human_022_fabricated,data/phase7c1/raw/human_fabricated/human_022_fabricated.wav,base_022,human_fabricated,4.679,11.408,3,11,0.06897911900220303,0.14465844387781213,0.19868534803390503,0.5766909718513489,bonafide,bonafide,-0.075679,False,evaluated
ai_023_fabricated,data/phase7c1/raw/ai_fabricated/ai_023_fabricated.wav,base_023,ai_fabricated,17.546,24.021,4,14,0.015258624567650259,0.09079839532817857,0.03799937665462494,0.70115065574646,bonafide,bonafide,-0.07554,False,evaluated
human_023_fabricated,data/phase7c1/raw/human_fabricated/human_023_fabricated.wav,base_023,human_fabricated,16.043,24.428,4,13,0.0018859742704080418,0.013623045413921248,0.0035106490831822157,0.06108710914850235,bonafide,bonafide,-0.011737,False,evaluated
