chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.5985037406483791,True,0.992061972618103,"[0.0012656546896323562, 0.9987334609031677, 8.280461543108686e-07, 5.029918703769454e-10]",synthesis,"{'rt60': 0.96, 'drr': 0.2455584704875946, 'snr': 19.33489990234375, 'background_level': -52.14091491699219, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9765121869794325, 'spectral_flatness': 0.02715119533240795, 'spectral_rolloff': 3544.9528769841268, 'cleanliness_score': 0.0, 'high_freq_content': 0.0037236905191093683, 'background_consistency': 0.5140369534492493, 'env_stability': 0.5}"
1,3.0,7.0,True,0.6159600997506235,True,0.858244001865387,"[0.03369470685720444, 0.9656577706336975, 0.0006317751249298453, 1.5816180166439153e-05]",synthesis,"{'rt60': 0.0, 'drr': 0.1525159627199173, 'snr': 16.315505981445312, 'background_level': -45.76778030395508, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9130603375327624, 'spectral_flatness': 0.018789980560541153, 'spectral_rolloff': 2858.1349206349205, 'cleanliness_score': 0.0, 'high_freq_content': 0.006930303294211626, 'background_consistency': 0.5159592032432556, 'env_stability': 0.5}"
2,6.0,10.0,True,0.43640897755610975,True,0.024007748812437057,"[0.8981444239616394, 0.10116340965032578, 0.0006062575848773122, 8.59856081660837e-05]",bonafide,"{'rt60': 3.008, 'drr': 0.1580970287322998, 'snr': 39.62881088256836, 'background_level': -79.32067108154297, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0520295642175976, 'spectral_flatness': 0.025412628427147865, 'spectral_rolloff': 3401.847718253968, 'cleanliness_score': 0.3, 'high_freq_content': 0.0028500619810074568, 'background_consistency': 0.5010457038879395, 'env_stability': 0.5}"
3,9.0,13.0,True,0.5635910224438903,True,0.0002824080875143409,"[0.9995948672294617, 0.0004044812230858952, 1.3999554937527137e-07, 5.451088895824796e-07]",bonafide,"{'rt60': 0.512, 'drr': 0.16987018287181854, 'snr': 26.555095672607422, 'background_level': -79.54215240478516, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0339137399087142, 'spectral_flatness': 0.01428022887557745, 'spectral_rolloff': 3558.59375, 'cleanliness_score': 0.3, 'high_freq_content': 0.007034364156424999, 'background_consistency': 0.500521183013916, 'env_stability': 1.0}"
4,12.0,16.0,True,0.5860349127182045,True,0.0001334200205747038,"[0.9999030828475952, 9.68560780165717e-05, 3.173892793029154e-08, 8.493777414741999e-08]",bonafide,"{'rt60': 0.0, 'drr': 0.2256409376859665, 'snr': 14.771767616271973, 'background_level': -41.625, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.869367574722103, 'spectral_flatness': 0.02955661714076996, 'spectral_rolloff': 3397.0114087301586, 'cleanliness_score': 0.0, 'high_freq_content': 0.011012515984475613, 'background_consistency': 0.5609451532363892, 'env_stability': 0.5}"
5,15.0,19.0,True,0.5411471321695761,True,0.9598750472068787,"[0.00952230952680111, 0.9904592037200928, 1.8168220776715316e-05, 3.4332560971961357e-07]",synthesis,"{'rt60': 0.0, 'drr': 0.20834937691688538, 'snr': 25.49852752685547, 'background_level': -75.43965911865234, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8735300770843591, 'spectral_flatness': 0.024531591683626175, 'spectral_rolloff': 3715.7738095238096, 'cleanliness_score': 0.3, 'high_freq_content': 0.013183039613068104, 'background_consistency': 0.5010203123092651, 'env_stability': 0.5}"
6,18.0,22.0,True,0.6583541147132169,True,0.0037654137704521418,"[0.9873588681221008, 0.012563248164951801, 4.2898787796730176e-05, 3.5012970329262316e-05]",bonafide,"{'rt60': 0.0, 'drr': 0.2694571614265442, 'snr': 12.350617408752441, 'background_level': -36.613441467285156, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7222689817168257, 'spectral_flatness': 0.023240214213728905, 'spectral_rolloff': 3925.967261904762, 'cleanliness_score': 0.0, 'high_freq_content': 0.018350066617131233, 'background_consistency': 0.9615143537521362, 'env_stability': 0.5}"
7,21.0,25.0,True,0.5835411471321695,True,0.00026272484683431685,"[0.9994055032730103, 0.0005884052370674908, 3.05720448068314e-07, 5.679089099430712e-06]",bonafide,"{'rt60': 1.44, 'drr': 0.255323201417923, 'snr': 16.26717758178711, 'background_level': -40.53378677368164, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8690508141514243, 'spectral_flatness': 0.028898341581225395, 'spectral_rolloff': 3473.4002976190477, 'cleanliness_score': 0.0, 'high_freq_content': 0.009583376348018646, 'background_consistency': 0.8958125114440918, 'env_stability': 0.5}"
8,24.0,28.0,True,0.6159600997506235,True,0.09773432463407516,"[0.6386040449142456, 0.35284289717674255, 0.0016468021785840392, 0.0069062658585608006]",bonafide,"{'rt60': 1.888, 'drr': 0.3050690293312073, 'snr': 17.33576202392578, 'background_level': -48.983707427978516, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8601280807899137, 'spectral_flatness': 0.019092509523034096, 'spectral_rolloff': 3477.8645833333335, 'cleanliness_score': 0.0, 'high_freq_content': 0.010605410672724247, 'background_consistency': 0.5017607808113098, 'env_stability': 0.5}"
9,27.0,31.0,True,0.6309226932668329,True,4.451983841136098e-05,"[0.9999516010284424, 4.832563718082383e-05, 6.05777428219767e-09, 8.232850490230703e-08]",bonafide,"{'rt60': 0.0, 'drr': 0.24319599568843842, 'snr': 15.528336524963379, 'background_level': -39.957313537597656, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.725117253235603, 'spectral_flatness': 0.02191876992583275, 'spectral_rolloff': 4015.376984126984, 'cleanliness_score': 0.0, 'high_freq_content': 0.014691666699945927, 'background_consistency': 0.5035463571548462, 'env_stability': 0.5}"
10,30.0,34.0,True,0.543640897755611,True,0.0006178345065563917,"[0.9960206151008606, 0.003976215608417988, 2.5711049147503218e-06, 5.560403906201827e-07]",bonafide,"{'rt60': 1.248, 'drr': 0.2055446207523346, 'snr': 19.728275299072266, 'background_level': -44.39613342285156, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6469389732451736, 'spectral_flatness': 0.035203319042921066, 'spectral_rolloff': 3906.063988095238, 'cleanliness_score': 0.0, 'high_freq_content': 0.022025907412171364, 'background_consistency': 0.5972800850868225, 'env_stability': 0.5}"
11,33.0,37.0,True,0.5586034912718204,True,0.9978172779083252,"[0.0004029051633551717, 0.9995970129966736, 5.130080893422928e-08, 5.947445660958728e-12]",synthesis,"{'rt60': 2.176, 'drr': 0.18645906448364258, 'snr': 23.111892700195312, 'background_level': -76.39434814453125, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7345390794846407, 'spectral_flatness': 0.023797979578375816, 'spectral_rolloff': 3951.3268849206347, 'cleanliness_score': 0.3, 'high_freq_content': 0.029237715527415276, 'background_consistency': 0.5232277512550354, 'env_stability': 0.5}"
12,36.0,40.0,True,0.6384039900249376,True,0.020177319645881653,"[0.904005229473114, 0.0946323350071907, 3.094971543760039e-05, 0.0013315282994881272]",bonafide,"{'rt60': 0.0, 'drr': 0.30678507685661316, 'snr': 11.376985549926758, 'background_level': -35.83952713012695, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7374477774374285, 'spectral_flatness': 0.024753311648964882, 'spectral_rolloff': 4193.824404761905, 'cleanliness_score': 0.0, 'high_freq_content': 0.019436374306678772, 'background_consistency': 0.5021930932998657, 'env_stability': 0.5}"
13,39.0,43.0,True,0.7381546134663342,True,0.04356881603598595,"[0.8173301219940186, 0.17266538739204407, 0.00024434083024971187, 0.009760159067809582]",bonafide,"{'rt60': 0.0, 'drr': 0.15842404961585999, 'snr': 7.403531074523926, 'background_level': -30.837303161621094, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7894935487195656, 'spectral_flatness': 0.0293622687458992, 'spectral_rolloff': 3714.285714285714, 'cleanliness_score': 0.0, 'high_freq_content': 0.023753203451633453, 'background_consistency': 0.9186378121376038, 'env_stability': 0.5}"
