chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.6483790523690773,True,0.9999171495437622,"[5.62776840524748e-05, 0.999943733215332, 5.0220321234917265e-09, 8.604625800941179e-13]",synthesis,"{'rt60': 0.0, 'drr': 0.18688978254795074, 'snr': 15.316158294677734, 'background_level': -32.79512023925781, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.2411961206555608, 'spectral_flatness': 0.023355498909950256, 'spectral_rolloff': 2638.2688492063494, 'cleanliness_score': 0.0, 'high_freq_content': 0.0012936809798702598, 'background_consistency': 0.6204974055290222, 'env_stability': 1.0}"
1,3.0,7.0,True,0.6334164588528678,True,0.9998267292976379,"[8.922867709770799e-05, 0.9999107122421265, 7.900504250812901e-09, 1.9501220571097738e-13]",synthesis,"{'rt60': 0.0, 'drr': 0.20647841691970825, 'snr': 14.59921932220459, 'background_level': -39.04469680786133, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0864821391039, 'spectral_flatness': 0.029840929433703423, 'spectral_rolloff': 2812.624007936508, 'cleanliness_score': 0.0, 'high_freq_content': 0.0037515340372920036, 'background_consistency': 0.5833965539932251, 'env_stability': 1.0}"
2,6.0,10.0,True,0.6134663341645885,True,0.9957684278488159,"[0.0015869755297899246, 0.9984118938446045, 1.1270294635323808e-06, 2.0322234561831465e-08]",synthesis,"{'rt60': 0.0, 'drr': 0.21524356305599213, 'snr': 19.244098663330078, 'background_level': -39.420318603515625, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.221150253091657, 'spectral_flatness': 0.019992735236883163, 'spectral_rolloff': 2557.3536706349205, 'cleanliness_score': 0.0, 'high_freq_content': 0.0014374968595802784, 'background_consistency': 0.9268792867660522, 'env_stability': 1.0}"
3,9.0,13.0,True,0.5112219451371571,True,0.9759923219680786,"[0.00803823210299015, 0.9919163584709167, 3.5658787965076044e-05, 9.672707165009342e-06]",synthesis,"{'rt60': 0.0, 'drr': 0.1935022920370102, 'snr': 22.796096801757812, 'background_level': -40.332672119140625, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1712691414647751, 'spectral_flatness': 0.024448959156870842, 'spectral_rolloff': 2797.9290674603176, 'cleanliness_score': 0.0, 'high_freq_content': 0.0027087933849543333, 'background_consistency': 0.9493440389633179, 'env_stability': 1.0}"
4,12.0,16.0,True,0.683291770573566,True,0.7462314367294312,"[0.06942985951900482, 0.9262436628341675, 0.0010760800214484334, 0.003250450361520052]",synthesis,"{'rt60': 0.0, 'drr': 0.19249792397022247, 'snr': 15.813765525817871, 'background_level': -36.611305236816406, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.240055410293713, 'spectral_flatness': 0.015615901909768581, 'spectral_rolloff': 2439.5461309523807, 'cleanliness_score': 0.0, 'high_freq_content': 0.0015565697103738785, 'background_consistency': 0.564575731754303, 'env_stability': 1.0}"
5,15.0,19.0,True,0.5885286783042394,True,0.9920157194137573,"[0.003007248742505908, 0.9969858527183533, 6.655873221461661e-06, 1.8734324669367197e-07]",synthesis,"{'rt60': 0.0, 'drr': 0.27631136775016785, 'snr': 20.048120498657227, 'background_level': -39.65946960449219, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.061017218337212, 'spectral_flatness': 0.03292180970311165, 'spectral_rolloff': 2952.2569444444443, 'cleanliness_score': 0.0, 'high_freq_content': 0.005154237151145935, 'background_consistency': 0.6186842322349548, 'env_stability': 1.0}"
6,18.0,22.0,True,0.4937655860349127,True,0.9998365640640259,"[0.00012436223914846778, 0.999875545501709, 3.472153764505492e-08, 2.4276053389726826e-11]",synthesis,"{'rt60': 0.0, 'drr': 0.2928422689437866, 'snr': 20.625715255737305, 'background_level': -40.05366897583008, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0986782630800636, 'spectral_flatness': 0.03155730292201042, 'spectral_rolloff': 3009.7346230158732, 'cleanliness_score': 0.0, 'high_freq_content': 0.005755712278187275, 'background_consistency': 0.6348291635513306, 'env_stability': 1.0}"
7,21.0,25.0,True,0.6483790523690773,True,0.9984299540519714,"[0.0008088070317171514, 0.999190628528595, 5.523892809833342e-07, 5.373290701271571e-09]",synthesis,"{'rt60': 0.0, 'drr': 0.27078717947006226, 'snr': 17.776351928710938, 'background_level': -39.03098678588867, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0391278338554353, 'spectral_flatness': 0.030426746234297752, 'spectral_rolloff': 2889.8809523809523, 'cleanliness_score': 0.0, 'high_freq_content': 0.0064538586884737015, 'background_consistency': 0.8448116779327393, 'env_stability': 0.5}"
8,24.0,28.0,True,0.5810473815461347,True,0.9990507960319519,"[0.0006706173880957067, 0.9993290901184082, 3.752801376322168e-07, 9.693182256853561e-09]",synthesis,"{'rt60': 0.0, 'drr': 0.31940439343452454, 'snr': 20.089445114135742, 'background_level': -39.46038818359375, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8906277725827052, 'spectral_flatness': 0.04180021956562996, 'spectral_rolloff': 3184.5238095238096, 'cleanliness_score': 0.0, 'high_freq_content': 0.011230598203837872, 'background_consistency': 0.9996397495269775, 'env_stability': 1.0}"
9,27.0,31.0,True,0.6733167082294265,True,0.969613254070282,"[0.010198423638939857, 0.9897263646125793, 5.2686726121464744e-05, 2.2483935026684776e-05]",synthesis,"{'rt60': 0.0, 'drr': 0.3424512445926666, 'snr': 14.540121078491211, 'background_level': -38.83635330200195, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1015983055113827, 'spectral_flatness': 0.025396106764674187, 'spectral_rolloff': 2786.6443452380954, 'cleanliness_score': 0.0, 'high_freq_content': 0.006597522180527449, 'background_consistency': 0.6103145480155945, 'env_stability': 1.0}"
