chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.6059850374064838,True,0.9999206066131592,"[9.479151231062133e-06, 0.9999904632568359, 1.3726013381454294e-11, 1.3136943344516039e-17]",synthesis,"{'rt60': 0.0, 'drr': 0.28717902302742004, 'snr': 8.939932823181152, 'background_level': -29.25948143005371, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7981379805797703, 'spectral_flatness': 0.03537432476878166, 'spectral_rolloff': 3656.25, 'cleanliness_score': 0.0, 'high_freq_content': 0.018651388585567474, 'background_consistency': 0.550580620765686, 'env_stability': 0.5}"
1,3.0,7.0,True,0.5386533665835411,True,0.004206969402730465,"[0.9578565955162048, 0.04200316220521927, 3.453023282418144e-06, 0.0001368571538478136]",bonafide,"{'rt60': 0.0, 'drr': 0.37266555428504944, 'snr': 12.020283699035645, 'background_level': -34.481685638427734, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7353742981678026, 'spectral_flatness': 0.035969242453575134, 'spectral_rolloff': 3748.5119047619046, 'cleanliness_score': 0.0, 'high_freq_content': 0.0188614409416914, 'background_consistency': 0.5708715319633484, 'env_stability': 0.5}"
2,6.0,10.0,True,0.49625935162094764,True,0.009898063726723194,"[0.9600505828857422, 0.039317648857831955, 2.0588677216437645e-05, 0.0006111645488999784]",bonafide,"{'rt60': 0.0, 'drr': 0.26528802514076233, 'snr': 18.709875106811523, 'background_level': -40.84599304199219, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9417451402001176, 'spectral_flatness': 0.030154531821608543, 'spectral_rolloff': 3237.785218253968, 'cleanliness_score': 0.0, 'high_freq_content': 0.010325721465051174, 'background_consistency': 0.5234707593917847, 'env_stability': 0.5}"
3,9.0,13.0,True,0.57356608478803,True,3.386926618986763e-05,"[0.9999237060546875, 7.632232882315293e-05, 1.6080035913912383e-10, 3.4922049696461954e-09]",bonafide,"{'rt60': 0.0, 'drr': 0.2770174443721771, 'snr': 10.212148666381836, 'background_level': -31.539722442626953, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8644154837719972, 'spectral_flatness': 0.025241363793611526, 'spectral_rolloff': 3125.372023809524, 'cleanliness_score': 0.0, 'high_freq_content': 0.014268683269619942, 'background_consistency': 0.7121515274047852, 'env_stability': 0.5}"
4,12.0,16.0,True,0.6807980049875312,True,0.0011536478996276855,"[0.9951775074005127, 0.0047734882682561874, 1.035451835385004e-09, 4.90434977109544e-05]",bonafide,"{'rt60': 0.0, 'drr': 0.2513977289199829, 'snr': 9.034614562988281, 'background_level': -28.62439727783203, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0746723247269474, 'spectral_flatness': 0.021326908841729164, 'spectral_rolloff': 2756.4484126984125, 'cleanliness_score': 0.0, 'high_freq_content': 0.002917549107223749, 'background_consistency': 0.5538296699523926, 'env_stability': 0.5}"
5,15.0,19.0,True,0.6683291770573566,True,0.20633375644683838,"[0.3961489796638489, 0.593239963054657, 0.0010081909131258726, 0.009602885693311691]",synthesis,"{'rt60': 0.0, 'drr': 0.2304898053407669, 'snr': 8.383499145507812, 'background_level': -27.052907943725586, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.3561511263590085, 'spectral_flatness': 0.006735745817422867, 'spectral_rolloff': 2087.5496031746034, 'cleanliness_score': 0.0, 'high_freq_content': 0.0007481276406906545, 'background_consistency': 0.561389684677124, 'env_stability': 1.0}"
6,18.0,22.0,True,0.5536159600997507,True,0.4370724856853485,"[0.20802436769008636, 0.7823969125747681, 0.00364272971637547, 0.005935875698924065]",synthesis,"{'rt60': 0.0, 'drr': 0.2276732325553894, 'snr': 13.562065124511719, 'background_level': -35.78046798706055, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.10925083237737, 'spectral_flatness': 0.012726297602057457, 'spectral_rolloff': 2610.8630952380954, 'cleanliness_score': 0.0, 'high_freq_content': 0.004275760147720575, 'background_consistency': 0.5625185966491699, 'env_stability': 0.5}"
7,21.0,25.0,True,0.571072319201995,True,0.030733926221728325,"[0.7147742509841919, 0.2843175530433655, 8.481821168970782e-06, 0.0008996337419375777]",bonafide,"{'rt60': 0.0, 'drr': 0.2872103452682495, 'snr': 8.221484184265137, 'background_level': -30.81493377685547, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9014827508117537, 'spectral_flatness': 0.021022848784923553, 'spectral_rolloff': 3531.56001984127, 'cleanliness_score': 0.0, 'high_freq_content': 0.011348205618560314, 'background_consistency': 0.9387861490249634, 'env_stability': 0.5}"
8,24.0,28.0,True,0.5261845386533666,True,0.04836099222302437,"[0.7857538461685181, 0.20729108154773712, 0.0005219147424213588, 0.0064331721514463425]",bonafide,"{'rt60': 0.0, 'drr': 0.27807170152664185, 'snr': 14.81396198272705, 'background_level': -45.182098388671875, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0681828174114107, 'spectral_flatness': 0.026959381997585297, 'spectral_rolloff': 3378.2242063492063, 'cleanliness_score': 0.0, 'high_freq_content': 0.004137821029871702, 'background_consistency': 0.5074166655540466, 'env_stability': 0.5}"
9,27.0,31.0,True,0.7481296758104738,True,0.00016346470511052758,"[0.9992734789848328, 0.0007264874875545502, 3.22184448009466e-08, 7.037154858835493e-08]",bonafide,"{'rt60': 0.0, 'drr': 0.2862142026424408, 'snr': 5.713458061218262, 'background_level': -25.769060134887695, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9582254820075009, 'spectral_flatness': 0.022795353084802628, 'spectral_rolloff': 3471.9122023809523, 'cleanliness_score': 0.0, 'high_freq_content': 0.006722224410623312, 'background_consistency': 0.9616495966911316, 'env_stability': 1.0}"
