chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.7556109725685786,True,0.8168451189994812,"[0.4159685969352722, 0.09101993590593338, 4.1885576251843304e-07, 0.4930110573768616]",replay,"{'rt60': 0.0, 'drr': 0.38765037059783936, 'snr': 5.4003400802612305, 'background_level': -26.659160614013672, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.305551451806257, 'spectral_flatness': 0.07199763506650925, 'spectral_rolloff': 5634.982638888889, 'cleanliness_score': 0.0, 'high_freq_content': 0.4006103575229645, 'background_consistency': 0.7924173474311829, 'env_stability': 1.0}"
1,3.0,7.0,True,0.6633416458852868,True,0.5429996252059937,"[0.39936745166778564, 0.024624677374958992, 1.6492580471094698e-05, 0.5759914517402649]",replay,"{'rt60': 0.0, 'drr': 0.2983461320400238, 'snr': 6.080722332000732, 'background_level': -29.001384735107422, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.3328509662725557, 'spectral_flatness': 0.08610181510448456, 'spectral_rolloff': 5430.679563492064, 'cleanliness_score': 0.0, 'high_freq_content': 0.3186481297016144, 'background_consistency': 0.8982740640640259, 'env_stability': 1.0}"
2,6.0,10.0,True,0.7206982543640897,True,0.890198826789856,"[0.12798035144805908, 0.0004169930180069059, 6.989663708933946e-11, 0.8716027140617371]",replay,"{'rt60': 0.0, 'drr': 0.3142446279525757, 'snr': 5.847323417663574, 'background_level': -28.222614288330078, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.4736124558375139, 'spectral_flatness': 0.07275945693254471, 'spectral_rolloff': 5262.028769841269, 'cleanliness_score': 0.0, 'high_freq_content': 0.2143346667289734, 'background_consistency': 0.7846692204475403, 'env_stability': 1.0}"
3,9.0,13.0,True,0.6034912718204489,True,0.6445048451423645,"[0.4294578731060028, 0.05099177360534668, 5.393112587626092e-06, 0.5195449590682983]",replay,"{'rt60': 0.0, 'drr': 0.43866369128227234, 'snr': 6.793863773345947, 'background_level': -29.615299224853516, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.413279450282035, 'spectral_flatness': 0.06789211183786392, 'spectral_rolloff': 5121.0317460317465, 'cleanliness_score': 0.0, 'high_freq_content': 0.40207019448280334, 'background_consistency': 0.9250494241714478, 'env_stability': 1.0}"
4,12.0,16.0,True,0.6683291770573566,True,0.34582293033599854,"[0.47528451681137085, 0.2906775176525116, 0.0009278770885430276, 0.23311017453670502]",bonafide,"{'rt60': 0.0, 'drr': 0.41455987095832825, 'snr': 6.276629447937012, 'background_level': -29.567363739013672, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.47356322100409687, 'spectral_flatness': 0.07251902669668198, 'spectral_rolloff': 5167.286706349207, 'cleanliness_score': 0.0, 'high_freq_content': 0.2620033919811249, 'background_consistency': 0.9356932640075684, 'env_stability': 1.0}"
5,15.0,19.0,True,0.486284289276808,True,0.050988148897886276,"[0.9201549291610718, 0.07140655815601349, 0.00018878297123592347, 0.008249781094491482]",bonafide,"{'rt60': 0.0, 'drr': 0.332976758480072, 'snr': 6.731985092163086, 'background_level': -30.471277236938477, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.47645526252612386, 'spectral_flatness': 0.06823281198740005, 'spectral_rolloff': 5029.265873015873, 'cleanliness_score': 0.0, 'high_freq_content': 0.2267497479915619, 'background_consistency': 0.9750776886940002, 'env_stability': 1.0}"
6,18.0,22.0,True,0.6633416458852868,True,0.05877656117081642,"[0.9291338920593262, 0.05366120487451553, 0.0001539965160191059, 0.01705094985663891]",bonafide,"{'rt60': 0.0, 'drr': 0.38037294149398804, 'snr': 6.219491958618164, 'background_level': -28.29090118408203, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.34988433071841385, 'spectral_flatness': 0.07948846369981766, 'spectral_rolloff': 5557.725694444444, 'cleanliness_score': 0.0, 'high_freq_content': 0.3119421899318695, 'background_consistency': 0.8356525897979736, 'env_stability': 1.0}"
7,21.0,25.0,True,0.5511221945137157,True,0.07716921716928482,"[0.8748162984848022, 0.1102471649646759, 0.00030486073228530586, 0.014631747268140316]",bonafide,"{'rt60': 0.0, 'drr': 0.2943132817745209, 'snr': 7.4744415283203125, 'background_level': -30.3681583404541, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.32509880245458833, 'spectral_flatness': 0.07829991728067398, 'spectral_rolloff': 5443.824404761905, 'cleanliness_score': 0.0, 'high_freq_content': 0.4081268012523651, 'background_consistency': 0.9944128394126892, 'env_stability': 1.0}"
8,24.0,28.0,True,0.5785536159600998,True,0.17788226902484894,"[0.6950815916061401, 0.07787183672189713, 0.00017134500376414508, 0.22687526047229767]",bonafide,"{'rt60': 0.0, 'drr': 0.4240161180496216, 'snr': 6.904773712158203, 'background_level': -30.50081443786621, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.2788597319110147, 'spectral_flatness': 0.08615255355834961, 'spectral_rolloff': 5502.5421626984125, 'cleanliness_score': 0.0, 'high_freq_content': 0.4537394642829895, 'background_consistency': 0.9710044264793396, 'env_stability': 1.0}"
9,27.0,31.0,True,0.5586034912718204,True,0.07779745012521744,"[0.9054298996925354, 0.07256510108709335, 0.00021696570911444724, 0.021787993609905243]",bonafide,"{'rt60': 0.0, 'drr': 0.4154250919818878, 'snr': 6.288806915283203, 'background_level': -30.315277099609375, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.27884354034501296, 'spectral_flatness': 0.08863417059183121, 'spectral_rolloff': 5560.639880952381, 'cleanliness_score': 0.0, 'high_freq_content': 0.4437938928604126, 'background_consistency': 0.841202974319458, 'env_stability': 1.0}"
10,30.0,34.0,True,0.6683291770573566,True,0.07490527629852295,"[0.8377933502197266, 0.15264801681041718, 0.0004449667176231742, 0.009113668464124203]",bonafide,"{'rt60': 0.0, 'drr': 0.36365678906440735, 'snr': 5.20023250579834, 'background_level': -27.430999755859375, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.39390906534130293, 'spectral_flatness': 0.08032462000846863, 'spectral_rolloff': 5598.772321428572, 'cleanliness_score': 0.0, 'high_freq_content': 0.31337273120880127, 'background_consistency': 0.7975371479988098, 'env_stability': 1.0}"
11,33.0,37.0,True,0.6209476309226932,True,0.2685096561908722,"[0.3020114004611969, 0.6472105979919434, 0.0018357211956754327, 0.04894222319126129]",synthesis,"{'rt60': 0.0, 'drr': 0.3514753580093384, 'snr': 6.395693302154541, 'background_level': -30.590534210205078, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.37982865405938326, 'spectral_flatness': 0.08700034022331238, 'spectral_rolloff': 5415.240575396825, 'cleanliness_score': 0.0, 'high_freq_content': 0.30486902594566345, 'background_consistency': 0.9320682883262634, 'env_stability': 1.0}"
12,36.0,40.0,True,0.6084788029925187,True,0.03534407541155815,"[0.9616631865501404, 0.032554712146520615, 0.000124982965644449, 0.005657160189002752]",bonafide,"{'rt60': 0.0, 'drr': 0.38920390605926514, 'snr': 5.8446221351623535, 'background_level': -28.943574905395508, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.33895932836009673, 'spectral_flatness': 0.08986441045999527, 'spectral_rolloff': 5625.682043650793, 'cleanliness_score': 0.0, 'high_freq_content': 0.43362584710121155, 'background_consistency': 0.9070982933044434, 'env_stability': 1.0}"
13,39.0,43.0,True,0.6159600997506235,True,0.4654102921485901,"[0.44705426692962646, 0.029199877753853798, 6.462739838752896e-05, 0.5236812233924866]",replay,"{'rt60': 0.0, 'drr': 0.38297510147094727, 'snr': 6.106363296508789, 'background_level': -29.698266983032227, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.2398485313965434, 'spectral_flatness': 0.09616291522979736, 'spectral_rolloff': 5769.965277777777, 'cleanliness_score': 0.0, 'high_freq_content': 0.49360114336013794, 'background_consistency': 0.8487616181373596, 'env_stability': 1.0}"
14,42.0,46.0,True,0.5386533665835411,True,0.010755924507975578,"[0.9729388952255249, 0.02667272835969925, 4.0573515434516594e-05, 0.0003477740683592856]",bonafide,"{'rt60': 0.0, 'drr': 0.3986513614654541, 'snr': 5.945279121398926, 'background_level': -30.673675537109375, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.3598805047589066, 'spectral_flatness': 0.10354446619749069, 'spectral_rolloff': 5600.756448412699, 'cleanliness_score': 0.0, 'high_freq_content': 0.3137736916542053, 'background_consistency': 0.8954370021820068, 'env_stability': 1.0}"
15,45.0,49.0,True,0.6034912718204489,True,0.006917241960763931,"[0.9798511862754822, 0.01986507698893547, 0.00011720282054739073, 0.00016657880041748285]",bonafide,"{'rt60': 0.0, 'drr': 0.3280197083950043, 'snr': 5.970737934112549, 'background_level': -30.143890380859375, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.4336735992774459, 'spectral_flatness': 0.09249970316886902, 'spectral_rolloff': 5457.65128968254, 'cleanliness_score': 0.0, 'high_freq_content': 0.24274414777755737, 'background_consistency': 0.9039006233215332, 'env_stability': 1.0}"
16,48.0,52.0,True,0.5760598503740648,True,0.07055959850549698,"[0.8802716135978699, 0.10715468972921371, 0.0003141898778267205, 0.012259544804692268]",bonafide,"{'rt60': 0.0, 'drr': 0.3113202750682831, 'snr': 5.790853977203369, 'background_level': -29.942733764648438, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.35354059130316273, 'spectral_flatness': 0.09288999438285828, 'spectral_rolloff': 5408.606150793651, 'cleanliness_score': 0.0, 'high_freq_content': 0.3089442551136017, 'background_consistency': 0.9103621244430542, 'env_stability': 1.0}"
