chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.7206982543640897,True,0.9628481864929199,"[0.010071376338601112, 0.9898842573165894, 4.347300637164153e-05, 8.151180850290984e-07]",synthesis,"{'rt60': 0.0, 'drr': 0.2762943208217621, 'snr': 7.311110496520996, 'background_level': -27.77497100830078, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1418451992638856, 'spectral_flatness': 0.01237016636878252, 'spectral_rolloff': 2786.2723214285716, 'cleanliness_score': 0.0, 'high_freq_content': 0.0031964497175067663, 'background_consistency': 0.9400822520256042, 'env_stability': 1.0}"
1,3.0,7.0,True,0.7107231920199502,True,0.887546181678772,"[0.03327089920639992, 0.9656940698623657, 0.000200559341465123, 0.0008345490205101669]",synthesis,"{'rt60': 0.0, 'drr': 0.18912562727928162, 'snr': 5.522893905639648, 'background_level': -28.437135696411133, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.211027376875592, 'spectral_flatness': 0.012562619522213936, 'spectral_rolloff': 2663.814484126984, 'cleanliness_score': 0.0, 'high_freq_content': 0.0017927553271874785, 'background_consistency': 0.9773147106170654, 'env_stability': 1.0}"
2,6.0,10.0,True,0.6683291770573566,True,0.9840936064720154,"[0.005565649829804897, 0.9944209456443787, 1.1754224033211358e-05, 1.6284852790704463e-06]",synthesis,"{'rt60': 0.0, 'drr': 0.19320230185985565, 'snr': 8.899484634399414, 'background_level': -29.760522842407227, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.2052376046738735, 'spectral_flatness': 0.01585468277335167, 'spectral_rolloff': 2751.6121031746034, 'cleanliness_score': 0.0, 'high_freq_content': 0.0018854498630389571, 'background_consistency': 0.7923921346664429, 'env_stability': 1.0}"
3,9.0,13.0,True,0.6134663341645885,True,0.9705485105514526,"[0.008552368730306625, 0.9914196729660034, 2.430500535410829e-05, 3.6982871733926004e-06]",synthesis,"{'rt60': 0.0, 'drr': 0.2184831202030182, 'snr': 7.161965370178223, 'background_level': -29.924448013305664, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1736771111589415, 'spectral_flatness': 0.01705482229590416, 'spectral_rolloff': 2800.347222222222, 'cleanliness_score': 0.0, 'high_freq_content': 0.00219919066876173, 'background_consistency': 0.6972336173057556, 'env_stability': 1.0}"
4,12.0,16.0,True,0.6134663341645885,True,0.1323462575674057,"[0.7539564371109009, 0.21898570656776428, 0.0003879297582898289, 0.026669954881072044]",bonafide,"{'rt60': 0.0, 'drr': 0.23751004040241241, 'snr': 7.742445945739746, 'background_level': -29.54538345336914, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1890456641697738, 'spectral_flatness': 0.01683584600687027, 'spectral_rolloff': 2857.2668650793653, 'cleanliness_score': 0.0, 'high_freq_content': 0.0025017252191901207, 'background_consistency': 0.7243300080299377, 'env_stability': 1.0}"
5,15.0,19.0,True,0.5685785536159601,True,0.9746528267860413,"[0.006744943559169769, 0.9932482242584229, 5.914967005082872e-06, 9.506217679700057e-07]",synthesis,"{'rt60': 0.0, 'drr': 0.1852445900440216, 'snr': 6.773859024047852, 'background_level': -31.46393585205078, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0977607660300017, 'spectral_flatness': 0.01977451518177986, 'spectral_rolloff': 3034.2881944444443, 'cleanliness_score': 0.0, 'high_freq_content': 0.0032313393894582987, 'background_consistency': 0.7456405162811279, 'env_stability': 1.0}"
6,18.0,22.0,True,0.4139650872817955,True,0.1323462575674057,"[0.6165546178817749, 0.3683413863182068, 0.000737949158065021, 0.014366076327860355]",bonafide,"{'rt60': 0.0, 'drr': 0.1953132599592209, 'snr': 13.325638771057129, 'background_level': -37.713619232177734, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9994876967074036, 'spectral_flatness': 0.037543583661317825, 'spectral_rolloff': 3533.1101190476193, 'cleanliness_score': 0.0, 'high_freq_content': 0.006563135888427496, 'background_consistency': 0.9077475666999817, 'env_stability': 1.0}"
7,21.0,25.0,True,0.6483790523690773,True,0.9972744584083557,"[0.001264421152882278, 0.9987350106239319, 5.663360411745089e-07, 2.1450544451795395e-08]",synthesis,"{'rt60': 0.0, 'drr': 0.25193536281585693, 'snr': 7.690682888031006, 'background_level': -29.39960289001465, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.202308222363419, 'spectral_flatness': 0.01983821392059326, 'spectral_rolloff': 2965.8358134920636, 'cleanliness_score': 0.0, 'high_freq_content': 0.002664211206138134, 'background_consistency': 0.971513569355011, 'env_stability': 1.0}"
8,24.0,28.0,True,0.5885286783042394,True,0.6879445314407349,"[0.08471029251813889, 0.9071709513664246, 0.00319285923615098, 0.004925917834043503]",synthesis,"{'rt60': 0.0, 'drr': 0.20843839645385742, 'snr': 10.993432998657227, 'background_level': -32.82286071777344, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0457101722206943, 'spectral_flatness': 0.025447770953178406, 'spectral_rolloff': 3074.714781746032, 'cleanliness_score': 0.0, 'high_freq_content': 0.0057378471828997135, 'background_consistency': 0.8163288235664368, 'env_stability': 1.0}"
9,27.0,31.0,True,0.7057356608478803,True,0.9132906198501587,"[0.020961346104741096, 0.9789005517959595, 0.00011172721860930324, 2.6331023036618717e-05]",synthesis,"{'rt60': 0.0, 'drr': 0.223552405834198, 'snr': 7.7980852127075195, 'background_level': -28.719879150390625, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.282205446777272, 'spectral_flatness': 0.012533528730273247, 'spectral_rolloff': 2498.0778769841268, 'cleanliness_score': 0.0, 'high_freq_content': 0.0012972373515367508, 'background_consistency': 0.7133986949920654, 'env_stability': 1.0}"
10,30.0,34.0,True,0.6483790523690773,True,0.8825797438621521,"[0.027789296582341194, 0.971983015537262, 0.00017249614757020026, 5.513307769433595e-05]",synthesis,"{'rt60': 0.0, 'drr': 0.21095696091651917, 'snr': 5.577899932861328, 'background_level': -28.680908203125, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.194766681871775, 'spectral_flatness': 0.01794821210205555, 'spectral_rolloff': 2833.2713293650795, 'cleanliness_score': 0.0, 'high_freq_content': 0.0022730883210897446, 'background_consistency': 0.8940616846084595, 'env_stability': 1.0}"
11,33.0,37.0,True,0.5211970074812967,True,0.8980534672737122,"[0.02386724390089512, 0.9759823083877563, 0.00011811614967882633, 3.2291161915054545e-05]",synthesis,"{'rt60': 0.0, 'drr': 0.21960613131523132, 'snr': 9.040068626403809, 'background_level': -33.99118423461914, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.141138872502338, 'spectral_flatness': 0.026569224894046783, 'spectral_rolloff': 3061.8179563492063, 'cleanliness_score': 0.0, 'high_freq_content': 0.0033679623156785965, 'background_consistency': 0.7119787335395813, 'env_stability': 1.0}"
