chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.5012468827930174,True,0.7970043420791626,"[0.04971436411142349, 0.9490985870361328, 0.000839657848700881, 0.0003472976095508784]",synthesis,"{'rt60': 0.0, 'drr': 0.2271699607372284, 'snr': 22.330286026000977, 'background_level': -46.707374572753906, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.12743227357099, 'spectral_flatness': 0.016354132443666458, 'spectral_rolloff': 2899.7395833333335, 'cleanliness_score': 0.0, 'high_freq_content': 0.00310100638307631, 'background_consistency': 0.5816792249679565, 'env_stability': 1.0}"
1,3.0,7.0,True,0.6683291770573566,True,0.2780117094516754,"[0.5473909974098206, 0.20990756154060364, 0.001099344459362328, 0.2416021227836609]",bonafide,"{'rt60': 0.0, 'drr': 0.21116529405117035, 'snr': 10.722084045410156, 'background_level': -35.61503219604492, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.889281262843076, 'spectral_flatness': 0.021832242608070374, 'spectral_rolloff': 3380.8283730158732, 'cleanliness_score': 0.0, 'high_freq_content': 0.011556676588952541, 'background_consistency': 0.7850246429443359, 'env_stability': 0.5}"
2,6.0,10.0,True,0.6234413965087282,True,0.19238758087158203,"[0.6696054339408875, 0.21193890273571014, 0.001068503363057971, 0.11738718301057816]",bonafide,"{'rt60': 0.0, 'drr': 0.2300512045621872, 'snr': 11.739957809448242, 'background_level': -37.72297668457031, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0796728681419763, 'spectral_flatness': 0.012849023565649986, 'spectral_rolloff': 2648.499503968254, 'cleanliness_score': 0.0, 'high_freq_content': 0.005843824241310358, 'background_consistency': 0.669209897518158, 'env_stability': 1.0}"
3,9.0,13.0,True,0.5685785536159601,True,0.022542966529726982,"[0.9853163361549377, 0.01404106430709362, 9.387169848196208e-05, 0.0005487011512741446]",bonafide,"{'rt60': 0.0, 'drr': 0.17484387755393982, 'snr': 13.643980026245117, 'background_level': -39.828067779541016, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1160607645251162, 'spectral_flatness': 0.010679679922759533, 'spectral_rolloff': 2596.4161706349205, 'cleanliness_score': 0.0, 'high_freq_content': 0.00375933526083827, 'background_consistency': 0.6831129789352417, 'env_stability': 1.0}"
4,12.0,16.0,True,0.6658354114713217,True,0.01640303246676922,"[0.969711422920227, 0.02983115240931511, 0.00023316491569858044, 0.0002242324990220368]",bonafide,"{'rt60': 0.0, 'drr': 0.20730382204055786, 'snr': 11.499043464660645, 'background_level': -33.656211853027344, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9049700747851364, 'spectral_flatness': 0.013895027339458466, 'spectral_rolloff': 2791.2326388888887, 'cleanliness_score': 0.0, 'high_freq_content': 0.03681929036974907, 'background_consistency': 0.8239031434059143, 'env_stability': 0.5}"
5,15.0,19.0,True,0.7007481296758105,True,3.633632877608761e-05,"[0.9999175071716309, 8.2523598393891e-05, 5.110193379564976e-10, 5.848306283695592e-09]",bonafide,"{'rt60': 0.0, 'drr': 0.24686299264431, 'snr': 15.329804420471191, 'background_level': -32.00202178955078, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7302202680444956, 'spectral_flatness': 0.03701355680823326, 'spectral_rolloff': 3308.097718253968, 'cleanliness_score': 0.0, 'high_freq_content': 0.03830704092979431, 'background_consistency': 0.5019512176513672, 'env_stability': 0.5}"
6,18.0,22.0,True,0.8603491271820449,True,0.0015517841093242168,"[0.9825180172920227, 0.017373785376548767, 3.681371874009187e-09, 0.00010826616926351562]",bonafide,"{'rt60': 0.0, 'drr': 0.2463144212961197, 'snr': 8.683601379394531, 'background_level': -23.75749397277832, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7415257270133887, 'spectral_flatness': 0.03217586129903793, 'spectral_rolloff': 3153.2118055555557, 'cleanliness_score': 0.0, 'high_freq_content': 0.04118495061993599, 'background_consistency': 0.843539834022522, 'env_stability': 0.5}"
7,21.0,25.0,True,0.7381546134663342,True,0.5855455994606018,"[0.12131944298744202, 0.8773822784423828, 0.0012092842953279614, 8.897976658772677e-05]",synthesis,"{'rt60': 0.0, 'drr': 0.2274635136127472, 'snr': 13.849119186401367, 'background_level': -31.227598190307617, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7537129482020526, 'spectral_flatness': 0.03946118801832199, 'spectral_rolloff': 3272.6934523809523, 'cleanliness_score': 0.0, 'high_freq_content': 0.04203895479440689, 'background_consistency': 0.6902498602867126, 'env_stability': 0.5}"
8,24.0,28.0,True,0.5860349127182045,True,0.11216174066066742,"[0.6266297101974487, 0.36515310406684875, 0.0020317763555794954, 0.006185400299727917]",bonafide,"{'rt60': 0.0, 'drr': 0.19264043867588043, 'snr': 14.358051300048828, 'background_level': -40.27437210083008, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6472707994651161, 'spectral_flatness': 0.024619322270154953, 'spectral_rolloff': 3579.6130952380954, 'cleanliness_score': 0.0, 'high_freq_content': 0.06525381654500961, 'background_consistency': 0.7978623509407043, 'env_stability': 0.5}"
9,27.0,31.0,True,0.6384039900249376,True,0.3542654812335968,"[0.5296175479888916, 0.15144188702106476, 0.0005221921019256115, 0.31841835379600525]",bonafide,"{'rt60': 0.0, 'drr': 0.21282237768173218, 'snr': 13.458127975463867, 'background_level': -38.86204147338867, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.0104160246260625, 'spectral_flatness': 0.010972753167152405, 'spectral_rolloff': 2932.6016865079364, 'cleanliness_score': 0.0, 'high_freq_content': 0.010965906083583832, 'background_consistency': 0.5834984183311462, 'env_stability': 1.0}"
