chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.7830423940149626,True,0.9999996423721313,"[3.662127710413188e-05, 0.9999626874923706, 4.7065381106325965e-12, 6.813048116782738e-07]",synthesis,"{'rt60': 0.0, 'drr': 0.17257452011108398, 'snr': 4.402246952056885, 'background_level': -20.260311126708984, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.669980446877006, 'spectral_flatness': 0.022092193365097046, 'spectral_rolloff': 4110.801091269841, 'cleanliness_score': 0.0, 'high_freq_content': 0.04285057261586189, 'background_consistency': 0.8743847608566284, 'env_stability': 1.0}"
1,3.0,7.0,True,0.7780548628428927,True,0.9999978542327881,"[4.14162059314549e-05, 0.9999586343765259, 1.2020311135341188e-10, 1.928934167949592e-08]",synthesis,"{'rt60': 0.0, 'drr': 0.20810116827487946, 'snr': 4.1269001960754395, 'background_level': -19.93150520324707, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5658380826948916, 'spectral_flatness': 0.03439649939537048, 'spectral_rolloff': 4346.974206349207, 'cleanliness_score': 0.0, 'high_freq_content': 0.06278001517057419, 'background_consistency': 0.9947431087493896, 'env_stability': 1.0}"
2,6.0,10.0,True,0.743142144638404,True,0.9999630451202393,"[0.00019697699462994933, 3.906794443508943e-09, 3.419924622147043e-24, 0.9998030066490173]",replay,"{'rt60': 0.0, 'drr': 0.2630574405193329, 'snr': 5.773924827575684, 'background_level': -21.49347496032715, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.526784412581927, 'spectral_flatness': 0.0420948788523674, 'spectral_rolloff': 4625.744047619048, 'cleanliness_score': 0.0, 'high_freq_content': 0.08295175433158875, 'background_consistency': 0.8540592789649963, 'env_stability': 1.0}"
3,9.0,13.0,True,0.6508728179551122,True,0.9931628704071045,"[0.11895440518856049, 0.071308933198452, 6.79622413901626e-10, 0.8097366690635681]",replay,"{'rt60': 0.0, 'drr': 0.1850484311580658, 'snr': 4.955982208251953, 'background_level': -22.191972732543945, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5481399378511087, 'spectral_flatness': 0.03219472989439964, 'spectral_rolloff': 4654.017857142857, 'cleanliness_score': 0.0, 'high_freq_content': 0.08328904956579208, 'background_consistency': 0.8620023131370544, 'env_stability': 1.0}"
4,12.0,16.0,True,0.7356608478802993,True,0.9896718263626099,"[0.10593682527542114, 0.02930290624499321, 3.4486050126680823e-10, 0.8647602796554565]",replay,"{'rt60': 0.0, 'drr': 0.17618560791015625, 'snr': 5.059382915496826, 'background_level': -21.70905303955078, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5683058289348837, 'spectral_flatness': 0.034512896090745926, 'spectral_rolloff': 4506.324404761905, 'cleanliness_score': 0.0, 'high_freq_content': 0.0679507926106453, 'background_consistency': 0.9944920539855957, 'env_stability': 1.0}"
5,15.0,19.0,True,0.5760598503740648,True,0.9951419830322266,"[0.004335557110607624, 0.9956278800964355, 1.8675088995223632e-06, 3.469100556685589e-05]",synthesis,"{'rt60': 0.0, 'drr': 0.18978379666805267, 'snr': 6.032905101776123, 'background_level': -23.518299102783203, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6051603452358727, 'spectral_flatness': 0.03779153525829315, 'spectral_rolloff': 4545.200892857143, 'cleanliness_score': 0.0, 'high_freq_content': 0.059609975665807724, 'background_consistency': 0.8594878315925598, 'env_stability': 1.0}"
6,18.0,22.0,True,0.46633416458852867,True,0.934035062789917,"[0.30354905128479004, 0.41571351885795593, 5.118773742651683e-07, 0.2807369828224182]",synthesis,"{'rt60': 0.0, 'drr': 0.17696548998355865, 'snr': 6.586800575256348, 'background_level': -24.266376495361328, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6144446019704023, 'spectral_flatness': 0.03192536160349846, 'spectral_rolloff': 4462.673611111111, 'cleanliness_score': 0.0, 'high_freq_content': 0.06956971436738968, 'background_consistency': 0.9294747114181519, 'env_stability': 1.0}"
7,21.0,25.0,False,0.34663341645885287,False,,,,
8,24.0,28.0,True,0.47381546134663344,True,0.4970398247241974,"[0.47452449798583984, 0.057090483605861664, 7.545123662566766e-05, 0.468309611082077]",bonafide,"{'rt60': 0.0, 'drr': 0.17686231434345245, 'snr': 6.540159225463867, 'background_level': -24.44278907775879, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.4754458282600618, 'spectral_flatness': 0.04406492039561272, 'spectral_rolloff': 4882.006448412699, 'cleanliness_score': 0.0, 'high_freq_content': 0.13360925018787384, 'background_consistency': 0.8503872752189636, 'env_stability': 1.0}"
9,27.0,31.0,True,0.42643391521197005,True,0.8838890194892883,"[0.048708561807870865, 0.9445405006408691, 9.421347931493074e-05, 0.0066566769964993]",synthesis,"{'rt60': 0.0, 'drr': 0.15821456909179688, 'snr': 6.677498817443848, 'background_level': -24.5095272064209, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.45769714940047507, 'spectral_flatness': 0.043582476675510406, 'spectral_rolloff': 4853.794642857143, 'cleanliness_score': 0.0, 'high_freq_content': 0.12280912697315216, 'background_consistency': 0.9898518323898315, 'env_stability': 1.0}"
10,30.0,34.0,True,0.5635910224438903,True,0.9256342649459839,"[0.02706669643521309, 0.9720028042793274, 1.5028756934043486e-05, 0.0009153811843134463]",synthesis,"{'rt60': 0.0, 'drr': 0.1641327142715454, 'snr': 7.490031719207764, 'background_level': -23.22750473022461, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.5242967012786746, 'spectral_flatness': 0.02647988870739937, 'spectral_rolloff': 4538.690476190476, 'cleanliness_score': 0.0, 'high_freq_content': 0.06854948401451111, 'background_consistency': 0.7615906000137329, 'env_stability': 0.5}"
