manipulation_type,source_origin,split,variant_id,total,status_ai_replay_missed,status_ai_replay_file_level_missed_but_segment_suspicious,avg_decision_score,avg_suspicious_chunk_ratio,avg_max_chunk_spoof,partial_detection_rate,status_direct_ai_file_level_missed_but_segment_suspicious,status_direct_ai_missed,status_clean_human_false_alarm,status_clean_human_accepted,status_clean_human_borderline,status_human_replay_missed,status_human_replay_manipulation_detected,status_ai_mixer_detected,status_human_mixer_manipulation_detected,status_partial_fabrication_detected,status_partial_fabrication_missed
ai_replay,ai,test,ai_replay_laptop_mobile,4,3.0,1.0,0.13125,0.13125,0.7978527843952179,,,,,,,,,,,,
ai_replay,ai,train,ai_replay_laptop_mobile,16,13.0,3.0,0.14343507289279345,0.14343507289279345,0.8329513482749462,,,,,,,,,,,,
ai_replay,ai,val,ai_replay_laptop_mobile,3,3.0,,0.0957264957264957,0.0957264957264957,0.7828771074612936,,,,,,,,,,,,
clean_direct,ai,test,ai_direct,4,,,0.13288398692810455,0.13288398692810455,0.9705123603343965,,3.0,1.0,,,,,,,,,
clean_direct,ai,train,ai_direct,16,,,0.16136559008801654,0.16136559008801654,0.782635476651194,,10.0,6.0,,,,,,,,,
clean_direct,ai,val,ai_direct,3,,,0.28540305010893247,0.28540305010893247,0.9494128624598185,,2.0,1.0,,,,,,,,,
clean_direct,human,test,human_clean,4,,,0.4886904761904762,0.4886904761904762,0.866642639040947,,,,2.0,2.0,,,,,,,
clean_direct,human,train,human_clean,16,,,0.5923409923409924,0.5923409923409924,0.9734044261276722,,,,6.0,8.0,2.0,,,,,,
clean_direct,human,val,human_clean,3,,,0.3968253968253968,0.3968253968253968,0.8339580098787943,,,,1.0,2.0,,,,,,,
human_replay,human,test,human_replay_laptop_mobile,4,,,0.7848484848484848,0.7848484848484848,0.9935311079025269,,,,,,,1.0,3.0,,,,
human_replay,human,train,human_replay_laptop_mobile,16,,,0.6763257575757576,0.6763257575757576,0.911429250612855,,,,,,,6.0,10.0,,,,
human_replay,human,val,human_replay_laptop_mobile,3,,,0.6437710437710438,0.6437710437710438,0.9322521885236105,,,,,,,1.0,2.0,,,,
mixer_processed,ai,test,ai_mixer_processed,4,,,1.0,1.0,0.9999983906745911,,,,,,,,,4.0,,,
mixer_processed,ai,train,ai_mixer_processed,16,,,1.0,1.0,0.9999876171350479,,,,,,,,,16.0,,,
mixer_processed,ai,val,ai_mixer_processed,3,,,0.9814814814814815,0.9814814814814815,0.999999483426412,,,,,,,,,3.0,,,
mixer_processed,human,test,human_mixer_processed,4,,,1.0,1.0,0.9999997913837433,,,,,,,,,,4.0,,
mixer_processed,human,train,human_mixer_processed,16,,,0.9854166666666666,0.9854166666666666,0.999994732439518,,,,,,,,,,16.0,,
mixer_processed,human,val,human_mixer_processed,3,,,1.0,1.0,0.9999825954437256,,,,,,,,,,3.0,,
partial_ai_insert,mixed,test,ai_fabricated,4,,,0.2337092731829574,0.2337092731829574,0.9583103060722351,1.0,,,,,,,,,,4.0,
partial_ai_insert,mixed,test,human_fabricated,4,,,0.44246031746031744,0.44246031746031744,0.8515118062496185,0.5,,,,,,,,,,2.0,2.0
partial_ai_insert,mixed,train,ai_fabricated,16,,,0.2256014665481577,0.2256014665481577,0.9700658395886421,0.9375,,,,,,,,,,15.0,1.0
partial_ai_insert,mixed,train,human_fabricated,16,,,0.4531314706213119,0.4531314706213119,0.9121989291161299,0.625,,,,,,,,,,10.0,6.0
partial_ai_insert,mixed,val,ai_fabricated,3,,,0.3625730994152046,0.3625730994152046,0.994477371374766,1.0,,,,,,,,,,3.0,
partial_ai_insert,mixed,val,human_fabricated,3,,,0.44766081871345026,0.44766081871345026,0.9342818856239319,0.6666666666666666,,,,,,,,,,2.0,1.0
