sample_id,audio_path,base_id,variant_id,speaker_id,speaker_gender,language,source_origin,manipulation_type,ground_truth_origin,ground_truth_manipulation,origin_label,manipulation_label,attack_hint,risk_level,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,split,split_group_id,prediction,confidence,decision_score,effective_threshold,attack_type,attack_type_conf,bonafide_prob,synthesis_prob,conversion_prob,replay_prob,n_chunks_used,n_chunks_total,suspicious_chunk_count,suspicious_chunk_ratio,max_chunk_spoof,mean_chunk_spoof,median_chunk_spoof,dominant_chunk_attack,n_chunks_inside,n_chunks_outside,inside_region_avg_spoof,outside_region_avg_spoof,inside_region_max_spoof,outside_region_max_spoof,inside_region_dominant_attack,outside_region_dominant_attack,partial_region_detected,baseline_status,final_baseline_interpretation,error
human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,base_001,human_clean,speaker_001,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_001,FAKE,0.8461538461538461,0.8461538461538461,0.7,synthesis,0.8711650371551514,0.1248162984848022,0.8711650371551514,0.0003885927726514,0.003630114486441,13,13,11,0.8461538461538461,0.9972744584083556,0.7942716685625223,0.9020070433616638,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.846).,
human_006_clean,data/phase7c1/raw/human_clean/human_006_clean.wav,base_006,human_clean,speaker_006,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_006,FAKE,0.75,0.75,0.7,synthesis,0.8434889316558838,0.1546138972043991,0.8434889316558838,0.0009033512324094,0.0009939436567947,12,12,9,0.75,0.998504638671875,0.7265449298235277,0.877890408039093,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.750).,
human_007_clean,data/phase7c1/raw/human_clean/human_007_clean.wav,base_007,human_clean,speaker_007,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_007,FAKE,1.0,1.0,0.7,synthesis,0.990702748298645,0.0092313680797815,0.990702748298645,6.151368143036962e-05,4.464262929104734e-06,10,10,10,1.0,1.0,0.9588675439357758,0.9786583781242372,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_008_clean,data/phase7c1/raw/human_clean/human_008_clean.wav,base_008,human_clean,speaker_008,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_008,FAKE,0.8,0.8,0.7,synthesis,0.8598288297653198,0.1397305428981781,0.8598288297653198,0.0002573026285972,0.0001832935522543,5,5,4,0.8,0.9989616870880128,0.8044358029961586,0.9724408984184264,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.800).,
human_010_clean,data/phase7c1/raw/human_clean/human_010_clean.wav,base_010,human_clean,speaker_010,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_010,FAKE,1.0,1.0,0.7,synthesis,0.9984729886054992,0.0015245226677507,0.9984729886054992,2.494175078027183e-06,4.110574280957735e-08,10,11,10,1.0,0.9999942779541016,0.9948493421077728,0.999914824962616,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_014_clean,data/phase7c1/raw/human_clean/human_014_clean.wav,base_014,human_clean,speaker_014,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,train,base_014,FAKE,0.8461538461538461,0.8461538461538461,0.7,synthesis,0.9365617036819458,0.0611710175871849,0.9365617036819458,0.0007325829938054,0.001534680952318,13,13,11,0.8461538461538461,0.9982317090034484,0.8262511904423053,0.9127477407455444,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.846).,
human_019_clean,data/phase7c1/raw/human_clean/human_019_clean.wav,base_019,human_clean,speaker_019,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,val,base_019,FAKE,0.8571428571428571,0.8571428571428571,0.7,synthesis,0.9420440793037416,0.0549515411257743,0.9420440793037416,0.0011203322792425,0.0018840422853827,14,14,12,0.8571428571428571,0.9998371601104736,0.8314919705901828,0.953128457069397,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.857).,
human_020_clean,data/phase7c1/raw/human_clean/human_020_clean.wav,base_020,human_clean,speaker_020,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,test,base_020,FAKE,1.0,1.0,0.7,synthesis,0.997070014476776,0.0029114272911101,0.997070014476776,1.025307756208349e-05,8.356028956768569e-06,15,15,15,1.0,1.0,0.989749562740326,0.9993675351142884,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=1.000).,
human_022_clean,data/phase7c1/raw/human_clean/human_022_clean.wav,base_022,human_clean,speaker_022,unknown,unknown,human,clean_direct,human,clean,human_likely,clean_original,bonafide,low,0,,,test,base_022,FAKE,0.75,0.75,0.7,synthesis,0.899621307849884,0.0935763120651245,0.899621307849884,0.0005059478571638,0.006296323146671,12,12,9,0.75,0.9995390176773072,0.792341789851586,0.9259695410728456,synthesis,0,0,,,,,,,False,clean_human_false_alarm,Clean human false alarm: predicted FAKE (score=0.750).,
ai_002_direct,data/phase7c1/raw/ai_direct/ai_002_direct.wav,base_002,ai_direct,speaker_002,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_002,REAL,0.9230769230769232,0.0769230769230769,0.7,bonafide,0.8093841075897217,0.8093841075897217,0.1891627162694931,0.0007513229502364,0.0007019010954536,13,13,1,0.0769230769230769,0.7493624091148376,0.1185112689757506,0.0030634168069809,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.077).",
ai_006_direct,data/phase7c1/raw/ai_direct/ai_006_direct.wav,base_006,ai_direct,speaker_006,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_006,REAL,1.0,0.0,0.7,bonafide,0.7405189275741577,0.7405189275741577,0.256057471036911,0.0005818589706905,0.0028417964931577,16,16,0,0.0,0.3688602745532989,0.0791266843880293,0.0530550554394722,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.000).",
ai_009_direct,data/phase7c1/raw/ai_direct/ai_009_direct.wav,base_009,ai_direct,speaker_009,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_009,REAL,0.9285714285714286,0.0714285714285714,0.7,bonafide,0.8567809462547302,0.8567809462547302,0.1421874761581421,0.0003796964592766,0.0006518705631606,14,14,1,0.0714285714285714,0.802555501461029,0.0751956463972029,0.002780518727377,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.071).",
ai_010_direct,data/phase7c1/raw/ai_direct/ai_010_direct.wav,base_010,ai_direct,speaker_010,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_010,REAL,0.9285714285714286,0.0714285714285714,0.7,bonafide,0.7823134064674377,0.7823134064674377,0.2155829817056656,6.156922609079629e-05,0.0020420539658516,14,14,1,0.0714285714285714,0.6743722558021545,0.0745387247656513,0.0097311635036021,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.071).",
ai_011_direct,data/phase7c1/raw/ai_direct/ai_011_direct.wav,base_011,ai_direct,speaker_011,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_011,REAL,1.0,0.0,0.7,bonafide,0.9925060868263244,0.9925060868263244,0.0074890106916427,1.0005132935475558e-06,3.858016043523094e-06,12,12,0,0.0,0.0043063051998615,0.0006875728592244,1.307488197710427e-07,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.000).",
ai_012_direct,data/phase7c1/raw/ai_direct/ai_012_direct.wav,base_012,ai_direct,speaker_012,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,train,base_012,REAL,1.0,0.0,0.7,bonafide,0.9989426732063292,0.9989426732063292,0.001057336339727,1.4642443924017812e-09,2.831692214044779e-08,14,14,0,0.0,0.001208945759572,8.978661316243464e-05,3.763239220244685e-09,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.000).",
ai_017_direct,data/phase7c1/raw/ai_direct/ai_017_direct.wav,base_017,ai_direct,speaker_017,unknown,unknown,ai,clean_direct,ai,clean,ai_likely,clean_original,synthesis,high,0,,,val,base_017,REAL,0.8333333333333334,0.1666666666666666,0.7,bonafide,0.7551664710044861,0.7551664710044861,0.2438566982746124,0.0005314121954143,0.0004454676818568,18,18,3,0.1666666666666666,0.8810532093048096,0.1650941257367877,0.0126521298661828,bonafide,0,0,,,,,,,False,direct_ai_missed,"Direct AI missed at file level (REAL, score=0.167).",
