sample_id,audio_path,base_id,variant_id,suspicious_start_time,suspicious_end_time,n_chunks_inside,n_chunks_outside,inside_region_avg_spoof,outside_region_avg_spoof,inside_region_max_spoof,outside_region_max_spoof,inside_region_dominant_attack,outside_region_dominant_attack,region_delta,partial_region_detected,notes
ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,base_001,ai_fabricated,18.024,27.818,5,16,0.6171985210850834,0.23525645632616943,0.9994857311248779,0.9937222599983215,synthesis,bonafide,0.381942,True,evaluated
human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,base_001,human_fabricated,16.049,24.293,4,12,0.25641483818617417,0.844122301787138,0.5499125719070435,0.9937829375267029,bonafide,synthesis,-0.587707,False,evaluated
ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,base_002,ai_fabricated,35.741,42.331,4,11,0.29028509970521554,0.0740925345363311,0.7531944513320923,0.6085649728775024,synthesis,bonafide,0.216193,True,evaluated
human_002_fabricated,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,base_002,human_fabricated,5.697,11.771,3,10,0.05724476960798105,0.6973403483629227,0.10889766365289688,0.9749884009361267,bonafide,synthesis,-0.640096,False,evaluated
ai_003_fabricated,data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,base_003,ai_fabricated,1.952,8.531,3,14,0.44746669630209607,0.08690920786414479,0.9975844621658325,0.5851604342460632,synthesis,bonafide,0.360557,True,evaluated
human_003_fabricated,data/phase7c1/raw/human_fabricated/human_003_fabricated.wav,base_003,human_fabricated,6.14,13.891,4,10,0.003799971315842754,0.04622228145599365,0.015174448490142822,0.21967211365699768,bonafide,bonafide,-0.042422,False,evaluated
ai_004_fabricated,data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,base_004,ai_fabricated,39.453,46.277,4,14,0.49476438912097365,0.21287508153818635,0.9997708201408386,0.9775000214576721,synthesis,bonafide,0.281889,True,evaluated
human_004_fabricated,data/phase7c1/raw/human_fabricated/human_004_fabricated.wav,base_004,human_fabricated,1.739,8.153,2,11,0.03359022689983249,0.5488525818694722,0.062388136982917786,0.9997057318687439,bonafide,synthesis,-0.515262,False,evaluated
ai_005_fabricated,data/phase7c1/raw/ai_fabricated/ai_005_fabricated.wav,base_005,ai_fabricated,42.59,49.433,4,16,0.538456455213236,0.3375813948313322,0.9949983358383179,0.9889918565750122,synthesis,bonafide,0.200875,True,evaluated
human_005_fabricated,data/phase7c1/raw/human_fabricated/human_005_fabricated.wav,base_005,human_fabricated,27.493,35.762,4,13,0.2524132482649293,0.6492848058159535,0.9593832492828369,0.9997997879981995,bonafide,synthesis,-0.396872,True,evaluated
ai_006_fabricated,data/phase7c1/raw/ai_fabricated/ai_006_fabricated.wav,base_006,ai_fabricated,29.439,38.986,4,16,0.27216254628729075,0.04807859713946527,0.9955142140388489,0.1753261685371399,bonafide,bonafide,0.224084,True,evaluated
human_006_fabricated,data/phase7c1/raw/human_fabricated/human_006_fabricated.wav,base_006,human_fabricated,0.425,6.74,3,11,0.32501633527378243,0.6243593161872757,0.9197146892547607,0.9999711513519287,bonafide,synthesis,-0.299343,True,evaluated
ai_007_fabricated,data/phase7c1/raw/ai_fabricated/ai_007_fabricated.wav,base_007,ai_fabricated,45.753,54.448,4,14,0.7329140298534185,0.5316640900314918,0.9954527616500854,0.9977038502693176,synthesis,synthesis,0.20125,True,evaluated
human_007_fabricated,data/phase7c1/raw/human_fabricated/human_007_fabricated.wav,base_007,human_fabricated,11.149,18.612,4,8,0.2844439819455147,0.9370937049388885,0.9671940207481384,1.0,bonafide,synthesis,-0.65265,True,evaluated
ai_008_fabricated,data/phase7c1/raw/ai_fabricated/ai_008_fabricated.wav,base_008,ai_fabricated,14.11,21.003,4,10,0.16882345406338573,0.11680151707096229,0.4370724856853485,0.9999206066131592,bonafide,bonafide,0.052022,False,evaluated
human_008_fabricated,data/phase7c1/raw/human_fabricated/human_008_fabricated.wav,base_008,human_fabricated,3.349,8.052,3,3,0.6584032117389143,0.903249462445577,0.9947493672370911,0.9980199337005615,synthesis,synthesis,-0.244846,True,evaluated
ai_009_fabricated,data/phase7c1/raw/ai_fabricated/ai_009_fabricated.wav,base_009,ai_fabricated,6.078,15.785,5,12,0.38081026962026954,0.24570527034908687,0.9947900772094727,0.9851576089859009,bonafide,bonafide,0.135105,True,evaluated
