chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.46384039900249374,True,0.9811487793922424,"[0.00521501898765564, 0.9947776794433594, 7.138823093555402e-06, 1.1538833888380395e-07]",synthesis,"{'rt60': 0.0, 'drr': 0.1934782862663269, 'snr': 19.185726165771484, 'background_level': -39.59792709350586, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1301765126142556, 'spectral_flatness': 0.01854085735976696, 'spectral_rolloff': 2879.5262896825398, 'cleanliness_score': 0.0, 'high_freq_content': 0.001905391225591302, 'background_consistency': 0.6401277780532837, 'env_stability': 1.0}"
1,3.0,7.0,True,0.628428927680798,True,0.8711463809013367,"[0.031074874103069305, 0.9686009287834167, 0.00025504000950604677, 6.918146391399205e-05]",synthesis,"{'rt60': 0.0, 'drr': 0.20007836818695068, 'snr': 7.841738700866699, 'background_level': -24.54306411743164, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1490182296634734, 'spectral_flatness': 0.015856556594371796, 'spectral_rolloff': 2828.7450396825398, 'cleanliness_score': 0.0, 'high_freq_content': 0.0024838270619511604, 'background_consistency': 0.7033878564834595, 'env_stability': 1.0}"
2,6.0,10.0,True,0.743142144638404,True,0.9474782943725586,"[0.020672161132097244, 0.9786849021911621, 0.0006428041378967464, 9.988944071892547e-08]",synthesis,"{'rt60': 0.0, 'drr': 0.2346336841583252, 'snr': 3.916912317276001, 'background_level': -22.166969299316406, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.3833236643813378, 'spectral_flatness': 0.007881665602326393, 'spectral_rolloff': 2604.5386904761904, 'cleanliness_score': 0.0, 'high_freq_content': 0.0007522680098190904, 'background_consistency': 0.9200738668441772, 'env_stability': 1.0}"
3,9.0,13.0,True,0.5486284289276808,True,0.10034841299057007,"[0.6081835627555847, 0.3754235506057739, 0.0011821239022538066, 0.015210716985166073]",bonafide,"{'rt60': 0.0, 'drr': 0.19357258081436157, 'snr': 8.853975296020508, 'background_level': -27.570850372314453, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.2054012262675522, 'spectral_flatness': 0.015397687442600727, 'spectral_rolloff': 2828.187003968254, 'cleanliness_score': 0.0, 'high_freq_content': 0.0015170383267104626, 'background_consistency': 0.6120026707649231, 'env_stability': 1.0}"
4,12.0,16.0,True,0.6209476309226932,True,0.7498207092285156,"[0.06253202259540558, 0.9361104369163513, 0.0010801339522004128, 0.0002774013264570385]",synthesis,"{'rt60': 0.0, 'drr': 0.181756854057312, 'snr': 5.911808013916016, 'background_level': -23.76848602294922, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1186358663551768, 'spectral_flatness': 0.01977434568107128, 'spectral_rolloff': 3065.4141865079364, 'cleanliness_score': 0.0, 'high_freq_content': 0.0020335193257778883, 'background_consistency': 0.889191746711731, 'env_stability': 1.0}"
5,15.0,19.0,True,0.5361596009975063,True,0.7721872925758362,"[0.07177602499723434, 0.9258196353912354, 0.0023804763332009315, 2.389079782005865e-05]",synthesis,"{'rt60': 0.0, 'drr': 0.1790066361427307, 'snr': 8.410767555236816, 'background_level': -27.935693740844727, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9648147565380817, 'spectral_flatness': 0.040142107754945755, 'spectral_rolloff': 3450.4588293650795, 'cleanliness_score': 0.0, 'high_freq_content': 0.004076847340911627, 'background_consistency': 0.6511667966842651, 'env_stability': 1.0}"
6,18.0,22.0,True,0.5211970074812967,True,0.6383281350135803,"[0.09832105040550232, 0.8953570127487183, 0.00477705430239439, 0.0015448362100869417]",synthesis,"{'rt60': 0.0, 'drr': 0.1950785219669342, 'snr': 12.11180305480957, 'background_level': -33.23264694213867, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1120141209359837, 'spectral_flatness': 0.027821332216262817, 'spectral_rolloff': 3069.5684523809523, 'cleanliness_score': 0.0, 'high_freq_content': 0.001909385435283184, 'background_consistency': 0.8689778447151184, 'env_stability': 1.0}"
7,21.0,25.0,True,0.6034912718204489,True,0.9890764951705933,"[0.00345303351059556, 0.9965428709983826, 4.058910690218909e-06, 3.7969947186411446e-08]",synthesis,"{'rt60': 0.0, 'drr': 0.28734907507896423, 'snr': 9.03488540649414, 'background_level': -26.012195587158203, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.2605807050666242, 'spectral_flatness': 0.015391956083476543, 'spectral_rolloff': 2694.940476190476, 'cleanliness_score': 0.0, 'high_freq_content': 0.0012304113479331136, 'background_consistency': 0.585108757019043, 'env_stability': 1.0}"
8,24.0,28.0,True,0.6059850374064838,True,0.7962924242019653,"[0.05081172287464142, 0.9475770592689514, 0.001338310888968408, 0.00027295848121866584]",synthesis,"{'rt60': 0.0, 'drr': 0.22120046615600586, 'snr': 7.506671905517578, 'background_level': -25.90388298034668, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1145108904143972, 'spectral_flatness': 0.02454284019768238, 'spectral_rolloff': 2967.8819444444443, 'cleanliness_score': 0.0, 'high_freq_content': 0.0033391474280506372, 'background_consistency': 0.6223037838935852, 'env_stability': 1.0}"
9,27.0,31.0,True,0.571072319201995,True,0.5491268634796143,"[0.13350754976272583, 0.8621181845664978, 0.0023619558196514845, 0.002012411365285516]",synthesis,"{'rt60': 0.0, 'drr': 0.20480267703533173, 'snr': 10.795433044433594, 'background_level': -33.39411544799805, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -1.1428835116496394, 'spectral_flatness': 0.03144080936908722, 'spectral_rolloff': 3042.844742063492, 'cleanliness_score': 0.0, 'high_freq_content': 0.002913242904469371, 'background_consistency': 0.7225423455238342, 'env_stability': 1.0}"
