chunk_index,start_time,end_time,vad_kept,speech_ratio,evaluated,spoof_probability,attack_probs,attack_type,env_features
0,0.0,4.0,True,0.6184538653366584,True,0.42763572931289673,"[0.3226719796657562, 0.5898733139038086, 0.0009049926302395761, 0.08654965460300446]",synthesis,"{'rt60': 0.0, 'drr': 0.19271279871463776, 'snr': 7.742207050323486, 'background_level': -25.341121673583984, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9526181256392356, 'spectral_flatness': 0.016974225640296936, 'spectral_rolloff': 3299.6031746031745, 'cleanliness_score': 0.0, 'high_freq_content': 0.012587434612214565, 'background_consistency': 0.9923957586288452, 'env_stability': 1.0}"
1,3.0,7.0,True,0.5885286783042394,True,0.7582421898841858,"[0.06532216817140579, 0.932188093662262, 0.00027408928144723177, 0.0022156427148729563]",synthesis,"{'rt60': 0.0, 'drr': 0.22884415090084076, 'snr': 8.816644668579102, 'background_level': -28.10152816772461, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9566753306472304, 'spectral_flatness': 0.019981691613793373, 'spectral_rolloff': 3393.7251984126983, 'cleanliness_score': 0.0, 'high_freq_content': 0.015782279893755913, 'background_consistency': 0.7536300420761108, 'env_stability': 1.0}"
2,6.0,10.0,True,0.7032418952618454,True,0.650522768497467,"[0.49314698576927185, 0.29389694333076477, 2.6022284146165475e-05, 0.21293002367019653]",bonafide,"{'rt60': 0.0, 'drr': 0.2329186052083969, 'snr': 7.290256500244141, 'background_level': -23.795621871948242, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9505891302475428, 'spectral_flatness': 0.01574482023715973, 'spectral_rolloff': 3297.8050595238096, 'cleanliness_score': 0.0, 'high_freq_content': 0.011282545514404774, 'background_consistency': 0.9329082369804382, 'env_stability': 1.0}"
3,9.0,13.0,True,0.6633416458852868,True,0.6785399913787842,"[0.30600279569625854, 0.002723491284996271, 4.76698964746447e-08, 0.6912736296653748]",replay,"{'rt60': 0.0, 'drr': 0.17882324755191803, 'snr': 7.850656509399414, 'background_level': -24.68222427368164, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9394726983977605, 'spectral_flatness': 0.01781967282295227, 'spectral_rolloff': 3351.686507936508, 'cleanliness_score': 0.0, 'high_freq_content': 0.012565966695547104, 'background_consistency': 0.9455021023750305, 'env_stability': 1.0}"
4,12.0,16.0,True,0.6134663341645885,True,0.7529220581054688,"[0.5298046469688416, 0.13474279642105103, 1.1118717111457954e-06, 0.3354514241218567]",bonafide,"{'rt60': 0.0, 'drr': 0.24293768405914307, 'snr': 9.358219146728516, 'background_level': -27.68853187561035, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8168209829782843, 'spectral_flatness': 0.024403462186455727, 'spectral_rolloff': 3575.9548611111113, 'cleanliness_score': 0.0, 'high_freq_content': 0.028866270557045937, 'background_consistency': 0.782027542591095, 'env_stability': 1.0}"
5,15.0,19.0,True,0.655860349127182,True,0.4416429102420807,"[0.4434720277786255, 0.40299803018569946, 0.0005691744154319167, 0.15296079218387604]",bonafide,"{'rt60': 0.0, 'drr': 0.22810374200344086, 'snr': 7.389807224273682, 'background_level': -24.278186798095703, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8845666189738273, 'spectral_flatness': 0.020258598029613495, 'spectral_rolloff': 3519.035218253968, 'cleanliness_score': 0.0, 'high_freq_content': 0.020924735814332962, 'background_consistency': 0.9722432494163513, 'env_stability': 1.0}"
6,18.0,22.0,True,0.5935162094763092,True,0.8220463395118713,"[0.3258674144744873, 0.5320433378219604, 6.155171831778716e-06, 0.14208313822746277]",synthesis,"{'rt60': 0.0, 'drr': 0.21828290820121765, 'snr': 8.519185066223145, 'background_level': -25.96147346496582, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.9205048284311174, 'spectral_flatness': 0.023458437994122505, 'spectral_rolloff': 3424.9131944444443, 'cleanliness_score': 0.0, 'high_freq_content': 0.014683928340673447, 'background_consistency': 0.9975621700286865, 'env_stability': 1.0}"
7,21.0,25.0,True,0.4837905236907731,True,0.20649373531341553,"[0.45833298563957214, 0.4926808476448059, 0.0009604314109310508, 0.048025716096162796]",synthesis,"{'rt60': 0.0, 'drr': 0.32174330949783325, 'snr': 9.367267608642578, 'background_level': -28.059541702270508, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.8196167494620242, 'spectral_flatness': 0.03315843641757965, 'spectral_rolloff': 3735.2430555555557, 'cleanliness_score': 0.0, 'high_freq_content': 0.018527721986174583, 'background_consistency': 0.8100468516349792, 'env_stability': 1.0}"
8,24.0,28.0,True,0.6109725685785536,True,0.14378780126571655,"[0.6875535845756531, 0.2859160900115967, 0.0007290731300599873, 0.02580130100250244]",bonafide,"{'rt60': 0.0, 'drr': 0.19861604273319244, 'snr': 9.542624473571777, 'background_level': -26.571758270263672, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.7295532564972737, 'spectral_flatness': 0.03286276012659073, 'spectral_rolloff': 3913.2564484126983, 'cleanliness_score': 0.0, 'high_freq_content': 0.01845563016831875, 'background_consistency': 0.9525507688522339, 'env_stability': 1.0}"
9,27.0,31.0,True,0.7032418952618454,True,0.214115709066391,"[0.4996244013309479, 0.47004175186157227, 0.0009811270283535123, 0.029352685436606407]",bonafide,"{'rt60': 0.0, 'drr': 0.20239973068237305, 'snr': 6.8009185791015625, 'background_level': -24.067323684692383, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.819401619314264, 'spectral_flatness': 0.023335905745625496, 'spectral_rolloff': 3475.3224206349205, 'cleanliness_score': 0.0, 'high_freq_content': 0.014049871824681759, 'background_consistency': 0.8718297481536865, 'env_stability': 1.0}"
10,30.0,34.0,True,0.6359102244389028,True,0.24346253275871277,"[0.4746795892715454, 0.4472285509109497, 0.0011304332874715328, 0.07696140557527542]",bonafide,"{'rt60': 0.0, 'drr': 0.17675012350082397, 'snr': 8.522348403930664, 'background_level': -26.593921661376953, 'silence_ratio': 0.10317460317460317, 'spectral_tilt': -0.6130383414780597, 'spectral_flatness': 0.037958599627017975, 'spectral_rolloff': 4333.209325396825, 'cleanliness_score': 0.0, 'high_freq_content': 0.08842991292476654, 'background_consistency': 0.8840320706367493, 'env_stability': 1.0}"
