manipulation_type,source_origin,split,variant_id,total,status_ai_replay_missed,avg_decision_score,avg_suspicious_chunk_ratio,avg_max_chunk_spoof,partial_detection_rate,status_ai_replay_file_level_missed_but_segment_suspicious,status_direct_ai_file_level_missed_but_segment_suspicious,status_direct_ai_missed,status_clean_human_false_alarm,status_clean_human_accepted,status_clean_human_borderline,status_human_replay_missed,status_human_replay_manipulation_detected,status_ai_mixer_detected,status_human_mixer_manipulation_detected,status_partial_fabrication_missed,status_partial_fabrication_detected
ai_replay,ai,test,ai_replay_laptop_mobile,4,4.0,0.03229166666666665,0.03229166666666665,0.7297037988901138,,,,,,,,,,,,,
ai_replay,ai,train,ai_replay_laptop_mobile,16,15.0,0.10747197553263726,0.10747197553263726,0.7671062387526035,,1.0,,,,,,,,,,,
ai_replay,ai,val,ai_replay_laptop_mobile,3,3.0,0.07008547008547007,0.07008547008547007,0.6539676388104757,,,,,,,,,,,,,
clean_direct,ai,test,ai_direct,4,,0.11725898692810455,0.11725898692810455,0.9270396381616592,,,3.0,1.0,,,,,,,,,
clean_direct,ai,train,ai_direct,16,,0.12604683919022153,0.12604683919022153,0.7408107071955783,,,9.0,7.0,,,,,,,,,
clean_direct,ai,val,ai_direct,3,,0.2298474945533769,0.2298474945533769,0.9077827135721842,,,1.0,2.0,,,,,,,,,
clean_direct,human,test,human_clean,4,,0.4708333333333333,0.4708333333333333,0.8273628354072571,,,,,2.0,2.0,,,,,,,
clean_direct,human,train,human_clean,16,,0.5335726773226773,0.5335726773226773,0.9689731299877167,,,,,4.0,10.0,2.0,,,,,,
clean_direct,human,val,human_clean,3,,0.373015873015873,0.373015873015873,0.7438134998083115,,,,,1.0,2.0,,,,,,,
human_replay,human,test,human_replay_laptop_mobile,4,,0.7037878787878789,0.7037878787878789,0.9727345556020737,,,,,,,,1.0,3.0,,,,
human_replay,human,train,human_replay_laptop_mobile,16,,0.634659090909091,0.634659090909091,0.8838457660749555,,,,,,,,6.0,10.0,,,,
human_replay,human,val,human_replay_laptop_mobile,3,,0.5393939393939394,0.5393939393939394,0.8756538232167562,,,,,,,,1.0,2.0,,,,
mixer_processed,ai,test,ai_mixer_processed,4,,1.0,1.0,0.9999952912330627,,,,,,,,,,4.0,,,
mixer_processed,ai,train,ai_mixer_processed,16,,0.9965277777777778,0.9965277777777778,0.9999628961086273,,,,,,,,,,16.0,,,
mixer_processed,ai,val,ai_mixer_processed,3,,0.9629629629629629,0.9629629629629629,0.9999980926513672,,,,,,,,,,3.0,,,
mixer_processed,human,test,human_mixer_processed,4,,0.9833333333333333,0.9833333333333333,0.9999999105930328,,,,,,,,,,,4.0,,
mixer_processed,human,train,human_mixer_processed,16,,0.9631628787878788,0.9631628787878788,0.9999685175716877,,,,,,,,,,,16.0,,
mixer_processed,human,val,human_mixer_processed,3,,0.9444444444444445,0.9444444444444445,0.9999509652455648,,,,,,,,,,,3.0,,
partial_ai_insert,mixed,test,ai_fabricated,4,,0.16969507101086043,0.16969507101086043,0.9067192524671555,0.5,,,,,,,,,,,2.0,2.0
partial_ai_insert,mixed,test,human_fabricated,4,,0.38048552754435105,0.38048552754435105,0.8156786113977432,0.5,,,,,,,,,,,2.0,2.0
partial_ai_insert,mixed,train,ai_fabricated,16,,0.18382465165553397,0.18382465165553397,0.9565632715821266,0.9375,,,,,,,,,,,1.0,15.0
partial_ai_insert,mixed,train,human_fabricated,16,,0.4110763392739012,0.4110763392739012,0.8938528117723763,0.625,,,,,,,,,,,6.0,10.0
partial_ai_insert,mixed,val,ai_fabricated,3,,0.33082706766917286,0.33082706766917286,0.9940553307533265,1.0,,,,,,,,,,,,3.0
partial_ai_insert,mixed,val,human_fabricated,3,,0.3870614035087719,0.3870614035087719,0.8231341044108073,0.3333333333333333,,,,,,,,,,,2.0,1.0
