sample_id,audio_path,base_id,variant_id,suspicious_start_time,suspicious_end_time,n_chunks_inside,n_chunks_outside,inside_region_avg_spoof,outside_region_avg_spoof,inside_region_max_spoof,outside_region_max_spoof,inside_region_dominant_attack,outside_region_dominant_attack,region_delta,partial_region_detected,notes
ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,base_001,ai_fabricated,18.024,27.818,5,16,0.5572553929407149,0.16160644600555552,0.9994274377822876,0.992046594619751,synthesis,bonafide,0.395649,True,evaluated
human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,base_001,human_fabricated,16.049,24.293,4,12,0.1563116684974375,0.8179756353298823,0.36681652069091797,0.9914391040802002,bonafide,synthesis,-0.661664,False,evaluated
ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,base_002,ai_fabricated,35.741,42.331,4,11,0.1913638425830868,0.02816131705718887,0.5861379504203796,0.2403285950422287,bonafide,bonafide,0.163203,True,evaluated
human_002_fabricated,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,base_002,human_fabricated,5.697,11.771,3,10,0.030247507927318413,0.6072901010513305,0.062388136982917786,0.974821150302887,bonafide,synthesis,-0.577043,False,evaluated
ai_003_fabricated,data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,base_003,ai_fabricated,1.952,8.531,3,14,0.3700692765414715,0.046431043180291454,0.9956936836242676,0.41733086109161377,bonafide,bonafide,0.323638,True,evaluated
human_003_fabricated,data/phase7c1/raw/human_fabricated/human_003_fabricated.wav,base_003,human_fabricated,6.14,13.891,4,10,0.001243313590262085,0.020778719923691825,0.004972596652805805,0.09877259284257889,bonafide,bonafide,-0.019535,False,evaluated
ai_004_fabricated,data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,base_004,ai_fabricated,39.453,46.277,4,14,0.4887104053486837,0.14995384591224234,0.9997612833976746,0.9469902515411377,bonafide,bonafide,0.338757,True,evaluated
human_004_fabricated,data/phase7c1/raw/human_fabricated/human_004_fabricated.wav,base_004,human_fabricated,1.739,8.153,2,11,0.012665296671912074,0.49044524573466997,0.024423090741038322,0.9995487332344055,bonafide,synthesis,-0.47778,False,evaluated
ai_005_fabricated,data/phase7c1/raw/ai_fabricated/ai_005_fabricated.wav,base_005,ai_fabricated,42.59,49.433,4,16,0.4979720062326187,0.24336535580371976,0.9939963817596436,0.9708817005157471,synthesis,bonafide,0.254607,True,evaluated
human_005_fabricated,data/phase7c1/raw/human_fabricated/human_005_fabricated.wav,base_005,human_fabricated,27.493,35.762,4,13,0.22756207295606146,0.5516705753711554,0.8984104990959167,0.9996505975723267,bonafide,synthesis,-0.324109,True,evaluated
ai_006_fabricated,data/phase7c1/raw/ai_fabricated/ai_006_fabricated.wav,base_006,ai_fabricated,29.439,38.986,4,16,0.25434439010496135,0.008167434710884436,0.9887337684631348,0.045394882559776306,bonafide,bonafide,0.246177,True,evaluated
human_006_fabricated,data/phase7c1/raw/human_fabricated/human_006_fabricated.wav,base_006,human_fabricated,0.425,6.74,3,11,0.28935894595148665,0.5122247089913633,0.8594279289245605,0.9999537467956543,bonafide,synthesis,-0.222866,True,evaluated
