epoch,train_loss,val_loss,val_risk_accuracy,val_attack_accuracy,clean_human_acceptance,direct_ai_detection,replay_detection,partial_or_mixer_detection,product_score,learning_rate,backbone_frozen,amp
1,63.28577216274767,49.87174292325097,0.22692307692307692,0.2350597609561753,1.0,0.0,0.011627906976744186,0.0,0.3023255813953488,5e-06,True,False
2,58.52832209345806,46.81861832650269,0.22692307692307692,0.2350597609561753,1.0,0.0,0.0,0.0,0.3,5e-06,False,False
3,44.759677921433045,32.320180312385396,0.23076923076923078,0.2350597609561753,1.0,0.0,0.011627906976744186,0.0,0.3023255813953488,5e-06,False,False
4,35.44732510899923,19.49449900803088,0.24615384615384617,0.2589641434262948,0.9830508474576272,0.01834862385321101,0.10465116279069768,0.041666666666666664,0.32968340728472434,5e-06,False,False
5,26.51909232426839,20.845931233521778,0.25,0.250996015936255,1.0,0.027522935779816515,0.046511627906976744,0.0,0.3175592063153403,5e-06,False,False
6,18.75831735852253,9.174841259934885,0.4153846153846154,0.32270916334661354,0.9661016949152542,0.2018348623853211,0.3953488372093023,0.3333333333333333,0.4961174012986997,5e-06,False,False
7,17.95494496104229,10.30588132238892,0.38076923076923075,0.32270916334661354,0.9830508474576272,0.1559633027522936,0.32558139534883723,0.25,0.4568205241327437,5e-06,False,False
8,14.455833883170621,5.377719456658644,0.5884615384615385,0.3904382470119522,0.864406779661017,0.5045871559633027,0.6627906976744186,0.5416666666666666,0.651589653555513,5e-06,False,False
9,13.441358428403555,6.4923067428171635,0.4576923076923077,0.3545816733067729,0.9491525423728814,0.3119266055045872,0.4069767441860465,0.3333333333333333,0.5263857598671166,5e-06,False,False
10,10.14010665502893,4.549738305456498,0.6692307692307692,0.398406374501992,0.8135593220338984,0.6055045871559633,0.7790697674418605,0.75,0.7315331262453306,5e-06,False,False
11,9.490432276783219,4.422352103626027,0.7461538461538462,0.398406374501992,0.7288135593220338,0.7155963302752294,0.8604651162790697,0.7916666666666666,0.7637493234683262,5e-06,False,False
12,10.887290087090918,4.283969714361079,0.7423076923076923,0.3904382470119522,0.6610169491525424,0.7247706422018348,0.8837209302325582,0.7916666666666666,0.7508137967861581,5e-06,False,False
