sample_id,manipulation_type,source_origin,variant_id,baseline_status_baseline,baseline_status_r2_product,baseline_status_r2_loss,prediction_baseline,prediction_r2_product,prediction_r2_loss,decision_score_baseline,decision_score_r2_product,decision_score_r2_loss,max_chunk_spoof_baseline,max_chunk_spoof_r2_product,max_chunk_spoof_r2_loss,suspicious_chunk_ratio_baseline,suspicious_chunk_ratio_r2_product,suspicious_chunk_ratio_r2_loss,partial_region_detected_baseline,partial_region_detected_r2_product,partial_region_detected_r2_loss,baseline_better,r2_product_better,r2_loss_better,clean_human_r2_product_better,clean_human_r2_loss_better,disagreement_type
ai_001_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious,REAL,REAL,REAL,0.2777777777777778,0.1111111111111111,0.1666666666666666,0.99858957529068,0.998121440410614,0.9991306662559508,0.2777777777777778,0.1111111111111111,0.1666666666666666,False,False,False,,,,tie,tie,agreement
ai_001_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,REAL,REAL,REAL,0.3333333333333333,0.1904761904761904,0.2857142857142857,1.0,0.9994274377822876,0.999485731124878,0.3333333333333333,0.1904761904761904,0.2857142857142857,True,True,True,,,,tie,tie,agreement
ai_001_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,ai_mixer_detected,ai_mixer_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
ai_001_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,ai_replay_missed,ai_replay_missed,FAKE,REAL,REAL,0.7222222222222222,0.0555555555555555,0.0555555555555555,0.9999610185623168,0.7904493808746338,0.8441522121429443,0.7222222222222222,0.0555555555555555,0.0555555555555555,False,False,False,,,,tie,tie,mixed_disagreement
human_001_clean,clean_direct,human,human_clean,clean_human_false_alarm,clean_human_false_alarm,clean_human_false_alarm,FAKE,FAKE,FAKE,0.9230769230769232,0.7692307692307693,0.8461538461538461,0.9999924898147584,0.9954615235328674,0.9972744584083556,0.9230769230769232,0.7692307692307693,0.8461538461538461,False,False,False,False,False,False,tie,tie,agreement
human_001_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,partial_fabrication_missed,partial_fabrication_missed,FAKE,REAL,REAL,0.9375,0.625,0.6875,0.999997615814209,0.9914391040802002,0.9937829375267028,0.9375,0.625,0.6875,True,False,False,,,,tie,tie,partial_disagreement
human_001_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,human_mixer_manipulation_detected,human_mixer_manipulation_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
human_001_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,human_replay_manipulation_detected,human_replay_manipulation_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,0.9999969005584716,0.999996781349182,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
ai_002_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_missed,direct_ai_missed,REAL,REAL,REAL,0.2307692307692307,0.0,0.0769230769230769,0.9983579516410828,0.5991040468215942,0.7493624091148376,0.2307692307692307,0.0,0.0769230769230769,False,False,False,,,,tie,tie,direct_ai_disagreement
ai_002_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,REAL,REAL,REAL,0.2666666666666666,0.0,0.0666666666666666,0.9987232089042664,0.5861379504203796,0.7531944513320923,0.2666666666666666,0.0,0.0666666666666666,True,True,True,,,,tie,tie,agreement
ai_002_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,ai_mixer_detected,ai_mixer_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,0.9999772310256958,0.999970316886902,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
ai_002_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_file_level_missed_but_segment_suspicious,ai_replay_missed,ai_replay_missed,REAL,REAL,REAL,0.6,0.0,0.0,0.9941232800483704,0.5999246835708618,0.6353921294212341,0.6,0.0,0.0,False,False,False,,,,tie,tie,mixed_disagreement
