sample_id,manipulation_type,source_origin,variant_id,calibrated_status,calibrated_risk_level,origin_hint,manipulation_hint,evidence_summary,needs_manual_review,selected_model_evidence,decision_score_baseline,decision_score_r2_product,decision_score_r2_loss,max_chunk_spoof_baseline,baseline_status_baseline,baseline_status_r2_product,baseline_status_r2_loss,error_reason
human_001_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=FAKE",True,file_level_fake,0.9230769230769232,0.7692307692307693,0.8461538461538461,0.9999924898147584,clean_human_false_alarm,clean_human_false_alarm,clean_human_false_alarm,regression_vs_baseline_expectation
human_002_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=REAL",True,file_level_fake,1.0,0.6363636363636364,0.6363636363636364,0.9999868869781494,clean_human_false_alarm,clean_human_accepted,clean_human_accepted,regression_vs_baseline_expectation
human_004_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=REAL",True,file_level_fake,0.9166666666666666,0.5833333333333334,0.6666666666666666,1.0,clean_human_false_alarm,clean_human_accepted,clean_human_borderline,regression_vs_baseline_expectation
human_005_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=REAL",True,file_level_fake,1.0,0.5714285714285714,0.7142857142857143,1.0,clean_human_false_alarm,clean_human_accepted,clean_human_borderline,regression_vs_baseline_expectation
ai_006_direct,clean_direct,ai,ai_direct,direct_ai_missed,medium,ai_synthetic,clean_direct_ai,,False,,0.1875,0.0,0.0,0.7550956010818481,direct_ai_missed,direct_ai_missed,direct_ai_missed,regression_vs_baseline_expectation
human_006_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=REAL",True,file_level_fake,0.8333333333333334,0.6666666666666666,0.75,0.9999985694885254,clean_human_false_alarm,clean_human_borderline,clean_human_false_alarm,regression_vs_baseline_expectation
human_007_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=FAKE",True,file_level_fake,1.0,1.0,1.0,1.0,clean_human_false_alarm,clean_human_false_alarm,clean_human_false_alarm,regression_vs_baseline_expectation
human_008_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=FAKE",True,file_level_fake,1.0,0.8,0.8,1.0,clean_human_false_alarm,clean_human_false_alarm,clean_human_false_alarm,regression_vs_baseline_expectation
human_009_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=REAL",True,file_level_fake,1.0,0.4,0.4666666666666667,0.9999998807907104,clean_human_false_alarm,clean_human_accepted,clean_human_accepted,regression_vs_baseline_expectation
human_010_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=FAKE",True,file_level_fake,0.7,1.0,1.0,0.9999998807907104,clean_human_borderline,clean_human_false_alarm,clean_human_false_alarm,regression_vs_baseline_expectation
ai_011_direct,clean_direct,ai,ai_direct,direct_ai_missed,medium,ai_synthetic,clean_direct_ai,,False,,0.0,0.0,0.0,0.0194193478673696,direct_ai_missed,direct_ai_missed,direct_ai_missed,regression_vs_baseline_expectation
human_011_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=REAL",True,file_level_fake,1.0,0.1666666666666666,0.3333333333333333,0.999969720840454,clean_human_false_alarm,clean_human_accepted,clean_human_accepted,regression_vs_baseline_expectation
ai_012_direct,clean_direct,ai,ai_direct,direct_ai_missed,medium,ai_synthetic,clean_direct_ai,,False,,0.0,0.0,0.0,0.1375324726104736,direct_ai_missed,direct_ai_missed,direct_ai_missed,regression_vs_baseline_expectation
human_013_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=REAL",True,file_level_fake,1.0,0.25,0.4166666666666667,1.0,clean_human_false_alarm,clean_human_accepted,clean_human_accepted,regression_vs_baseline_expectation
human_014_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=REAL",True,file_level_fake,1.0,0.6923076923076923,0.8461538461538461,1.0,clean_human_false_alarm,clean_human_borderline,clean_human_false_alarm,regression_vs_baseline_expectation
human_015_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=REAL",True,file_level_fake,0.8333333333333334,0.5833333333333334,0.5833333333333334,1.0,clean_human_false_alarm,clean_human_accepted,clean_human_accepted,regression_vs_baseline_expectation
human_016_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=REAL",True,file_level_fake,0.75,0.25,0.25,0.998039186000824,clean_human_false_alarm,clean_human_accepted,clean_human_accepted,regression_vs_baseline_expectation
human_017_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=REAL",True,file_level_fake,1.0,0.3333333333333333,0.3333333333333333,1.0,clean_human_false_alarm,clean_human_accepted,clean_human_accepted,regression_vs_baseline_expectation
human_019_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=FAKE",True,file_level_fake,1.0,0.7857142857142857,0.8571428571428571,1.0,clean_human_false_alarm,clean_human_false_alarm,clean_human_false_alarm,regression_vs_baseline_expectation
human_020_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=FAKE",True,file_level_fake,1.0,1.0,1.0,1.0,clean_human_false_alarm,clean_human_false_alarm,clean_human_false_alarm,regression_vs_baseline_expectation
ai_021_direct,clean_direct,ai,ai_direct,direct_ai_missed,medium,ai_synthetic,clean_direct_ai,,False,,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.6809316277503967,direct_ai_missed,direct_ai_missed,direct_ai_missed,regression_vs_baseline_expectation
human_021_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_missed,medium,mixed,partial_ai_insert,,False,,0.3888888888888889,0.0555555555555555,0.0555555555555555,0.9997761845588684,partial_fabrication_missed,partial_fabrication_missed,partial_fabrication_missed,regression_vs_baseline_expectation
human_022_clean,clean_direct,human,human_clean,clean_human_false_alarm,high,human_bonafide,,"file-level FAKE: baseline=FAKE, r2_product=FAKE",True,file_level_fake,1.0,0.75,0.75,1.0,clean_human_false_alarm,clean_human_false_alarm,clean_human_false_alarm,regression_vs_baseline_expectation
human_023_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_missed,medium,mixed,partial_ai_insert,,False,,0.1176470588235294,0.0,0.1176470588235294,0.9246196150779724,partial_fabrication_missed,partial_fabrication_missed,partial_fabrication_missed,regression_vs_baseline_expectation
