source,vote_threshold,segment_max_spoof_threshold,suspicious_chunk_ratio_threshold,clean_human_borderline_margin,n_samples,clean_human_false_alarm_count,clean_human_accept_count,clean_human_borderline_count,clean_human_review_rate,clean_human_n,human_replay_n,ai_replay_n,direct_ai_detected_count,direct_ai_segment_suspicious_count,human_replay_detected_count,ai_replay_detected_count,ai_replay_missed_count,ai_replay_segment_suspicious_count,human_mixer_detected_count,human_mixer_missed_count,ai_mixer_detected_count,ai_mixer_missed_count,ai_mixer_segment_suspicious_count,direct_ai_missed_count,human_replay_missed_count,partial_fabrication_missed_count,partial_fabrication_not_evaluable_count,partial_fabrication_detected_count,partial_fabrication_evaluable_n,direct_ai_n,human_mixer_n,ai_mixer_n,product_score
baseline,0.4,0.85,0.1,0.05,184,22,1,0,0.0,23,23,23,7,13,23,23,0,0,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7695652173913043
baseline,0.4,0.85,0.2,0.05,184,22,1,0,0.0,23,23,23,7,12,23,23,0,0,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7608695652173914
baseline,0.4,0.85,0.3,0.05,184,22,1,0,0.0,23,23,23,7,12,23,23,0,0,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7608695652173914
baseline,0.4,0.9,0.1,0.05,184,22,1,0,0.0,23,23,23,7,13,23,23,0,0,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7695652173913043
baseline,0.4,0.9,0.2,0.05,184,22,1,0,0.0,23,23,23,7,12,23,23,0,0,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7608695652173914
baseline,0.4,0.9,0.3,0.05,184,22,1,0,0.0,23,23,23,7,12,23,23,0,0,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7608695652173914
baseline,0.4,0.95,0.1,0.05,184,22,1,0,0.0,23,23,23,7,13,23,23,0,0,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7695652173913043
baseline,0.4,0.95,0.2,0.05,184,22,1,0,0.0,23,23,23,7,12,23,23,0,0,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7608695652173914
baseline,0.4,0.95,0.3,0.05,184,22,1,0,0.0,23,23,23,7,12,23,23,0,0,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7608695652173914
baseline,0.45,0.85,0.1,0.05,184,22,1,0,0.0,23,23,23,4,16,23,22,0,1,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7652173913043478
baseline,0.45,0.85,0.2,0.05,184,22,1,0,0.0,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.45,0.85,0.3,0.05,184,22,1,0,0.0,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.45,0.9,0.1,0.05,184,22,1,0,0.0,23,23,23,4,16,23,22,0,1,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7652173913043478
baseline,0.45,0.9,0.2,0.05,184,22,1,0,0.0,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.45,0.9,0.3,0.05,184,22,1,0,0.0,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.45,0.95,0.1,0.05,184,22,1,0,0.0,23,23,23,4,16,23,22,0,1,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7652173913043478
baseline,0.45,0.95,0.2,0.05,184,22,1,0,0.0,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.45,0.95,0.3,0.05,184,22,1,0,0.0,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.5,0.85,0.1,0.05,184,21,1,1,0.043478260869565216,23,23,23,4,16,23,22,0,1,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7652173913043478
baseline,0.5,0.85,0.2,0.05,184,21,1,1,0.043478260869565216,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.5,0.85,0.3,0.05,184,21,1,1,0.043478260869565216,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.5,0.9,0.1,0.05,184,21,1,1,0.043478260869565216,23,23,23,4,16,23,22,0,1,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7652173913043478
baseline,0.5,0.9,0.2,0.05,184,21,1,1,0.043478260869565216,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.5,0.9,0.3,0.05,184,21,1,1,0.043478260869565216,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.5,0.95,0.1,0.05,184,21,1,1,0.043478260869565216,23,23,23,4,16,23,22,0,1,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7652173913043478
baseline,0.5,0.95,0.2,0.05,184,21,1,1,0.043478260869565216,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.5,0.95,0.3,0.05,184,21,1,1,0.043478260869565216,23,23,23,4,15,23,22,0,1,23,0,23,0,0,4,0,3,0,43,46,23,23,23,0.7565217391304349
baseline,0.55,0.85,0.1,0.05,184,20,1,2,0.08695652173913043,23,23,23,3,17,23,21,0,2,23,0,23,0,0,3,0,3,0,43,46,23,23,23,0.7608695652173914
