artifact_id,category,critical,is_directory,canonical_path,legacy_path,exists_canonical,exists_legacy,selected_path,selected_path_absolute,status,notes,csv_inspected,row_count,column_count,columns_first_5,all_columns,file_size_mb,missing_expected_columns,column_warnings
phase7c2_train_manifest,phase7c2_training,True,False,reports/phase7/phase7c2_training_prep/phase7c2_train_manifest.csv,reports/phase7c2_training_prep/phase7c2_train_manifest.csv,True,False,reports/phase7/phase7c2_training_prep/phase7c2_train_manifest.csv,E:\FYP\reports\phase7\phase7c2_training_prep\phase7c2_train_manifest.csv,found_canonical,,True,1128,41,row_id|data_source|source_subset|audio_path|filepath,row_id|data_source|source_subset|audio_path|filepath|filename|sample_id|base_id|variant_id|speaker_id|speaker_gender|language|dataset|domain|attack_type_original|label_original|split|split_group_id|source_origin|manipulation_type|origin_label|manipulation_label|attack_hint|risk_level|origin_binary|manipulation_binary|partial_fabrication_binary|suspicious_start_time|suspicious_end_time|baseline_status|decision_score|max_chunk_spoof|suspicious_chunk_ratio|sample_weight|weight_reason|use_origin_loss|use_manipulation_loss|use_attack_loss|use_partial_loss|review_status|notes,0.5513,,
phase7c2_val_manifest,phase7c2_training,True,False,reports/phase7/phase7c2_training_prep/phase7c2_val_manifest.csv,reports/phase7c2_training_prep/phase7c2_val_manifest.csv,True,False,reports/phase7/phase7c2_training_prep/phase7c2_val_manifest.csv,E:\FYP\reports\phase7\phase7c2_training_prep\phase7c2_val_manifest.csv,found_canonical,,True,224,41,row_id|data_source|source_subset|audio_path|filepath,row_id|data_source|source_subset|audio_path|filepath|filename|sample_id|base_id|variant_id|speaker_id|speaker_gender|language|dataset|domain|attack_type_original|label_original|split|split_group_id|source_origin|manipulation_type|origin_label|manipulation_label|attack_hint|risk_level|origin_binary|manipulation_binary|partial_fabrication_binary|suspicious_start_time|suspicious_end_time|baseline_status|decision_score|max_chunk_spoof|suspicious_chunk_ratio|sample_weight|weight_reason|use_origin_loss|use_manipulation_loss|use_attack_loss|use_partial_loss|review_status|notes,0.1093,,
phase7c2_test_manifest,phase7c2_training,True,False,reports/phase7/phase7c2_training_prep/phase7c2_test_manifest.csv,reports/phase7c2_training_prep/phase7c2_test_manifest.csv,True,False,reports/phase7/phase7c2_training_prep/phase7c2_test_manifest.csv,E:\FYP\reports\phase7\phase7c2_training_prep\phase7c2_test_manifest.csv,found_canonical,,True,232,41,row_id|data_source|source_subset|audio_path|filepath,row_id|data_source|source_subset|audio_path|filepath|filename|sample_id|base_id|variant_id|speaker_id|speaker_gender|language|dataset|domain|attack_type_original|label_original|split|split_group_id|source_origin|manipulation_type|origin_label|manipulation_label|attack_hint|risk_level|origin_binary|manipulation_binary|partial_fabrication_binary|suspicious_start_time|suspicious_end_time|baseline_status|decision_score|max_chunk_spoof|suspicious_chunk_ratio|sample_weight|weight_reason|use_origin_loss|use_manipulation_loss|use_attack_loss|use_partial_loss|review_status|notes,0.1136,,
phase7c1_collection_manifest,phase7c1_collection,True,False,reports/phase7/phase7c1_collection/phase7c1_collection_manifest.csv,reports/phase7c1_collection/phase7c1_collection_manifest.csv,True,False,reports/phase7/phase7c1_collection/phase7c1_collection_manifest.csv,E:\FYP\reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,found_canonical,,True,184,33,sample_id|audio_path|base_id|variant_id|speaker_id,sample_id|audio_path|base_id|variant_id|speaker_id|speaker_gender|speaker_type|language|script_id|source_origin|manipulation_type|platform|device_chain|recording_condition|ground_truth_origin|ground_truth_manipulation|origin_label|manipulation_label|attack_hint|risk_level|partial_fabrication_binary|suspicious_start_time|suspicious_end_time|duration|sample_rate|channels|split_group_id|split|collection_date|collector|quality_status|review_status|notes,0.0789,,
phase7c1_baseline_results,phase7c1_baseline,True,False,reports/phase7/phase7c1_baseline/results/phase7c1_baseline_results.csv,reports/phase7c1_baseline/results/phase7c1_baseline_results.csv,True,False,reports/phase7/phase7c1_baseline/results/phase7c1_baseline_results.csv,E:\FYP\reports\phase7\phase7c1_baseline\results\phase7c1_baseline_results.csv,found_canonical,,True,184,50,sample_id|audio_path|base_id|variant_id|speaker_id,sample_id|audio_path|base_id|variant_id|speaker_id|speaker_gender|language|source_origin|manipulation_type|ground_truth_origin|ground_truth_manipulation|origin_label|manipulation_label|attack_hint|risk_level|partial_fabrication_binary|suspicious_start_time|suspicious_end_time|split|split_group_id|prediction|confidence|decision_score|effective_threshold|attack_type|attack_type_conf|bonafide_prob|synthesis_prob|conversion_prob|replay_prob|n_chunks_used|n_chunks_total|suspicious_chunk_count|suspicious_chunk_ratio|max_chunk_spoof|mean_chunk_spoof|median_chunk_spoof|dominant_chunk_attack|n_chunks_inside|n_chunks_outside|inside_region_avg_spoof|outside_region_avg_spoof|inside_region_max_spoof|outside_region_max_spoof|inside_region_dominant_attack|outside_region_dominant_attack|partial_region_detected|baseline_status|final_baseline_interpretation|error,0.103,,
phase7c1_partial_fabrication_analysis,phase7c1_baseline,False,False,reports/phase7/phase7c1_baseline/results/phase7c1_partial_fabrication_analysis.csv,reports/phase7c1_baseline/results/phase7c1_partial_fabrication_analysis.csv,True,False,reports/phase7/phase7c1_baseline/results/phase7c1_partial_fabrication_analysis.csv,E:\FYP\reports\phase7\phase7c1_baseline\results\phase7c1_partial_fabrication_analysis.csv,found_canonical,,True,46,17,sample_id|audio_path|base_id|variant_id|suspicious_start_time,sample_id|audio_path|base_id|variant_id|suspicious_start_time|suspicious_end_time|n_chunks_inside|n_chunks_outside|inside_region_avg_spoof|outside_region_avg_spoof|inside_region_max_spoof|outside_region_max_spoof|inside_region_dominant_attack|outside_region_dominant_attack|region_delta|partial_region_detected|notes,0.0105,,
phase7a_forensic_test_manifest,phase7a_holdout,True,False,reports/phase7/phase7_forensic_tests/forensic_test_manifest.csv,reports/phase7_forensic_tests/forensic_test_manifest.csv,True,False,reports/phase7/phase7_forensic_tests/forensic_test_manifest.csv,E:\FYP\reports\phase7\phase7_forensic_tests\forensic_test_manifest.csv,found_canonical,,True,25,22,test_id|priority|audio_path|source_origin|manipulation_type,test_id|priority|audio_path|source_origin|manipulation_type|language|speaker_type|device_chain|platform|ground_truth_origin|ground_truth_manipulation|partial_fabrication_detected|suspicious_start_time|suspicious_end_time|origin_label|manipulation_label|attack_hint|risk_level|expected_report_wording|expected_forensic_interpretation|expected_forensic_result|notes,0.0068,,
phase7a_forensic_test_results_product,phase7a_holdout,True,False,reports/phase7/phase7_forensic_tests/results/forensic_test_results_product.csv,reports/phase7_forensic_tests/results/forensic_test_results_product.csv,True,False,reports/phase7/phase7_forensic_tests/results/forensic_test_results_product.csv,E:\FYP\reports\phase7\phase7_forensic_tests\results\forensic_test_results_product.csv,found_canonical,,True,25,64,test_id|filename|audio_path|priority|source_origin,test_id|filename|audio_path|priority|source_origin|manipulation_type|language|speaker_type|device_chain|platform|ground_truth_origin|ground_truth_manipulation|origin_label|manipulation_label|attack_hint|risk_level|partial_fabrication_detected|suspicious_start_time|suspicious_end_time|prediction|confidence|decision_score|effective_threshold|attack_type|attack_type_conf|bonafide_prob|synthesis_prob|conversion_prob|replay_prob|n_chunks_used|n_chunks_total|n_chunks_inside|n_chunks_outside|inside_region_avg_spoof|outside_region_avg_spoof|inside_region_max_spoof|outside_region_max_spoof|inside_region_dominant_attack|outside_region_dominant_attack|partial_region_detected|forensic_summary|correct_origin_basic|failure_type|notes|error|product_status|origin_confusion|manipulation_detected|direct_ai_detected|direct_ai_missed|processed_human_detected|ai_replay_or_processed_detected|partial_eval_status|segment_suspicious|file_level_missed_but_segment_suspicious|suspicious_chunk_count|suspicious_chunk_ratio|max_chunk_spoof|mean_chunk_spoof|median_chunk_spoof|dominant_chunk_attack|final_product_interpretation|timeline_scope_note|candidate_suspicious_regions,0.0279,,
phase7c4_v2_candidate_decisions,phase7c4_v2,True,False,reports/phase7/phase7c4_calibration_v2/calibration_outputs/phase7c4_v2_candidate_decisions.csv,reports/phase7c4_calibration_v2/calibration_outputs/phase7c4_v2_candidate_decisions.csv,True,False,reports/phase7/phase7c4_calibration_v2/calibration_outputs/phase7c4_v2_candidate_decisions.csv,E:\FYP\reports\phase7\phase7c4_calibration_v2\calibration_outputs\phase7c4_v2_candidate_decisions.csv,found_canonical,,True,184,17,sample_id|manipulation_type|source_origin|variant_id|calibrated_status,sample_id|manipulation_type|source_origin|variant_id|calibrated_status|calibrated_risk_level|origin_hint|manipulation_hint|evidence_summary|needs_manual_review|selected_model_evidence|decision_score_baseline|decision_score_r2_product|decision_score_r2_loss|max_chunk_spoof_baseline|baseline_status_baseline|baseline_status_r2_product,0.048,,used_alias_for_manual_review_required
phase7c4_v2_error_cases,phase7c4_v2,False,False,reports/phase7/phase7c4_calibration_v2/calibration_outputs/phase7c4_v2_error_cases.csv,reports/phase7c4_calibration_v2/calibration_outputs/phase7c4_v2_error_cases.csv,True,False,reports/phase7/phase7c4_calibration_v2/calibration_outputs/phase7c4_v2_error_cases.csv,E:\FYP\reports\phase7\phase7c4_calibration_v2\calibration_outputs\phase7c4_v2_error_cases.csv,found_canonical,,True,13,18,sample_id|manipulation_type|source_origin|variant_id|calibrated_status,sample_id|manipulation_type|source_origin|variant_id|calibrated_status|calibrated_risk_level|origin_hint|manipulation_hint|evidence_summary|needs_manual_review|selected_model_evidence|decision_score_baseline|decision_score_r2_product|decision_score_r2_loss|max_chunk_spoof_baseline|baseline_status_baseline|baseline_status_r2_product|error_reason,0.0035,,
