split,risk_target,source_branch_role,count
train,0,old_bonafide,250
train,1,old_synthesis,250
train,1,old_conversion,250
train,1,old_replay,250
train,1,direct_ai,48
train,1,partial_fabrication,32
train,1,ai_mixer,48
train,1,ai_replay,48
train,0,clean_human,48
train,1,human_mixer,48
train,1,human_replay,48
val,0,old_bonafide,50
val,1,old_synthesis,50
val,1,old_conversion,50
val,1,old_replay,50
val,1,direct_ai,9
val,1,partial_fabrication,6
val,1,ai_mixer,9
val,1,ai_replay,9
val,0,clean_human,9
val,1,human_mixer,9
val,1,human_replay,9
test,0,old_bonafide,50
test,1,old_synthesis,50
test,1,old_conversion,50
test,1,old_replay,50
test,1,direct_ai,12
test,1,partial_fabrication,8
test,1,ai_mixer,12
test,1,ai_replay,12
test,0,clean_human,12
test,1,human_mixer,12
test,1,human_replay,12
