split,weight_reason,count,mean_weight
train,old_bonafide,250,1.0
train,old_old_synthesis,250,1.0
train,old_old_conversion,250,1.0
train,old_old_replay,250,1.0
train,phase7c1_direct_ai,48,3.0
train,phase7c1_partial_fabrication,32,2.5
train,phase7c1_ai_mixer,48,2.0
train,phase7c1_ai_replay,48,2.0
train,phase7c1_clean_human_boost,48,4.0
train,phase7c1_human_mixer,48,2.0
train,phase7c1_human_replay,48,2.0
val,old_bonafide,50,1.0
val,old_old_synthesis,50,1.0
val,old_old_conversion,50,1.0
val,old_old_replay,50,1.0
val,phase7c1_direct_ai,9,3.0
val,phase7c1_partial_fabrication,6,2.5
val,phase7c1_ai_mixer,9,2.0
val,phase7c1_ai_replay,9,2.0
val,phase7c1_clean_human_boost,9,4.0
val,phase7c1_human_mixer,9,2.0
val,phase7c1_human_replay,9,2.0
test,old_bonafide,50,1.0
test,old_old_synthesis,50,1.0
test,old_old_conversion,50,1.0
test,old_old_replay,50,1.0
test,phase7c1_direct_ai,12,3.0
test,phase7c1_partial_fabrication,8,2.5
test,phase7c1_ai_mixer,12,2.0
test,phase7c1_ai_replay,12,2.0
test,phase7c1_clean_human_boost,12,4.0
test,phase7c1_human_mixer,12,2.0
test,phase7c1_human_replay,12,2.0
