finetune_row_id,parent_row_id,data_source,split,audio_path,sample_id,base_id,split_group_id,risk_target,risk_label,source_branch_role,aasist_label,sample_weight,weight_reason,window_strategy,window_start_time,window_end_time,use_for_aasist_training,manipulation_type,source_origin,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,notes
aft_train_000001,cmb_train_000000,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_6182085.wav,PA_E_6182085,old_PA_E_6182085,old_PA_E_6182085,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000002,cmb_train_000001,old,train,data\realworld\processed\youtube\broadcast\clips\M2FOTkPKfHA_clip0002.wav,M2FOTkPKfHA_clip0002,old_M2FOTkPKfHA_clip0002,old_M2FOTkPKfHA_clip0002,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000003,cmb_train_000002,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8341745.wav,PA_E_8341745,old_PA_E_8341745,old_PA_E_8341745,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000004,cmb_train_000003,old,train,data\realworld\processed\public_datasets\librispeech\train-clean-100\8630\305212\8630-305212-0019.wav,8630-305212-0019,old_8630-305212-0019,old_8630-305212-0019,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000005,cmb_train_000004,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_5690544.wav,PA_E_5690544,old_PA_E_5690544,old_PA_E_5690544,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000006,cmb_train_000005,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p329\p329_345_mic2.wav,p329_345_mic2,old_p329_345_mic2,old_p329_345_mic2,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000007,cmb_train_000006,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_6041362.wav,PA_E_6041362,old_PA_E_6041362,old_PA_E_6041362,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000008,cmb_train_000007,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_3412502.wav,PA_E_3412502,old_PA_E_3412502,old_PA_E_3412502,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000009,cmb_train_000008,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_4594646.wav,PA_E_4594646,old_PA_E_4594646,old_PA_E_4594646,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000010,cmb_train_000009,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p301\p301_108_mic1.wav,p301_108_mic1,old_p301_108_mic1,old_p301_108_mic1,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
