filepath,dataset,label,attack_type,domain,file_exists,checked_path
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2782165.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2782165.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8069116.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8069116.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3341397.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3341397.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4086682.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4086682.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8579716.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8579716.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5870437.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5870437.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_1966920.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_1966920.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8414320.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8414320.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3390891.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3390891.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4411148.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4411148.wav
