filepath,filename,dataset,label,attack_type,domain,source,speaker_id,duration,split
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5656373.wav,LA_E_5656373.wav,LA,bonafide,bonafide,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9847998.wav,LA_E_9847998.wav,LA,bonafide,bonafide,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7781929.wav,LA_E_7781929.wav,LA,bonafide,bonafide,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3154226.wav,LA_E_3154226.wav,LA,bonafide,bonafide,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2222480.wav,LA_E_2222480.wav,LA,bonafide,bonafide,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9332881.wav,LA_E_9332881.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6866159.wav,LA_E_6866159.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5464494.wav,LA_E_5464494.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4759417.wav,LA_E_4759417.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2667748.wav,LA_E_2667748.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9332881.wav,LA_E_9332881.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6866159.wav,LA_E_6866159.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5464494.wav,LA_E_5464494.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4759417.wav,LA_E_4759417.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2667748.wav,LA_E_2667748.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2000011.wav,DF_E_2000011.wav,DF,spoof,conversion,studio,clean,LA_0023,,val
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2000013.wav,DF_E_2000013.wav,DF,spoof,conversion,studio,clean,TEF2,,train
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2000024.wav,DF_E_2000024.wav,DF,spoof,conversion,studio,clean,TGF1,,train
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2000026.wav,DF_E_2000026.wav,DF,spoof,conversion,studio,clean,LA_0043,,test
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2000027.wav,DF_E_2000027.wav,DF,spoof,conversion,studio,clean,LA_0021,,test
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1000001.wav,PA_E_1000001.wav,PA,spoof,replay,studio,clean,PA_0010,,test
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1000002.wav,PA_E_1000002.wav,PA,spoof,replay,studio,clean,PA_0040,,train
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1000017.wav,PA_E_1000017.wav,PA,spoof,replay,studio,clean,PA_0037,,train
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1000018.wav,PA_E_1000018.wav,PA,spoof,replay,studio,clean,PA_0015,,val
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1000038.wav,PA_E_1000038.wav,PA,spoof,replay,studio,clean,PA_0028,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5656373.wav,LA_E_5656373.wav,LA,bonafide,bonafide,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9847998.wav,LA_E_9847998.wav,LA,bonafide,bonafide,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7781929.wav,LA_E_7781929.wav,LA,bonafide,bonafide,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3154226.wav,LA_E_3154226.wav,LA,bonafide,bonafide,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2222480.wav,LA_E_2222480.wav,LA,bonafide,bonafide,studio,clean,LA_0009,,train
