scope,label,count,pct,split,split_rows,split_speakers,attack_type,dataset,domain
train,spoof,1232473,83.0652,train,1483741,58734,,,
train,bonafide,251268,16.9348,train,1483741,58734,,,
train,,646380,43.5642,train,1483741,58734,replay,,
train,,456417,30.7612,train,1483741,58734,conversion,,
train,,251268,16.9348,train,1483741,58734,bonafide,,
train,,129676,8.7398,train,1483741,58734,synthesis,,
train,,746550,50.3154,train,1483741,58734,,PA,
train,,473697,31.9259,train,1483741,58734,,DF,
train,,140273,9.454,train,1483741,58734,,LA,
train,,123221,8.3048,train,1483741,58734,,RealWorld,
train,,1424330,95.9959,train,1483741,58734,,,studio
train,,22732,1.5321,train,1483741,58734,,,read_speech
train,,14472,0.9754,train,1483741,58734,,,broadcast
train,,14035,0.9459,train,1483741,58734,,,podcast
train,,4580,0.3087,train,1483741,58734,,,social
train,,3592,0.2421,train,1483741,58734,,,synthetic
val,spoof,125998,80.9735,val,155604,7338,,,
val,bonafide,29606,19.0265,val,155604,7338,,,
val,,68040,43.7264,val,155604,7338,replay,,
val,,42210,27.1266,val,155604,7338,conversion,,
val,,29606,19.0265,val,155604,7338,bonafide,,
val,,15748,10.1206,val,155604,7338,synthesis,,
val,,77490,49.7995,val,155604,7338,,PA,
val,,44100,28.3412,val,155604,7338,,DF,
val,,17109,10.9952,val,155604,7338,,RealWorld,
val,,16905,10.8641,val,155604,7338,,LA,
val,,148179,95.2283,val,155604,7338,,,studio
val,,2896,1.8611,val,155604,7338,,,read_speech
val,,1804,1.1594,val,155604,7338,,,broadcast
val,,1694,1.0887,val,155604,7338,,,podcast
val,,578,0.3715,val,155604,7338,,,social
val,,453,0.2911,val,155604,7338,,,synthetic
test,spoof,214837,84.3908,test,254574,7349,,,
test,bonafide,39737,15.6092,test,254574,7349,,,
test,,102060,40.0905,test,254574,7349,replay,,
test,,90585,35.583,test,254574,7349,conversion,,
test,,39737,15.6092,test,254574,7349,bonafide,,
test,,22192,8.7173,test,254574,7349,synthesis,,
test,,119070,46.7723,test,254574,7349,,PA,
test,,94032,36.937,test,254574,7349,,DF,
test,,24388,9.5799,test,254574,7349,,LA,
test,,17084,6.7108,test,254574,7349,,RealWorld,
test,,247151,97.0841,test,254574,7349,,,studio
test,,2911,1.1435,test,254574,7349,,,read_speech
test,,1783,0.7004,test,254574,7349,,,podcast
test,,1718,0.6749,test,254574,7349,,,broadcast
test,,554,0.2176,test,254574,7349,,,social
test,,457,0.1795,test,254574,7349,,,synthetic
