level,group_dimension,group_value,embedding_dim_name,count,row_count,missing_percent,mean,std,min,median,max
file,all,all,ssl_emb_000,184,184,0.0,-0.031357998512960485,0.021876283315945867,-0.0941890999674797,-0.0337459575384855,0.0180961620062589
file,all,all,ssl_emb_001,184,184,0.0,0.0034114419872228355,0.017352449370672457,-0.0810163766145706,0.00351180112920695,0.0373698286712169
file,all,all,ssl_emb_002,184,184,0.0,-0.02130206644490139,0.015075142233725731,-0.0581417493522167,-0.0180436139926314,0.0109146581962704
file,all,all,ssl_emb_003,184,184,0.0,0.005191272345536665,0.01712161394471096,-0.0371277779340744,0.005077709443867149,0.0534686557948589
file,all,all,ssl_emb_004,184,184,0.0,0.006649778142277864,0.015342274544945933,-0.0277956835925579,0.007395569467917,0.0423971526324749
file,all,all,ssl_emb_005,184,184,0.0,0.01710251694290171,0.016569217535899416,-0.0327426828444004,0.01887575630098575,0.0523157268762588
file,all,all,ssl_emb_006,184,184,0.0,-0.04431008497182195,0.032922616179606234,-0.10454823076725,-0.04998210072517395,0.1309350728988647
file,all,all,ssl_emb_007,184,184,0.0,-0.001145712926858245,0.013344681568688226,-0.0449992939829826,-0.00025953770818880003,0.0225938931107521
file,all,all,ssl_emb_008,184,184,0.0,-0.008851352412579115,0.015791920011271488,-0.056863997131586,-0.008787658996879999,0.0436315089464187
file,all,all,ssl_emb_009,184,184,0.0,0.017282459572015768,0.01921573647007865,-0.0318700559437274,0.01855809148401015,0.0681977793574333
file,all,all,ssl_emb_010,184,184,0.0,0.01715922874728159,0.018453354090813275,-0.0441725961863994,0.01668657734990115,0.0586079359054565
file,all,all,ssl_emb_011,184,184,0.0,-0.011465459754044371,0.018849030853994805,-0.0556480064988136,-0.010753421112895,0.0422309339046478
file,all,all,ssl_emb_012,184,184,0.0,-0.017829177236901292,0.02217551894566638,-0.1277594119310379,-0.01388142257928845,0.0360571183264255
file,all,all,ssl_emb_013,184,184,0.0,-0.01370715693401112,0.03556789775696537,-0.1181162744760513,-0.0027877957327291,0.0474281571805477
file,all,all,ssl_emb_014,184,184,0.0,-0.01936758555878083,0.025562084815897106,-0.0779295116662979,-0.0200282102450728,0.0571397319436073
file,all,all,ssl_emb_015,184,184,0.0,0.017036504390568485,0.022278215005700125,-0.0529783591628074,0.02108129579573865,0.0653811991214752
file,all,all,ssl_emb_016,184,184,0.0,-0.016619476439463227,0.014589641104303316,-0.0442649908363819,-0.0170990573242306,0.0232432167977094
file,all,all,ssl_emb_017,184,184,0.0,0.027789296701484955,0.016896885260569487,-0.0193221848458051,0.029527056030929047,0.0702566802501678
file,all,all,ssl_emb_018,184,184,0.0,-0.02578855479267705,0.021840379319520452,-0.1701597422361374,-0.02199169062077995,0.0155527545139193
file,all,all,ssl_emb_019,184,184,0.0,-0.03834811733094794,0.016336718090492218,-0.1101474985480308,-0.03851862810552115,0.0114978067576885
file,all,all,ssl_emb_020,184,184,0.0,-0.03925642119129007,0.015140493820575298,-0.0914996266365051,-0.03781584091484545,0.0042180404998362
file,all,all,ssl_emb_021,184,184,0.0,-0.023050630359648456,0.018978180588373982,-0.0635896474123001,-0.0219208868220448,0.0429712198674678
file,all,all,ssl_emb_022,184,184,0.0,0.008051883762954777,0.02761775118779571,-0.0570295639336109,0.01227092882618305,0.0746969059109687
file,all,all,ssl_emb_023,184,184,0.0,0.05670136154588794,0.013310967213755433,0.0251989141106605,0.05688821710646145,0.0895014703273773
file,all,all,ssl_emb_024,184,184,0.0,-0.015278029490772189,0.016473827037574357,-0.0488536767661571,-0.01752351876348255,0.0837267115712165
file,all,all,ssl_emb_025,184,184,0.0,0.0009244416103921063,0.013924907307551452,-0.0248402878642082,-0.0003956172586185,0.0398038364946842
file,all,all,ssl_emb_026,184,184,0.0,0.0269284834408292,0.025200381530829347,-0.1003028601408004,0.029680063016712603,0.0753625333309173
file,all,all,ssl_emb_027,184,184,0.0,-0.0028699298349554488,0.01296798820142227,-0.0528842881321907,-0.0030395982321351,0.0326139368116855
file,all,all,ssl_emb_028,184,184,0.0,-0.4555823308537188,0.08955146252613212,-0.6391518712043762,-0.47383007407188416,0.0494049564003944
file,all,all,ssl_emb_029,184,184,0.0,0.00521669793207642,0.019630042266765308,-0.0321420021355152,0.0028308776672929,0.0661025792360305
file,all,all,ssl_emb_030,184,184,0.0,-0.034814511751629494,0.016324826387185173,-0.0685554966330528,-0.037384077906608554,0.0334137193858623
file,all,all,ssl_emb_031,184,184,0.0,0.006299370606385563,0.010548001690370784,-0.0259912032634019,0.00623898743651805,0.0339972674846649
file,all,all,ssl_emb_032,184,184,0.0,-0.028411547632181827,0.018666959768443767,-0.0776410698890686,-0.02337069064378735,0.0140943359583616
file,all,all,ssl_emb_033,184,184,0.0,-0.02266428425979896,0.022822182209883208,-0.0943536981940269,-0.015724358148872797,0.0131502747535705
file,all,all,ssl_emb_034,184,184,0.0,0.00910846289527555,0.015329513285406148,-0.0243745017796754,0.00789145752787585,0.0552168451249599
file,all,all,ssl_emb_035,184,184,0.0,0.013110161015701898,0.01204442413608539,-0.0144841950386762,0.012224127538502199,0.0414699465036392
file,all,all,ssl_emb_036,184,184,0.0,0.02596812661969398,0.02943073883682365,-0.0426213555037975,0.023189247585833052,0.1142075583338737
file,all,all,ssl_emb_037,184,184,0.0,-0.007278363371295615,0.013457837332805929,-0.0368424989283084,-0.0079531506635248,0.0392475426197052
file,all,all,ssl_emb_038,184,184,0.0,-0.0077362847073147775,0.03775962118327617,-0.075763039290905,-0.0149562638252973,0.1135318055748939
file,all,all,ssl_emb_039,184,184,0.0,-0.020838036208853862,0.021908175760534176,-0.0633818209171295,-0.02462362311780445,0.1039460375905036
file,all,all,ssl_emb_040,184,184,0.0,0.029806854594584258,0.028497833676945448,-0.0568843483924865,0.033026328310370404,0.0841951519250869
file,all,all,ssl_emb_041,184,184,0.0,-0.003422985534637946,0.018050675256347116,-0.0546938367187976,-0.0034605122637003,0.0367057472467422
file,all,all,ssl_emb_042,184,184,0.0,-0.0057873863521881765,0.017259872300254157,-0.0553014129400253,-0.0057280962355434496,0.0486224144697189
file,all,all,ssl_emb_043,184,184,0.0,0.002739953971167386,0.02263652908806845,-0.0558805912733078,-0.002776171430014,0.0744155272841453
file,all,all,ssl_emb_044,184,184,0.0,-0.013330815469959345,0.01312610688510388,-0.0696166828274726,-0.012760164681821999,0.0292218141257762
file,all,all,ssl_emb_045,184,184,0.0,0.026460822874904096,0.01941862758263,-0.0187252219766378,0.025245309807360103,0.0851665884256362
file,all,all,ssl_emb_046,184,184,0.0,0.011139260864381275,0.010217828672054018,-0.0138386422768235,0.01060085976496335,0.0393277779221534
file,all,all,ssl_emb_047,184,184,0.0,-0.014189339064614582,0.014044938189234265,-0.0500017963349819,-0.01283499598503105,0.0260820090770721
file,all,all,ssl_emb_048,184,184,0.0,0.015590521479284887,0.08216533910271939,-0.1976723074913025,0.01082644285634155,0.2068000435829162
file,all,all,ssl_emb_049,184,184,0.0,-0.005441309913768887,0.015336526305165438,-0.0406932905316352,-0.00721627334132785,0.0319770649075508
file,all,all,ssl_emb_050,184,184,0.0,0.02830813406320015,0.08298925184938724,-0.1427077949047088,0.0352045819163322,0.2563628256320953
file,all,all,ssl_emb_051,184,184,0.0,0.018887864555796545,0.012212585542628654,-0.0131588289514184,0.01766988355666395,0.0516843162477016
file,all,all,ssl_emb_052,184,184,0.0,-0.03965496312087883,0.018862855440428712,-0.0993683412671089,-0.03698473609983915,-0.0042866943404078
file,all,all,ssl_emb_053,184,184,0.0,-0.00668933247462794,0.019922720093515752,-0.0550010427832603,-0.0077109823469072,0.0499968118965625
file,all,all,ssl_emb_054,184,184,0.0,0.0011757072412444335,0.017453724277330808,-0.0440657064318656,-0.00142946763662615,0.0556031540036201
file,all,all,ssl_emb_055,184,184,0.0,-0.011430553835690112,0.013598226367704544,-0.0420649908483028,-0.0116650373674929,0.0508803315460681
file,all,all,ssl_emb_056,184,184,0.0,-0.01685379387582421,0.016867641186733267,-0.0537897795438766,-0.01940830051898955,0.0528541207313537
file,all,all,ssl_emb_057,184,184,0.0,0.6467751863857975,0.020561303822463472,0.5994667410850525,0.6467645168304443,0.7283583879470825
file,all,all,ssl_emb_058,184,184,0.0,-0.02750309664533348,0.018650899044466464,-0.1053105443716049,-0.024959146045148352,0.0184057876467704
file,all,all,ssl_emb_059,184,184,0.0,0.04259373819576977,0.02169458106205024,-0.0093430653214454,0.04089308902621265,0.0978134721517562
file,all,all,ssl_emb_060,184,184,0.0,-0.0032051516365912695,0.016732348401517733,-0.034821581095457,-0.0078942840918898,0.034558217972517
file,all,all,ssl_emb_061,184,184,0.0,-0.051843296536548095,0.015429431631665276,-0.0905051305890083,-0.05202919058501715,-0.0032009580172598
file,all,all,ssl_emb_062,184,184,0.0,0.015170990390406962,0.02350273401417052,-0.0389709509909153,0.0127347032539546,0.0864089354872703
file,all,all,ssl_emb_063,184,184,0.0,-0.024678261286918166,0.02997047004797314,-0.1145511046051979,-0.02028561010956755,0.0429375730454921
file,all,all,ssl_emb_064,184,184,0.0,0.00016561190926475314,0.013272727279331424,-0.0488945990800857,0.00026224853354500004,0.0370597429573535
file,all,all,ssl_emb_065,184,184,0.0,-0.008697988220022932,0.01669871443189109,-0.0549840293824672,-0.00895791826769705,0.0794075727462768
file,all,all,ssl_emb_066,184,184,0.0,0.012511553127810843,0.024336081265309374,-0.0310898013412952,0.0128545933403074,0.0729837045073509
file,all,all,ssl_emb_067,184,184,0.0,0.0027498487353687204,0.015085791897727897,-0.0292773023247718,0.0012227919651195,0.0442887805402278
file,all,all,ssl_emb_068,184,184,0.0,-0.0005997205791335567,0.017441812663359844,-0.0699539855122566,-0.0027553188847377497,0.0481724925339221
file,all,all,ssl_emb_069,184,184,0.0,-0.03581151606443236,0.021796998110113434,-0.0756143778562545,-0.038818124681711155,0.0366393327713012
file,all,all,ssl_emb_070,184,184,0.0,0.025390358149351113,0.03159992859868559,-0.0433014631271362,0.02124843094497915,0.0945947840809822
file,all,all,ssl_emb_071,184,184,0.0,0.2297511969255815,0.13559124566717812,-0.0580360516905784,0.24037732928991315,0.9241201281547546
file,all,all,ssl_emb_072,184,184,0.0,0.01577545806329629,0.019942144587002462,-0.0319965779781341,0.0163770960643887,0.0696479827165603
file,all,all,ssl_emb_073,184,184,0.0,0.00835765927908851,0.01685523716034932,-0.0588297136127948,0.012526569887995699,0.0367114171385765
file,all,all,ssl_emb_074,184,184,0.0,0.010270808904826217,0.014261618131458095,-0.0267250258475542,0.00957786059007045,0.0448561869561672
file,all,all,ssl_emb_075,184,184,0.0,-0.016303587331766792,0.01019061574612147,-0.0621420443058013,-0.015179618261754499,0.0136121222749352
file,all,all,ssl_emb_076,184,184,0.0,0.0038887426626783577,0.010742891305287373,-0.0376071035861969,0.0036271017743273997,0.0301368627697229
file,all,all,ssl_emb_077,184,184,0.0,0.18103148307905623,0.09142158108903947,-0.1686950474977493,0.18061749637126914,0.4143568277359009
file,all,all,ssl_emb_078,184,184,0.0,0.0151692458495112,0.013348909964065169,-0.0275858677923679,0.014086655341088699,0.0495476014912128
file,all,all,ssl_emb_079,184,184,0.0,0.01598704543553336,0.02559370200521535,-0.0235680975019931,0.0093786395154893,0.0928044989705085
file,all,all,ssl_emb_080,184,184,0.0,-0.016506742787263932,0.02013667746259584,-0.0748363509774208,-0.01448470819741485,0.0279255229979753
file,all,all,ssl_emb_081,184,184,0.0,-0.06164759576178922,0.05123086319571357,-0.2209858000278473,-0.04912090487778185,0.0396778434514999
file,all,all,ssl_emb_082,184,184,0.0,0.021368833981598587,0.015214563981236799,-0.0248253159224987,0.0226518390700221,0.057430475950241
file,all,all,ssl_emb_083,184,184,0.0,-0.031190433100361906,0.027800648623839148,-0.0781153663992881,-0.0357587710022926,0.0627024844288826
file,all,all,ssl_emb_084,184,184,0.0,0.022330544208433896,0.01751596069006896,-0.0081131421029567,0.020475641824305,0.0779876708984375
file,all,all,ssl_emb_085,184,184,0.0,0.0266497408834845,0.02168485890207873,-0.0329578928649425,0.031575983390212004,0.0643299669027328
file,all,all,ssl_emb_086,184,184,0.0,-0.002396618900527995,0.021915781343641687,-0.0685821697115898,0.00115266250213605,0.0419062264263629
file,all,all,ssl_emb_087,184,184,0.0,0.013913993420749645,0.008787824167234693,-0.0092191295698285,0.0136891491711139,0.0335829928517341
file,all,all,ssl_emb_088,184,184,0.0,-0.030975012071038425,0.15851397041387963,-0.5046527981758118,0.0099579556845128,0.1841577738523483
file,all,all,ssl_emb_089,184,184,0.0,-0.009833428123507132,0.01938539343846998,-0.051132071763277,-0.011522139422595449,0.0650283992290496
file,all,all,ssl_emb_090,184,184,0.0,-0.023316553316165077,0.012223583801170133,-0.0660547018051147,-0.02169961854815475,0.0027429885230958
file,all,all,ssl_emb_091,184,184,0.0,-0.0008454366685011347,0.02118900189273209,-0.04021967202425,-0.0037540321936830002,0.0989371165633201
file,all,all,ssl_emb_092,184,184,0.0,-0.0031058613850568073,0.024200379176277827,-0.0506806634366512,-0.00130840839119625,0.0547273010015487
file,all,all,ssl_emb_093,184,184,0.0,0.002160501360302311,0.022401391096376344,-0.0634301453828811,0.0054110274650155995,0.0451287887990474
file,all,all,ssl_emb_094,184,184,0.0,0.030797089719588052,0.013011163709241859,-0.0089270221069455,0.031063419766724047,0.066755786538124
file,all,all,ssl_emb_095,184,184,0.0,-0.12817348507560972,0.07451597006565099,-0.2693569660186767,-0.14013081043958658,0.0317251347005367
file,all,all,ssl_emb_096,184,184,0.0,-0.013974626126582715,0.022082428879459808,-0.0740977823734283,-0.0071643749251961,0.0203956980258226
file,all,all,ssl_emb_097,184,184,0.0,0.05292781315485781,0.02113846438907722,-0.0102175576612353,0.0575713440775871,0.0998853594064712
file,all,all,ssl_emb_098,184,184,0.0,0.10915182823816352,0.11195418336451156,-0.1296214759349823,0.08311439678072924,0.5293753743171692
file,all,all,ssl_emb_099,184,184,0.0,0.023442020664788267,0.02749183254764776,-0.0270867384970188,0.0195135613903403,0.0850078612565994
file,all,all,ssl_emb_100,184,184,0.0,-0.043287814308512085,0.025499671292791945,-0.1003736481070518,-0.04462270438671105,0.0128138503059744
file,all,all,ssl_emb_101,184,184,0.0,0.005845923877211094,0.03707757688386867,-0.1058402732014656,0.0037409329088404497,0.0781672820448875
file,all,all,ssl_emb_102,184,184,0.0,-0.049227607717205524,0.0829010498793419,-0.2699422538280487,-0.0502009075134992,0.2013467103242874
file,all,all,ssl_emb_103,184,184,0.0,0.6070547082016001,0.20280129760930077,0.2319564670324325,0.5690342783927917,1.184392333030701
file,all,all,ssl_emb_104,184,184,0.0,-0.17196800526353004,0.06786239457296674,-0.321676641702652,-0.17580141872167582,0.0388758890330791
file,all,all,ssl_emb_105,184,184,0.0,0.031536663717301724,0.017890871932665326,-0.0068107610568404,0.032015282660722705,0.0707302540540695
file,all,all,ssl_emb_106,184,184,0.0,-0.010087372173771923,0.02725854614811742,-0.0788003429770469,-0.00905620353296395,0.0531244240701198
file,all,all,ssl_emb_107,184,184,0.0,-0.012714454250904636,0.030718995398470443,-0.1052590385079383,-0.01043142145499585,0.050927709788084
file,all,all,ssl_emb_108,184,184,0.0,-0.026667528540913355,0.0326507974543741,-0.1284518390893936,-0.0244083451107144,0.0365254841744899
file,all,all,ssl_emb_109,184,184,0.0,0.077654160083393,0.02232505200640115,0.0068134842440485,0.08035787194967264,0.1383454799652099
file,all,all,ssl_emb_110,184,184,0.0,-0.023231477227375768,0.020688262300636452,-0.0754523798823356,-0.026707475073635502,0.0228732582181692
file,all,all,ssl_emb_111,184,184,0.0,0.022951839412163905,0.01169354425013794,-0.0231561940163373,0.02252637408673755,0.0503379553556442
file,all,all,ssl_emb_112,184,184,0.0,0.009575761502120509,0.011249080130852697,-0.0211594179272651,0.0086840437725186,0.0410848893225193
file,all,all,ssl_emb_113,184,184,0.0,-0.014273104180693195,0.0208387644470369,-0.0456457361578941,-0.01787931751459835,0.0554505288600921
file,all,all,ssl_emb_114,184,184,0.0,0.30792848050148913,0.1815685540906911,-0.4814400672912597,0.3116752654314041,0.7255099415779114
file,all,all,ssl_emb_115,184,184,0.0,-0.00512714113218584,0.013262334999045059,-0.0427681729197502,-0.0054624560289084495,0.0304132234305143
file,all,all,ssl_emb_116,184,184,0.0,-0.003323314688714155,0.017022643779634736,-0.0451773107051849,-0.002641562372446,0.0794099792838096
file,all,all,ssl_emb_117,184,184,0.0,-0.018228189032885415,0.010749684124314799,-0.042991392314434,-0.01949295774102205,0.005437436979264
file,all,all,ssl_emb_118,184,184,0.0,0.0019368353537372416,0.013088257686387985,-0.0285007003694772,3.953269333574873e-05,0.0561789087951183
file,all,all,ssl_emb_119,184,184,0.0,0.008587145587210649,0.022194220938048702,-0.0289832390844821,0.003972230479121149,0.0860093608498573
file,all,all,ssl_emb_120,184,184,0.0,-0.023115536501079396,0.01682790980260066,-0.0789432972669601,-0.02489495836198325,0.0307187121361494
file,all,all,ssl_emb_121,184,184,0.0,-0.0192779855588805,0.0163518439746012,-0.0505854822695255,-0.019043600186705548,0.0335075668990612
file,all,all,ssl_emb_122,184,184,0.0,-0.0055102618754735,0.017210165742409612,-0.0562755316495895,-0.0054218559525907005,0.0496293157339096
file,all,all,ssl_emb_123,184,184,0.0,-0.006033761002191048,0.019924725171698302,-0.0630317032337188,-0.00608999771066005,0.0412102080881595
file,all,all,ssl_emb_124,184,184,0.0,0.007532095534612451,0.023416256669283726,-0.0302003677934408,0.0036006824811920003,0.1023192405700683
file,all,all,ssl_emb_125,184,184,0.0,0.03554798245560324,0.03230149168902708,-0.0926117002964019,0.035794936120510046,0.1153691560029983
file,all,all,ssl_emb_126,184,184,0.0,-0.012022057698429652,0.024124117147116365,-0.0693296715617179,-0.01543412823230025,0.0526165924966335
file,all,all,ssl_emb_127,184,184,0.0,-0.003648607491967314,0.016726493262884376,-0.1009514108300209,-0.00107698264764615,0.0281544011086225
file,all,all,ssl_emb_128,184,184,0.0,0.02595150017789463,0.09680797703322995,-0.167434811592102,0.03242098726332185,0.4047021865844726
file,all,all,ssl_emb_129,184,184,0.0,0.02944529678833252,0.02164047227142529,-0.0128131555393338,0.0264726942405104,0.1082617789506912
file,all,all,ssl_emb_130,184,184,0.0,0.3257708308165488,0.040396531307580155,0.267720490694046,0.3117327094078064,0.478982150554657
file,all,all,ssl_emb_131,184,184,0.0,0.025009141047516777,0.03270887936252038,-0.0403553955256938,0.02284389082342385,0.1164299547672271
file,all,all,ssl_emb_132,184,184,0.0,-0.018288209847726253,0.017950627541841707,-0.1467572003602981,-0.016400489024817902,0.0283858347684144
file,all,all,ssl_emb_133,184,184,0.0,0.0025227099846065536,0.013583425435181342,-0.0377624593675136,0.00046984133950895,0.0488183014094829
file,all,all,ssl_emb_134,184,184,0.0,0.0606490886904952,0.09049203345363041,-0.2338643223047256,0.07060673832893369,0.2635654509067535
file,all,all,ssl_emb_135,184,184,0.0,-0.03248513618059008,0.046686410605652116,-0.2085389196872711,-0.0304536130279302,0.0695332810282707
file,all,all,ssl_emb_136,184,184,0.0,0.019892796434009024,0.00965910987570781,-0.0147603238001465,0.020502058789133998,0.043503351509571
file,all,all,ssl_emb_137,184,184,0.0,0.02588963714800266,0.026491008310338057,-0.0231473818421363,0.021479551680386,0.1019117683172226
file,all,all,ssl_emb_138,184,184,0.0,0.019977376473294894,0.023527414200731733,-0.0367793068289756,0.0247493693605065,0.0722840204834938
file,all,all,ssl_emb_139,184,184,0.0,-0.049088783122462426,0.017508965722474786,-0.0876314416527748,-0.0511289071291685,-0.0009709281148388
file,all,all,ssl_emb_140,184,184,0.0,-0.017713162363416666,0.02403736389466546,-0.0684829130768776,-0.0178297776728868,0.0470602549612522
file,all,all,ssl_emb_141,184,184,0.0,-0.006846947755983145,0.028614314519755414,-0.0699755698442459,-0.0006752834160579,0.0412829965353012
file,all,all,ssl_emb_142,184,184,0.0,0.04172511024744772,0.012795321861325596,0.0111268125474452,0.04449459910392755,0.0661663860082626
file,all,all,ssl_emb_143,184,184,0.0,-0.0015594362321280566,0.023802548331732353,-0.0554955787956714,-0.0028359432471916,0.0607174262404441
file,all,all,ssl_emb_144,184,184,0.0,0.03440517123011013,0.026071709256897887,-0.0745500177145004,0.0430320296436548,0.0760572850704193
file,all,all,ssl_emb_145,184,184,0.0,-0.057083127024310155,0.02932018185864983,-0.1257009208202362,-0.05652071908116335,0.0152159873396158
file,all,all,ssl_emb_146,184,184,0.0,0.009374241859483785,0.015393105965407078,-0.0233401488512754,0.0077052940614521,0.0680647119879722
file,all,all,ssl_emb_147,184,184,0.0,-0.023506892253586202,0.016643270392736737,-0.0781663879752159,-0.0230457335710525,0.0272380542010068
file,all,all,ssl_emb_148,184,184,0.0,0.07147999676121597,0.04238114316637107,-0.0137283373624086,0.0678538717329502,0.2811713516712188
