level,comparison_name,level_a,level_b,embedding_dim_name,group_a_count,group_b_count,group_a_mean,group_b_mean,group_a_median,group_b_median,abs_mean_difference,effect_size,missing_percent,direction,interpretation_note
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_000,23,23,-0.029216401359957154,-0.05750750750303264,-0.0328096263110637,-0.0534745790064334,0.02829110614307549,1.919886874635806,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_001,23,23,0.007105108558038304,-0.0001983332109850217,0.0080284569412469,0.000614360673353,0.007303441769023325,0.8762413694512798,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_002,23,23,-0.010026718126660495,-0.028868623442299946,-0.0095005128532648,-0.0245757326483726,0.01884190531563945,1.8838026044177751,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_003,23,23,0.005992600910837549,0.008194602256559786,0.0063387425616383,0.0102074109017848,0.0022020013457222367,0.14490075323283685,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_004,23,23,0.008816173654454527,0.022318271555654332,0.0091837989166378,0.0194625314325094,0.013502097901199805,1.3682235060840908,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_005,23,23,0.016890352278056953,0.018693636313242713,0.0171349197626113,0.0179442819207906,0.0018032840351857593,0.13539137564516343,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_006,23,23,-0.07064640732563056,-0.04217206188680033,-0.069341242313385,-0.0432041622698307,0.028474345438830227,1.5637059853116948,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_007,23,23,-0.0023609718552071828,-0.000928120890065378,-0.0035018047783523,-0.0015915828989818,0.0014328509651418049,0.12517466142469716,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_008,23,23,0.0025787207642165265,-0.005112656609012242,0.0009841287974268,-0.0026453451719135,0.007691377373228768,0.591777469814844,0.0,higher_in_group_a,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_009,23,23,0.038095026165651844,0.022695524557291128,0.0338191390037536,0.0240770224481821,0.015399501608360715,1.1055975765218036,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_010,23,23,0.027699345656994525,0.00940226577475421,0.0273377913981676,0.011488595046103,0.018297079882240316,1.266530148814762,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_011,23,23,-0.006291811637904322,-0.013325666948019144,-0.0032101199030876,-0.0188401360064744,0.007033855310114822,0.43824583808859663,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_012,23,23,-0.0021634529377637527,-0.03300490305232608,0.0002152950619347,-0.0349395275115966,0.03084145011456233,2.508876258756882,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_013,23,23,-0.009119706046160152,0.017734928714597312,-0.0043745725415647,0.0154444891959428,0.026854634760757466,1.354941043498442,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_014,23,23,-0.04220192604090853,-0.010910413341859927,-0.0403526499867439,-0.0059367245994508,0.031291512699048604,1.5958175075315217,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_015,23,23,0.04118889554039287,0.012523689020030255,0.0423660948872566,0.0165409725159406,0.02866520652036262,2.2237770593206645,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_016,23,23,-0.014142377658414319,-0.020532748641689143,-0.0142152439802885,-0.0205510947853326,0.006390370983274824,0.48190019793886363,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_017,23,23,0.030642986824007085,0.03484212379376197,0.0310119800269603,0.0379997678101062,0.004199136969754883,0.27917828304094033,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_018,23,23,-0.029415386809926922,-0.022971024129377703,-0.0277884546667337,-0.0218922048807144,0.00644436268054922,0.6735600054428826,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_019,23,23,-0.03917927635104755,-0.04671687908146689,-0.035787034779787,-0.0482668094336986,0.0075376027304193405,0.6690374028055401,0.0,higher_in_group_a,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_020,23,23,-0.04570669923787528,-0.029657556848732048,-0.0480931103229522,-0.0320643186569213,0.01604914238914323,1.4183819248554652,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_021,23,23,-0.033504422509830156,-0.011345104235933013,-0.0316732227802276,-0.0124927265569567,0.022159318273897145,1.714979251388401,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_022,23,23,0.025107756844195292,0.02513002640689193,0.0263691693544387,0.024598991498351,2.2269562696637657e-05,0.00113219596970916,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_023,23,23,0.053398449135863224,0.052141040563583325,0.0545422695577144,0.051133569329977,0.0012574085722798986,0.10377846005548656,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_024,23,23,-0.017585757335283482,-0.01008651204123766,-0.0201538912951946,-0.0096270022913813,0.007499245294045822,0.6934380661714933,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_025,23,23,0.001907699473161713,-0.012925398604673512,0.0048253517597913,-0.0137061914429068,0.014833098077835226,1.5835159257344147,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_026,23,23,0.03497799617774862,0.05064087518511092,0.0376561693847179,0.055445410311222,0.015662879007362303,0.9955619710588357,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_027,23,23,-0.007224016342028621,0.00044190241074511764,-0.0087356129661202,-0.0003017648996319,0.007665918752773739,0.7448355462198366,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_028,23,23,-0.48577498223470605,-0.484283122031585,-0.4784905314445495,-0.488257497549057,0.0014918602031210315,0.028720207106168932,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_029,23,23,-0.001292633778496595,-0.009984431018971852,-0.005483022890985,-0.0130760371685028,0.008691797240475257,0.5445667893054413,0.0,higher_in_group_a,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_030,23,23,-0.04755885955756121,-0.038061571266988004,-0.0486152060329914,-0.0402181483805179,0.009497288290573204,0.7827912009318102,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_031,23,23,0.004237094328424913,0.011151859941689825,0.0062269321642816,0.0109462263062596,0.006914765613264912,0.7122335192605612,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_032,23,23,-0.01449513606949827,-0.02265494731862255,-0.0137465419247746,-0.0181502141058444,0.00815981124912428,0.6150041948474129,0.0,higher_in_group_a,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_033,23,23,-0.013145115499830077,-0.00956344232722385,-0.0141915222629904,-0.0093201678246259,0.0035816731726062267,0.314216964859319,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_034,23,23,0.00919780666109818,-0.008997049876083801,0.0070432210341095,-0.0096323415637016,0.018194856537181982,2.1626968843397596,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_035,23,23,0.010710075700088629,0.022454231990116563,0.0086949747055768,0.0216256752610206,0.011744156290027934,1.17897492948264,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_036,23,23,0.019682941948185106,0.0013775599249841093,0.0187983885407447,-0.000979701988399,0.018305382023200995,0.8527116599111026,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_037,23,23,-0.009239471811072304,-0.014189242881358272,-0.0110100703313946,-0.0146235711872577,0.004949771070285968,0.44565268363783217,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_038,23,23,-0.0009421603804778088,-0.043199130738882874,-0.0041857142932713,-0.0466015711426734,0.04225697035840507,2.0406354822689927,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_039,23,23,-0.01571053190602229,-0.03606917142220162,-0.0166979469358921,-0.0346363894641399,0.020358639516179326,1.6271671360790791,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_040,23,23,0.04937000240644679,0.018802995096927507,0.0516417287290096,0.0206851977854967,0.030567007309519282,1.8095822876110752,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_041,23,23,0.00508693606167544,-0.021488846482142106,0.0067754327319562,-0.0225521102547645,0.026575782543817546,2.984009672836304,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_042,23,23,-0.010576771767734028,-0.005130624707659139,-0.0131672145798802,-0.0054577752016484,0.005446147060074889,0.39248655027631957,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_043,23,23,-0.009314590285572641,-0.015685540692293574,-0.012393457815051,-0.0169271565973758,0.006370950406720933,0.39839950005382213,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_044,23,23,-0.015952266064350965,-0.011001359854202234,-0.0138635961338877,-0.010767831467092,0.0049509062101487315,0.5122197173466091,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_045,23,23,0.030243252464772524,0.023368872008691297,0.0311260484158992,0.0237659886479377,0.006874380456081228,0.48958127492773174,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_046,23,23,0.012414943078866836,0.007297537133284882,0.0136099383234977,0.007359757553786,0.005117405945581954,0.683233679493725,0.0,higher_in_group_a,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_047,23,23,-0.008249022329793004,-0.028389174167228734,-0.0079111149534583,-0.0266595687717199,0.02014015183743573,1.7945727352475154,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
file,clean_human_vs_clean_ai_synthetic,human,ai_synthetic,ssl_emb_048,23,23,-0.03048837389392048,0.06430632740502124,-0.0575131475925445,0.053835678845644,0.09479470129894171,1.5012083202080133,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
