file_id,audio_path,known_origin_label,known_manipulation_labels,duration_sec,sample_rate,embedding_model_name,pooling,extraction_status,warning_message
phase7c1_collection_manifest_000000_ai_001_direct,data/phase7c1/raw/ai_direct/ai_001_direct.wav,ai_synthetic,clean,56.32,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000001_ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,mixed,edited_spliced;partial_fabrication,66.114,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000002_ai_001_mixer_processed,data/phase7c1/raw/ai_mixer/ai_001_mixer_processed.wav,ai_synthetic,mixer_channel_processed,57.493,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,ai_synthetic,replay_rerecorded,56.371,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000004_human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,human,clean,42.133,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000005_human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,mixed,edited_spliced;partial_fabrication,50.377,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000006_human_001_mixer_processed,data/phase7c1/raw/human_mixer/human_001_mixer_processed.wav,human,mixer_channel_processed,41.088,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_001_replay_laptop_mobile.wav,human,replay_rerecorded,33.38,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000008_ai_002_direct,data/phase7c1/raw/ai_direct/ai_002_direct.wav,ai_synthetic,clean,40.307,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000009_ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,mixed,edited_spliced;partial_fabrication,46.897,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000010_ai_002_mixer_processed,data/phase7c1/raw/ai_mixer/ai_002_mixer_processed.wav,ai_synthetic,mixer_channel_processed,41.067,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000011_ai_002_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_002_replay_laptop_mobile.wav,ai_synthetic,replay_rerecorded,31.197,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000012_human_002_clean,data/phase7c1/raw/human_clean/human_002_clean.wav,human,clean,34.965,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000013_human_002_fabricated,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,mixed,edited_spliced;partial_fabrication,41.039,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000014_human_002_mixer_processed,data/phase7c1/raw/human_mixer/human_002_mixer_processed.wav,human,mixer_channel_processed,33.643,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000015_human_002_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_002_replay_laptop_mobile.wav,human,replay_rerecorded,26.692,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000016_ai_003_direct,data/phase7c1/raw/ai_direct/ai_003_direct.wav,ai_synthetic,clean,48.196,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000017_ai_003_fabricated,data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,mixed,edited_spliced;partial_fabrication,54.775,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000018_ai_003_mixer_processed,data/phase7c1/raw/ai_mixer/ai_003_mixer_processed.wav,ai_synthetic,mixer_channel_processed,49.621,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000019_ai_003_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_003_replay_laptop_mobile.wav,ai_synthetic,replay_rerecorded,43.663,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000020_human_003_clean,data/phase7c1/raw/human_clean/human_003_clean.wav,human,clean,39.242,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000021_human_003_fabricated,data/phase7c1/raw/human_fabricated/human_003_fabricated.wav,mixed,edited_spliced;partial_fabrication,46.993,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000022_human_003_mixer_processed,data/phase7c1/raw/human_mixer/human_003_mixer_processed.wav,human,mixer_channel_processed,38.741,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000023_human_003_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_003_replay_laptop_mobile.wav,human,replay_rerecorded,30.315,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000024_ai_004_direct,data/phase7c1/raw/ai_direct/ai_004_direct.wav,ai_synthetic,clean,51.174,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000025_ai_004_fabricated,data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,mixed,edited_spliced;partial_fabrication,57.998,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000026_ai_004_mixer_processed,data/phase7c1/raw/ai_mixer/ai_004_mixer_processed.wav,ai_synthetic,mixer_channel_processed,52.011,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000027_ai_004_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_004_replay_laptop_mobile.wav,ai_synthetic,replay_rerecorded,38.966,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000028_human_004_clean,data/phase7c1/raw/human_clean/human_004_clean.wav,human,clean,39.339,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000029_human_004_fabricated,data/phase7c1/raw/human_fabricated/human_004_fabricated.wav,mixed,edited_spliced;partial_fabrication,45.753,44100,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000030_human_004_mixer_processed,data/phase7c1/raw/human_mixer/human_004_mixer_processed.wav,human,mixer_channel_processed,37.973,48000,microsoft/wavlm-base-plus,mean,ok,
phase7c1_collection_manifest_000031_human_004_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_004_replay_laptop_mobile.wav,human,replay_rerecorded,35.888,48000,microsoft/wavlm-base-plus,mean,ok,
