schema_version,file_id,audio_path,original_manifest_path,original_row_index,duration_sec,sample_rate,source_dataset,split,known_origin_label,known_manipulation_labels,known_segment_labels_available,evidence_origin_human_score,evidence_origin_ai_score,evidence_origin_mixed_score,evidence_origin_unknown_score,evidence_replay_score,evidence_mixer_channel_score,evidence_partial_fabrication_score,evidence_splice_score,evidence_quality_score,calibrated_origin_label,calibrated_manipulation_labels,final_forensic_status,forensic_risk_level,manual_review_required,manual_review_reason,fusion_trace,forensic_summary,evidence_source_paths
phase8b_v1,phase7c1_collection_manifest_000000_ai_001_direct,data/phase7c1/raw/ai_direct/ai_001_direct.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,0,56.32,44100,phase7c1,train,ai_synthetic,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,1,66.114,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000002_ai_001_mixer_processed,data/phase7c1/raw/ai_mixer/ai_001_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,2,57.493,48000,phase7c1,train,ai_synthetic,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,3,56.371,48000,phase7c1,train,ai_synthetic,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000004_human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,4,42.133,48000,phase7c1,train,human,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000005_human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,5,50.377,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000006_human_001_mixer_processed,data/phase7c1/raw/human_mixer/human_001_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,6,41.088,48000,phase7c1,train,human,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_001_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,7,33.38,48000,phase7c1,train,human,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000008_ai_002_direct,data/phase7c1/raw/ai_direct/ai_002_direct.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,8,40.307,44100,phase7c1,train,ai_synthetic,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000009_ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,9,46.897,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000010_ai_002_mixer_processed,data/phase7c1/raw/ai_mixer/ai_002_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,10,41.067,48000,phase7c1,train,ai_synthetic,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000011_ai_002_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_002_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,11,31.197,48000,phase7c1,train,ai_synthetic,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000012_human_002_clean,data/phase7c1/raw/human_clean/human_002_clean.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,12,34.965,48000,phase7c1,train,human,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000013_human_002_fabricated,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,13,41.039,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000014_human_002_mixer_processed,data/phase7c1/raw/human_mixer/human_002_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,14,33.643,48000,phase7c1,train,human,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000015_human_002_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_002_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,15,26.692,48000,phase7c1,train,human,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
