feature_a,feature_b,correlation,abs_correlation
spectral_rolloff_mean,spectral_centroid_mean,0.9816661954435463,0.9816661954435463
spectral_rolloff_mean,spectral_bandwidth_mean,0.9337322069527512,0.9337322069527512
spectral_centroid_mean,mfcc_2_mean,-0.921949786873094,0.921949786873094
spectral_rolloff_mean,mfcc_2_mean,-0.8973107777255883,0.8973107777255883
spectral_rolloff_std,spectral_centroid_std,0.8862337279808248,0.8862337279808248
mfcc_1_std,mfcc_2_std,0.883447049389777,0.883447049389777
spectral_centroid_mean,spectral_bandwidth_mean,0.8753463544352599,0.8753463544352599
spectral_centroid_std,mfcc_2_std,0.8655861687062499,0.8655861687062499
spectral_rolloff_std,spectral_bandwidth_std,0.8646893124372844,0.8646893124372844
spectral_rolloff_std,mfcc_2_std,0.8486803291875362,0.8486803291875362
spectral_rolloff_std,mfcc_3_mean,0.8285675770723626,0.8285675770723626
spectral_bandwidth_mean,mfcc_2_mean,-0.8106123007840911,0.8106123007840911
spectral_bandwidth_std,mfcc_1_mean,-0.7987319931319035,0.7987319931319035
spectral_centroid_std,mfcc_3_mean,0.7985448769926821,0.7985448769926821
spectral_rolloff_std,mfcc_1_std,0.7873272476445412,0.7873272476445412
mfcc_2_std,mfcc_3_std,0.7758074095873974,0.7758074095873974
mfcc_3_std,mfcc_4_std,0.7740545197198773,0.7740545197198773
spectral_centroid_std,mfcc_3_std,0.7679799763550392,0.7679799763550392
mfcc_8_mean,mfcc_10_mean,0.7665551143835052,0.7665551143835052
mfcc_1_mean,mfcc_1_std,-0.7632507152416398,0.7632507152416398
mfcc_1_std,mfcc_4_std,0.7584024012977152,0.7584024012977152
mfcc_1_mean,mfcc_4_std,-0.7526300097333881,0.7526300097333881
mfcc_2_std,mfcc_4_std,0.7451425609649919,0.7451425609649919
spectral_bandwidth_std,mfcc_2_std,0.7327381234255446,0.7327381234255446
mfcc_1_mean,mfcc_2_std,-0.72983974110841,0.72983974110841
mfcc_1_std,mfcc_3_std,0.727965664936457,0.727965664936457
spectral_rolloff_std,mfcc_1_mean,-0.7226100961487129,0.7226100961487129
spectral_centroid_std,mfcc_1_std,0.7142213450620156,0.7142213450620156
spectral_rolloff_std,mfcc_3_std,0.7111413011468702,0.7111413011468702
spectral_bandwidth_mean,mfcc_4_mean,-0.7108892714322845,0.7108892714322845
mfcc_2_std,mfcc_3_mean,0.708584204050856,0.708584204050856
spectral_rolloff_mean,mfcc_4_mean,-0.7079047649754993,0.7079047649754993
spectral_bandwidth_std,mfcc_1_std,0.7044877949219763,0.7044877949219763
spectral_bandwidth_std,mfcc_4_std,0.7023523913263277,0.7023523913263277
spectral_bandwidth_std,mfcc_3_std,0.7020447631959229,0.7020447631959229
mfcc_1_mean,mfcc_3_std,-0.6831552128136333,0.6831552128136333
spectral_centroid_mean,mfcc_4_mean,-0.6783692607542522,0.6783692607542522
mfcc_6_mean,mfcc_8_mean,0.6772405104101837,0.6772405104101837
mfcc_1_std,mfcc_3_mean,0.6492679441399843,0.6492679441399843
mfcc_6_mean,mfcc_10_mean,0.6468203596390224,0.6468203596390224
spectral_centroid_std,spectral_bandwidth_std,0.64360789244469,0.64360789244469
mfcc_4_mean,mfcc_4_std,0.6326886358240978,0.6326886358240978
mfcc_1_mean,mfcc_3_mean,-0.6301906079695648,0.6301906079695648
spectral_centroid_std,mfcc_6_mean,0.6250036823692409,0.6250036823692409
spectral_bandwidth_std,mfcc_3_mean,0.6202123734309326,0.6202123734309326
mfcc_3_mean,mfcc_8_mean,0.6081517766967108,0.6081517766967108
spectral_rolloff_std,mfcc_4_std,0.6057390236874161,0.6057390236874161
spectral_centroid_std,mfcc_8_mean,0.5857411827089782,0.5857411827089782
snr_proxy,mfcc_1_std,0.5762580108475104,0.5762580108475104
mfcc_4_mean,mfcc_7_mean,0.5735209382481051,0.5735209382481051
mfcc_3_mean,mfcc_6_mean,0.5710479262490532,0.5710479262490532
spectral_centroid_std,mfcc_1_mean,-0.5689703746443343,0.5689703746443343
spectral_rolloff_mean,mfcc_7_mean,-0.5457821533357161,0.5457821533357161
spectral_centroid_std,mfcc_4_std,0.5453736239247495,0.5453736239247495
mfcc_3_mean,mfcc_3_std,0.5406885945675587,0.5406885945675587
spectral_rolloff_std,mfcc_6_mean,0.5391028981859187,0.5391028981859187
spectral_rolloff_std,mfcc_8_mean,0.5387061068218209,0.5387061068218209
mfcc_1_mean,mfcc_7_mean,-0.5383675989516667,0.5383675989516667
mfcc_1_std,mfcc_5_mean,0.537545810819209,0.537545810819209
mfcc_2_mean,mfcc_4_mean,0.5251345518006891,0.5251345518006891
mfcc_1_std,mfcc_6_mean,0.5237966789185895,0.5237966789185895
spectral_centroid_mean,mfcc_7_mean,-0.5227643161476865,0.5227643161476865
mfcc_2_std,mfcc_8_mean,0.5221049457640631,0.5221049457640631
mfcc_7_mean,mfcc_4_std,0.5216286821530948,0.5216286821530948
snr_proxy,mfcc_2_std,0.5208659932994841,0.5208659932994841
mfcc_2_std,mfcc_6_mean,0.520233970866247,0.520233970866247
mfcc_1_std,mfcc_7_mean,0.5170989183402771,0.5170989183402771
spectral_centroid_std,mfcc_10_mean,0.5137947576558897,0.5137947576558897
mfcc_3_mean,mfcc_4_std,0.5118544204069256,0.5118544204069256
mfcc_1_std,mfcc_8_mean,0.5082803686782178,0.5082803686782178
mfcc_2_mean,mfcc_6_mean,-0.5046230175605992,0.5046230175605992
mfcc_2_std,mfcc_5_mean,0.48391593532748445,0.48391593532748445
mfcc_3_mean,mfcc_10_mean,0.482124178448402,0.482124178448402
spectral_centroid_std,mfcc_2_mean,-0.4779811200758279,0.4779811200758279
mfcc_6_mean,mfcc_3_std,0.47736709351045115,0.47736709351045115
mfcc_3_std,mfcc_8_mean,0.47628999648601583,0.47628999648601583
mfcc_2_mean,mfcc_10_mean,-0.4700285168713053,0.4700285168713053
spectral_bandwidth_std,mfcc_7_mean,0.4643127293731587,0.4643127293731587
spectral_bandwidth_mean,mfcc_7_mean,-0.46319038303603716,0.46319038303603716
mfcc_1_mean,mfcc_4_mean,-0.44878422125778905,0.44878422125778905
spectral_rolloff_mean,mfcc_10_mean,0.4470359941616553,0.4470359941616553
spectral_bandwidth_mean,spectral_bandwidth_std,-0.4441530767661738,0.4441530767661738
spectral_rolloff_mean,spectral_bandwidth_std,-0.443780734835244,0.443780734835244
mfcc_4_mean,mfcc_10_mean,-0.44296990725629887,0.44296990725629887
spectral_rolloff_mean,mfcc_1_mean,0.43766062395891353,0.43766062395891353
spectral_centroid_mean,mfcc_10_mean,0.4318105047730285,0.4318105047730285
spectral_rolloff_std,mfcc_10_mean,0.43144534988327043,0.43144534988327043
spectral_bandwidth_mean,mfcc_4_std,-0.43122575107243594,0.43122575107243594
snr_proxy,spectral_rolloff_std,0.42540979987986993,0.42540979987986993
spectral_bandwidth_mean,mfcc_1_mean,0.4192454491953675,0.4192454491953675
spectral_bandwidth_mean,mfcc_10_mean,0.4096088845480724,0.4096088845480724
mfcc_3_mean,mfcc_5_mean,0.3997439072889322,0.3997439072889322
mfcc_2_mean,mfcc_7_mean,0.3970966252598922,0.3970966252598922
spectral_centroid_mean,spectral_bandwidth_std,-0.3900019987729616,0.3900019987729616
spectral_rolloff_std,mfcc_5_mean,0.38809195117909834,0.38809195117909834
mfcc_1_mean,mfcc_5_mean,-0.384579579444408,0.384579579444408
mfcc_2_std,mfcc_7_mean,0.38369270824007784,0.38369270824007784
spectral_centroid_mean,mfcc_1_mean,0.378136986820257,0.378136986820257
mfcc_2_std,mfcc_10_mean,0.37779642306132855,0.37779642306132855
