group_dimension,group_value,feature,count,row_count,missing_percent,mean,std,min,median,max
all,all,rms_mean,4189,4189,0.0,0.0732084668797565,0.0250386147268094,0.0027940508,0.071101874,0.18757071
all,all,rms_std,4189,4189,0.0,0.041963751036500366,0.01731598961944032,0.0033882798,0.042030193,0.11684509
all,all,peak_amplitude,4189,4189,0.0,0.5368727677180711,0.15811867909981217,0.044811137,0.5276475,1.2502007
all,all,zero_crossing_rate_mean,4189,4189,0.0,0.1416824802986393,0.0466179267518189,0.052746001,0.13190957,0.33174061
all,all,clipping_ratio,4189,4189,0.0,8.520064058247792e-07,9.327871152432373e-06,0.0,0.0,0.00025
all,all,silence_ratio,4189,4189,0.0,0.012742523437908809,0.050441587235536524,0.0,0.0,0.8015873
all,all,spectral_centroid_mean,4189,4189,0.0,1818.8149286965863,409.95247522191136,880.0011,1739.8909,3288.7202
all,all,spectral_bandwidth_mean,4189,4189,0.0,1650.47597365481,204.42145687682515,980.6622,1631.7492,2183.7318
all,all,spectral_rolloff_mean,4189,4189,0.0,3464.401080639771,752.264156037577,1481.0268,3322.1726,5874.256
all,all,spectral_flatness_mean,4189,4189,0.0,0.031727568927834814,0.02039030538786193,0.0021198931,0.025963573,0.10354447
all,all,spectral_contrast_mean,0,4189,100.0,,,,,
all,all,low_band_energy_ratio,4189,4189,0.0,0.3981877876435903,0.23547034949097456,0.014208025,0.41717544,0.91319733
all,all,mid_band_energy_ratio,4189,4189,0.0,0.5332385830214849,0.2055840766148038,0.043934056,0.53884509,0.97421308
all,all,high_band_energy_ratio,4189,4189,0.0,0.06857362483576988,0.10569050305535156,0.00035983604,0.025788458,0.53732097
all,all,very_high_band_energy_ratio,0,4189,100.0,,,,,
all,all,noise_floor_proxy,4189,4189,0.0,0.019022845686806875,0.016783997211245766,2.9472103e-05,0.01429313,0.11675286
all,all,snr_proxy,4189,4189,0.0,160.99989395471474,515.9440150919288,1.2694678,9.2680264,5478.4721
all,all,dynamic_range_proxy,4189,4189,0.0,0.16624364110217235,0.07000593226784237,0.017771576,0.16533609,0.51344258
all,all,spectral_entropy_mean,4189,4189,0.0,3.837556492289329,0.5917399975020763,2.3116995,3.7372087,5.2997754
all,all,bandwidth_occupied_95,4189,4189,0.0,0.34380070480997854,0.2433260762174803,0.052734375,0.26220703,0.89550781
all,all,mfcc_1_mean,0,4189,100.0,,,,,
all,all,mfcc_1_std,0,4189,100.0,,,,,
all,all,mfcc_2_mean,0,4189,100.0,,,,,
all,all,mfcc_2_std,0,4189,100.0,,,,,
