schema_version,file_id,audio_path,source_dataset,split,known_origin_label,known_manipulation_labels,duration_sec,sample_rate,feature_source,extraction_status,warning_message,rms_mean,rms_std,rms_min,rms_max,peak_amplitude,mean_amplitude,std_amplitude,dc_offset,zero_crossing_rate_mean,zero_crossing_rate_std,clipping_ratio,silence_ratio,active_audio_ratio,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,spectral_contrast_mean,spectral_contrast_std,low_band_energy_ratio,mid_band_energy_ratio,high_band_energy_ratio,very_high_band_energy_ratio,noise_floor_proxy,snr_proxy,dynamic_range_proxy,spectral_entropy_mean,spectral_entropy_std,high_freq_rolloff_ratio,bandwidth_occupied_95,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,data/phase7c1/raw/ai_direct/ai_001_direct.wav,phase7c1,train,ai_synthetic,clean,56.32,16000,phase8c_acoustic_librosa,ok,,0.073115021,0.059365481,3.1123269e-05,0.26415101,0.82810849,0.050797796,0.094207706,0.00012004723,0.13136901,0.11707617,0,0.027825099,0.9721749,1709.2914,1152.4461,1541.2526,444.27734,3147.3461,1762.1795,0.032847287,0.056875993,21.616461,2.5363142,0.6198898,0.33302143,0.047088779,,0.00022646575,711.57863,0.26411989,4.0769553,1.0405864,0.39341827,0.32275391,-260.10722,161.76299,82.916595,72.987847,0.68198879,34.472403,28.128508,32.742891,12.047777,18.79293,-5.8506316,19.248882,4.3474154,17.088721,-3.8078631,15.822785,-2.6167441,12.030476,-0.97158593,12.426775,-6.5081038,11.398894,-3.0714652,9.3496573,-6.825597,9.6070674
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,phase7c1,train,mixed,edited_spliced;partial_fabrication,66.114,16000,phase8c_acoustic_librosa,ok,,0.068027288,0.054465752,3.1796812e-05,0.25629094,0.80371344,0.047331682,0.087164557,9.384038e-05,0.1274844,0.11126667,0,0.02467344,0.97532656,1677.5667,1089.4074,1538.9531,434.80566,3101.7175,1704.429,0.030980009,0.054981783,21.931286,2.5958139,0.60129661,0.35412929,0.044574103,,0.0002652301,563.71931,0.25625914,4.0230403,1.0251713,0.38771468,0.30371094,-254.83926,150.70732,87.913389,69.167242,-3.9006535,34.553546,26.276607,31.390588,11.07471,18.136895,-7.8206423,18.879979,2.7691378,16.649703,-7.0450983,16.938345,-2.9565628,11.446973,-3.918012,14.014174,-7.2983722,11.076033,-3.4031424,9.2013464,-7.5168752,9.5255524
phase8c_v1,phase7c1_collection_manifest_000002_ai_001_mixer_processed,data/phase7c1/raw/ai_mixer/ai_001_mixer_processed.wav,phase7c1,train,ai_synthetic,mixer_channel_processed,57.493,16000,phase8c_acoustic_librosa,ok,,0.06756781,0.047281742,2.0663869e-05,0.22017413,0.69134331,0.050009455,0.082475836,-2.0353419e-05,0.15134735,0.074395831,0,0.00055648303,0.99944352,1749.0369,594.19127,1532.5203,316.53165,3194.3213,890.63211,0.027047753,0.033376408,23.300317,2.2222919,0.45524033,0.49870619,0.046053474,,0.010550315,12.44166,0.22015347,4.295775,0.86756201,0.39929016,0.33789062,-185.61729,56.625737,97.940387,37.902156,-31.059393,24.285635,35.208912,28.631873,-2.5271458,15.865498,-21.098873,19.008629,-2.1554556,13.879352,-16.734545,10.692746,-3.8882965,9.9736209,-17.945225,11.267601,-13.27622,10.379165,-6.3458601,9.19492,-17.998683,9.2488587
phase8c_v1,phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,phase7c1,train,ai_synthetic,replay_rerecorded,56.371,16000,phase8c_acoustic_librosa,ok,,0.053270865,0.01915271,6.3658401e-05,0.11677822,0.54005754,0.03974643,0.056618303,-5.1261188e-05,0.22411555,0.12099305,0,0.00056753689,0.99943246,2465.0429,946.08904,1847.3672,239.27947,4503.2855,1217.9938,0.070103071,0.052797226,21.660423,1.3197602,0.062774064,0.61632942,0.32089652,,0.028459711,2.7662959,0.11671456,5.0409251,0.55946546,0.56291069,0.80175781,-127.30495,35.853231,59.629546,39.233006,-19.415078,27.002725,1.6918299,17.749635,-14.575952,10.213901,-11.083341,11.873846,-20.620842,10.349842,-11.848445,11.179043,-20.011204,8.5802606,-5.7625981,8.3079895,-17.23295,8.2259073,-1.7262938,7.2943624,-17.04979,6.5687199
phase8c_v1,phase7c1_collection_manifest_000004_human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,phase7c1,train,human,clean,42.133,16000,phase8c_acoustic_librosa,ok,,0.050133087,0.026348643,5.5158827e-05,0.18676843,0.66734862,0.035321835,0.056643176,-3.9816244e-05,0.10404135,0.052712917,0,0.00075930144,0.9992407,1499.6372,525.58362,1552.2007,364.22451,2883.8209,1230.7166,0.019311992,0.034102847,23.414837,2.2362106,0.3341772,0.65766818,0.0081546135,,0.014296233,5.7282905,0.18671326,3.752926,0.82340245,0.36047762,0.21044922,-207.59669,39.261122,114.63715,29.03525,-28.2879,19.487401,16.696368,18.04981,5.9195105,11.88065,-17.097309,11.002803,-3.1899589,10.309927,-24.463577,9.8394037,-4.2384969,7.6976787,-17.487175,10.885812,-12.13494,7.6498338,-4.8330214,7.9267145,-11.994522,8.4253309
phase8c_v1,phase7c1_collection_manifest_000005_human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,phase7c1,train,mixed,edited_spliced;partial_fabrication,50.377,16000,phase8c_acoustic_librosa,ok,,0.052602317,0.031909578,5.061242e-05,0.22286744,0.75003433,0.036766446,0.06153852,-2.3780346e-05,0.11054874,0.072948123,0,0.0025396825,0.99746032,1552.4165,707.36725,1558.3525,376.9474,2948.0109,1368.3817,0.022060624,0.039622311,23.135581,2.3853399,0.40920809,0.56097778,0.029814126,,0.013169537,6.7753927,0.22281682,3.8341909,0.87721674,0.36850136,0.23486328,-217.32309,78.38627,109.4791,40.878221,-22.393101,26.611852,17.951992,21.154462,7.2075913,13.744307,-15.290924,13.776064,-2.089796,11.683522,-21.241914,13.20936,-4.0158387,8.7319976,-14.783471,12.712251,-11.295672,8.5300284,-4.7019951,8.0888532,-10.856296,8.818147
phase8c_v1,phase7c1_collection_manifest_000006_human_001_mixer_processed,data/phase7c1/raw/human_mixer/human_001_mixer_processed.wav,phase7c1,train,human,mixer_channel_processed,41.088,16000,phase8c_acoustic_librosa,ok,,0.11270004,0.046044741,0.00019817711,0.23157592,0.61246592,0.08673936,0.12179123,-3.8172676e-05,0.089857429,0.030109967,0,0,1,1354.6463,315.80537,1378.5539,250.4534,2634.4297,562.58979,0.0057626771,0.008986141,24.700474,2.034863,0.34695231,0.64741051,0.005637176,,0.040852711,4.0940615,0.23137775,3.242099,0.67548789,0.32930371,0.23291016,-162.40741,29.755672,117.15702,21.993534,-38.452379,17.152443,37.521326,17.423354,-0.60974764,10.680336,-38.295134,12.982592,-1.5213791,10.275493,-35.092935,10.174594,-12.950584,7.4060613,-17.664343,10.28231,-22.905546,7.6246765,-11.091046,7.8626926,-17.956245,7.918588
phase8c_v1,phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_001_replay_laptop_mobile.wav,phase7c1,train,human,replay_rerecorded,33.38,16000,phase8c_acoustic_librosa,ok,,0.059529096,0.023422679,0.024599662,0.14991464,0.5183714,0.045696998,0.064005018,-5.974078e-05,0.16447642,0.051459948,0,0,1,2014.1861,439.75212,1863.3919,275.42471,4035.9944,1136.1429,0.051964367,0.035861199,21.863402,1.5283615,0.067126999,0.89435091,0.038522086,,0.035853893,2.6818185,0.12531498,4.6664597,0.62729786,0.5044993,0.30078125,-115.56602,16.285156,81.066796,15.0634,-27.385332,13.506517,-6.1723738,10.337881,-6.2039502,7.9704322,-13.57837,7.1427502,-23.878963,9.6422582,-17.605695,7.4014407,-11.15571,7.940802,-7.6836376,8.6422118,-13.642086,6.1558274,-7.1429174,5.9519101,-13.983679,6.2984591
phase8c_v1,phase7c1_collection_manifest_000008_ai_002_direct,data/phase7c1/raw/ai_direct/ai_002_direct.wav,phase7c1,train,ai_synthetic,clean,40.307,16000,phase8c_acoustic_librosa,ok,,0.05853343,0.037584089,2.0657215e-05,0.14174937,0.58808911,0.042807514,0.069572146,5.370108e-05,0.1385033,0.12433846,0,0.00079365079,0.99920635,1712.6832,1106.4141,1532.0961,491.12702,3170.4303,1804.3888,0.029543607,0.058020153,24.186716,3.379304,0.41715738,0.5691478,0.013694826,,0.0019976168,52.790283,0.14172871,3.5946743,1.1725968,0.39630379,0.17724609,-275.43355,129.45049,87.682184,62.102604,-15.470294,37.018163,14.163201,23.591263,-3.8548812,28.689028,-8.4381989,20.768355,-0.015339012,17.058746,-13.476969,18.969599,-8.709342,13.95062,-8.92104,14.617976,-12.642985,12.276049,-3.3501093,10.830485,-13.092417,10.939808
phase8c_v1,phase7c1_collection_manifest_000009_ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,phase7c1,train,mixed,edited_spliced;partial_fabrication,46.897,16000,phase8c_acoustic_librosa,ok,,0.061960857,0.040536687,1.907413e-05,0.23760682,0.64852118,0.044888284,0.074054875,-6.4225888e-06,0.12957172,0.11948189,0,0.00068212824,0.99931787,1602.9922,1086.0438,1472.41,508.30613,2948.3075,1834.0018,0.026030256,0.054613824,23.90643,3.2493355,0.43624926,0.55360051,0.010150229,,0.0030232328,36.163509,0.23758775,3.5190198,1.146856,0.36853843,0.14892578,-269.61633,109.6101,93.710807,62.905214,-9.4976901,35.633937,13.305024,22.987294,-5.3518737,26.770748,-8.4997643,19.594455,-2.8603357,17.45358,-10.561986,19.215189,-10.338355,13.529558,-8.4923082,13.696392,-11.295184,11.724502,-3.7965475,9.9672196,-11.07949,10.678707
