schema_version,file_id,segment_id,audio_path,start_sec,end_sec,segment_duration_sec,feature_source,extraction_status,warning_message,rms_mean,rms_std,peak_amplitude,zero_crossing_rate_mean,clipping_ratio,silence_ratio,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_flatness_mean,spectral_contrast_mean,low_band_energy_ratio,mid_band_energy_ratio,high_band_energy_ratio,very_high_band_energy_ratio,noise_floor_proxy,snr_proxy,dynamic_range_proxy,spectral_entropy_mean,bandwidth_occupied_95,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0000,data/phase7c1/raw/ai_direct/ai_001_direct.wav,0.0,4.0,4.0,phase8c_acoustic_librosa,ok,,0.091268815,0.068578675,0.68820477,0.14784071,0,0.031746032,1978.4841,1687.5157,3617.2495,0.049728049,,0.6773076,0.27782547,0.044866925,,0.0081556439,24.482683,0.25521678,4.1742627,0.2734375,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0001,data/phase7c1/raw/ai_direct/ai_001_direct.wav,2.0,6.0,4.0,phase8c_acoustic_librosa,ok,,0.062074564,0.067463525,0.75185233,0.158207,0,0.023809524,2072.0755,1732.3871,3772.8175,0.049429232,,0.61655895,0.31544918,0.067991872,,0.00012048289,1507.8028,0.26640493,4.4007771,0.51611328,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0002,data/phase7c1/raw/ai_direct/ai_001_direct.wav,4.0,8.0,4.0,phase8c_acoustic_librosa,ok,,0.083303675,0.074082293,0.75185233,0.10400003,0,0,1485.1146,1541.5004,2753.9062,0.023022328,,0.60974695,0.36603352,0.024219529,,0.00013041955,1497.9231,0.26404443,3.952817,0.11523438,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0003,data/phase7c1/raw/ai_direct/ai_001_direct.wav,6.0,10.0,4.0,phase8c_acoustic_librosa,ok,,0.087852135,0.064406581,0.78885281,0.10507347,0,0.031746032,1489.3636,1492.0721,2767.0511,0.026579922,,0.59425723,0.38392348,0.021819285,,0.00014544607,1193.7456,0.20056733,3.9462839,0.14306641,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0004,data/phase7c1/raw/ai_direct/ai_001_direct.wav,8.0,12.0,4.0,phase8c_acoustic_librosa,ok,,0.068006441,0.066798031,0.78885281,0.13926866,0,0.071428571,1779.1645,1576.6241,3194.0104,0.039071518,,0.60204171,0.35083645,0.047121846,,0.00010911357,1602.5523,0.20513909,4.284439,0.31396484,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0005,data/phase7c1/raw/ai_direct/ai_001_direct.wav,10.0,14.0,4.0,phase8c_acoustic_librosa,ok,,0.072930537,0.059552915,0.81959659,0.12586806,0,0.03968254,1618.9628,1459.2443,2883.6806,0.030617584,,0.65667075,0.29578294,0.047546307,,0.00012255406,1259.0659,0.20577683,4.1193406,0.31787109,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0006,data/phase7c1/raw/ai_direct/ai_001_direct.wav,12.0,16.0,4.0,phase8c_acoustic_librosa,ok,,0.090177566,0.048419714,0.81959659,0.099031963,0,0,1364.059,1324.7512,2529.3279,0.019816258,,0.66256822,0.31358483,0.023846949,,0.028055795,5.8343094,0.20360413,3.8877575,0.20898438,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0007,data/phase7c1/raw/ai_direct/ai_001_direct.wav,14.0,18.0,4.0,phase8c_acoustic_librosa,ok,,0.063704923,0.049165636,0.82686853,0.092308408,0,0.071428571,1390.9086,1501.7833,2816.7783,0.019612856,,0.52632947,0.45781526,0.015855271,,0.00013294132,1067.178,0.18648545,3.7079896,0.20458984,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0008,data/phase7c1/raw/ai_direct/ai_001_direct.wav,16.0,20.0,4.0,phase8c_acoustic_librosa,ok,,0.065169267,0.059929427,0.82686853,0.081205822,0,0.063492063,1389.5269,1576.1091,2866.4435,0.014247012,,0.55183308,0.43576252,0.012404397,,0.00012052184,1313.3222,0.22557917,3.5812931,0.15527344,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_ai_001_direct_w0009,data/phase7c1/raw/ai_direct/ai_001_direct.wav,18.0,22.0,4.0,phase8c_acoustic_librosa,ok,,0.073092312,0.052030653,0.74369782,0.11095998,0,0.023809524,1618.0975,1562.1248,2983.1349,0.028338566,,0.588596,0.36033236,0.051071635,,0.00021967766,551.57339,0.22396842,3.9994127,0.39160156,,,,,,,,,,,,,,,,,,,,,,,,,,
