metric_name,metric_value
total_files,184
status_distribution,"{""suspicious_partial_fabrication_experimental"": 46, ""suspicious_mixer_channel_experimental"": 46, ""suspicious_replay_experimental"": 45, ""suspicious_origin_experimental"": 23, ""accept_human_clean_experimental"": 20, ""inconclusive_manual_review_experimental"": 4}"
risk_distribution,"{""high"": 157, ""low"": 20, ""inconclusive"": 4, ""medium"": 3}"
manual_review_required_count,164
origin_evidence_available_count,46
replay_evidence_available_count,92
mixer_evidence_available_count,92
partial_evidence_available_count,46
high_partial_candidate_count,46
inconclusive_count,4
