file_id,experimental_fusion_status,forensic_risk_level,manual_review_reason,top_segment_ranges,priority,reviewer_action
phase7c1_collection_manifest_000000_ai_001_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000001_ai_001_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,20.0-24.0;16.0-20.0;22.0-26.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000002_ai_001_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000005_human_001_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,14.0-18.0;16.0-20.0;18.0-22.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000006_human_001_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000008_ai_002_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000009_ai_002_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,34.0-38.0;40.0-44.0;36.0-40.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000010_ai_002_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000011_ai_002_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000013_human_002_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,4.0-8.0;10.0-14.0;6.0-10.0,high,review_multi_axis_evidence_and_context
