task_name,feature_set,fold,tn,fp,fn,tp,split_method,model_type
origin_file_model,acoustic,1,3,1,0,6,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,acoustic,2,6,0,0,3,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,acoustic,3,3,1,0,5,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,acoustic,4,4,1,0,4,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,acoustic,5,4,0,0,5,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,ssl,1,4,0,0,6,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,ssl,2,6,0,0,3,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,ssl,3,4,0,0,5,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,ssl,4,5,0,0,4,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,ssl,5,4,0,0,5,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,combined,1,4,0,0,6,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,combined,2,6,0,0,3,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,combined,3,4,0,0,5,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,combined,4,5,0,0,4,StratifiedGroupKFold,logistic_regression_l2
origin_file_model,combined,5,4,0,0,5,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,acoustic,1,9,0,0,10,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,acoustic,2,10,1,0,8,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,acoustic,3,10,1,0,7,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,acoustic,4,10,0,1,7,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,acoustic,5,5,0,0,13,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,ssl,1,9,0,0,10,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,ssl,2,10,1,0,8,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,ssl,3,11,0,0,7,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,ssl,4,10,0,1,7,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,ssl,5,5,0,0,13,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,combined,1,9,0,0,10,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,combined,2,10,1,0,8,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,combined,3,10,1,0,7,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,combined,4,10,0,1,7,StratifiedGroupKFold,logistic_regression_l2
replay_file_model,combined,5,5,0,0,13,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,acoustic,1,9,0,0,10,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,acoustic,2,11,0,0,8,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,acoustic,3,10,1,0,7,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,acoustic,4,10,0,0,8,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,acoustic,5,5,0,0,13,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,ssl,1,9,0,0,10,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,ssl,2,10,1,0,8,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,ssl,3,10,1,0,7,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,ssl,4,9,1,0,8,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,ssl,5,5,0,0,13,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,combined,1,9,0,0,10,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,combined,2,10,1,0,8,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,combined,3,11,0,0,7,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,combined,4,10,0,0,8,StratifiedGroupKFold,logistic_regression_l2
mixer_file_model,combined,5,5,0,0,13,StratifiedGroupKFold,logistic_regression_l2
