task_name,feature_set,fold,input_feature_count,selected_feature_count,selected_features_preview,dropped_all_missing_features
origin_file_model,acoustic,1,59,50,rms_mean;rms_std;rms_min;mean_amplitude;zero_crossing_rate_mean;zero_crossing_rate_std;clipping_ratio;silence_ratio;active_audio_ratio;spectral_centroid_mean;spectral_centroid_std;spectral_bandwidth_mean;spectral_bandwidth_std;spectral_rolloff_mean;spectral_rolloff_std;spectral_flatness_mean;spectral_flatness_std;spectral_contrast_mean;spectral_contrast_std;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;spectral_entropy_mean;spectral_entropy_std;high_freq_rolloff_ratio;bandwidth_occupied_95;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_std;mfcc_12_std;mfcc_13_mean;mfcc_13_std,very_high_band_energy_ratio
origin_file_model,acoustic,2,59,50,rms_mean;mean_amplitude;std_amplitude;dc_offset;zero_crossing_rate_mean;zero_crossing_rate_std;clipping_ratio;silence_ratio;active_audio_ratio;spectral_centroid_mean;spectral_centroid_std;spectral_bandwidth_mean;spectral_bandwidth_std;spectral_rolloff_mean;spectral_rolloff_std;spectral_flatness_mean;spectral_flatness_std;spectral_contrast_mean;spectral_contrast_std;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;spectral_entropy_mean;spectral_entropy_std;high_freq_rolloff_ratio;bandwidth_occupied_95;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_std;mfcc_12_std;mfcc_13_std,very_high_band_energy_ratio
origin_file_model,acoustic,3,59,50,rms_mean;rms_std;mean_amplitude;dc_offset;zero_crossing_rate_mean;zero_crossing_rate_std;clipping_ratio;silence_ratio;active_audio_ratio;spectral_centroid_mean;spectral_centroid_std;spectral_bandwidth_mean;spectral_bandwidth_std;spectral_rolloff_mean;spectral_rolloff_std;spectral_flatness_mean;spectral_flatness_std;spectral_contrast_mean;spectral_contrast_std;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;spectral_entropy_mean;spectral_entropy_std;high_freq_rolloff_ratio;bandwidth_occupied_95;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_std;mfcc_12_std;mfcc_13_mean;mfcc_13_std,very_high_band_energy_ratio
origin_file_model,acoustic,4,59,50,rms_std;peak_amplitude;zero_crossing_rate_mean;zero_crossing_rate_std;clipping_ratio;silence_ratio;active_audio_ratio;spectral_centroid_mean;spectral_centroid_std;spectral_bandwidth_mean;spectral_bandwidth_std;spectral_rolloff_mean;spectral_rolloff_std;spectral_flatness_mean;spectral_flatness_std;spectral_contrast_mean;spectral_contrast_std;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;spectral_entropy_mean;spectral_entropy_std;high_freq_rolloff_ratio;bandwidth_occupied_95;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_std;mfcc_12_std;mfcc_13_mean;mfcc_13_std,very_high_band_energy_ratio
origin_file_model,acoustic,5,59,50,rms_std;rms_max;peak_amplitude;mean_amplitude;zero_crossing_rate_mean;zero_crossing_rate_std;clipping_ratio;silence_ratio;active_audio_ratio;spectral_centroid_mean;spectral_centroid_std;spectral_bandwidth_mean;spectral_rolloff_mean;spectral_rolloff_std;spectral_flatness_mean;spectral_flatness_std;spectral_contrast_mean;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;dynamic_range_proxy;spectral_entropy_mean;spectral_entropy_std;high_freq_rolloff_ratio;bandwidth_occupied_95;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_std;mfcc_12_std;mfcc_13_mean;mfcc_13_std,very_high_band_energy_ratio
origin_file_model,ssl,1,768,50,ssl_emb_041;ssl_emb_050;ssl_emb_060;ssl_emb_066;ssl_emb_085;ssl_emb_100;ssl_emb_101;ssl_emb_108;ssl_emb_110;ssl_emb_135;ssl_emb_138;ssl_emb_139;ssl_emb_162;ssl_emb_170;ssl_emb_240;ssl_emb_241;ssl_emb_254;ssl_emb_263;ssl_emb_266;ssl_emb_288;ssl_emb_297;ssl_emb_307;ssl_emb_339;ssl_emb_346;ssl_emb_360;ssl_emb_368;ssl_emb_397;ssl_emb_407;ssl_emb_424;ssl_emb_434;ssl_emb_442;ssl_emb_481;ssl_emb_506;ssl_emb_534;ssl_emb_560;ssl_emb_575;ssl_emb_596;ssl_emb_617;ssl_emb_631;ssl_emb_632;ssl_emb_649;ssl_emb_652;ssl_emb_654;ssl_emb_690;ssl_emb_715;ssl_emb_719;ssl_emb_729;ssl_emb_740;ssl_emb_742;ssl_emb_754,
origin_file_model,ssl,2,768,50,ssl_emb_050;ssl_emb_060;ssl_emb_062;ssl_emb_066;ssl_emb_085;ssl_emb_095;ssl_emb_108;ssl_emb_110;ssl_emb_128;ssl_emb_138;ssl_emb_139;ssl_emb_143;ssl_emb_162;ssl_emb_165;ssl_emb_170;ssl_emb_228;ssl_emb_241;ssl_emb_254;ssl_emb_263;ssl_emb_266;ssl_emb_290;ssl_emb_297;ssl_emb_346;ssl_emb_360;ssl_emb_406;ssl_emb_407;ssl_emb_424;ssl_emb_434;ssl_emb_442;ssl_emb_448;ssl_emb_481;ssl_emb_506;ssl_emb_534;ssl_emb_560;ssl_emb_575;ssl_emb_617;ssl_emb_631;ssl_emb_632;ssl_emb_652;ssl_emb_654;ssl_emb_671;ssl_emb_682;ssl_emb_690;ssl_emb_699;ssl_emb_706;ssl_emb_715;ssl_emb_719;ssl_emb_729;ssl_emb_742;ssl_emb_754,
origin_file_model,ssl,3,768,50,ssl_emb_041;ssl_emb_049;ssl_emb_050;ssl_emb_060;ssl_emb_062;ssl_emb_066;ssl_emb_085;ssl_emb_095;ssl_emb_100;ssl_emb_108;ssl_emb_110;ssl_emb_135;ssl_emb_138;ssl_emb_139;ssl_emb_162;ssl_emb_181;ssl_emb_241;ssl_emb_254;ssl_emb_263;ssl_emb_266;ssl_emb_284;ssl_emb_286;ssl_emb_290;ssl_emb_297;ssl_emb_300;ssl_emb_346;ssl_emb_360;ssl_emb_407;ssl_emb_424;ssl_emb_427;ssl_emb_434;ssl_emb_442;ssl_emb_464;ssl_emb_481;ssl_emb_506;ssl_emb_534;ssl_emb_560;ssl_emb_575;ssl_emb_617;ssl_emb_631;ssl_emb_649;ssl_emb_654;ssl_emb_690;ssl_emb_699;ssl_emb_706;ssl_emb_715;ssl_emb_719;ssl_emb_729;ssl_emb_742;ssl_emb_754,
origin_file_model,ssl,4,768,50,ssl_emb_041;ssl_emb_049;ssl_emb_050;ssl_emb_060;ssl_emb_066;ssl_emb_085;ssl_emb_095;ssl_emb_108;ssl_emb_110;ssl_emb_135;ssl_emb_138;ssl_emb_139;ssl_emb_162;ssl_emb_228;ssl_emb_240;ssl_emb_241;ssl_emb_254;ssl_emb_263;ssl_emb_284;ssl_emb_286;ssl_emb_297;ssl_emb_307;ssl_emb_327;ssl_emb_339;ssl_emb_346;ssl_emb_360;ssl_emb_407;ssl_emb_424;ssl_emb_427;ssl_emb_434;ssl_emb_442;ssl_emb_448;ssl_emb_481;ssl_emb_506;ssl_emb_534;ssl_emb_560;ssl_emb_575;ssl_emb_617;ssl_emb_631;ssl_emb_632;ssl_emb_652;ssl_emb_654;ssl_emb_682;ssl_emb_690;ssl_emb_699;ssl_emb_715;ssl_emb_719;ssl_emb_729;ssl_emb_742;ssl_emb_754,
origin_file_model,ssl,5,768,50,ssl_emb_041;ssl_emb_049;ssl_emb_050;ssl_emb_060;ssl_emb_066;ssl_emb_085;ssl_emb_095;ssl_emb_108;ssl_emb_110;ssl_emb_135;ssl_emb_138;ssl_emb_139;ssl_emb_162;ssl_emb_228;ssl_emb_241;ssl_emb_254;ssl_emb_263;ssl_emb_284;ssl_emb_290;ssl_emb_297;ssl_emb_339;ssl_emb_346;ssl_emb_360;ssl_emb_407;ssl_emb_424;ssl_emb_427;ssl_emb_434;ssl_emb_442;ssl_emb_448;ssl_emb_481;ssl_emb_506;ssl_emb_534;ssl_emb_560;ssl_emb_575;ssl_emb_617;ssl_emb_631;ssl_emb_632;ssl_emb_649;ssl_emb_652;ssl_emb_654;ssl_emb_671;ssl_emb_682;ssl_emb_690;ssl_emb_699;ssl_emb_715;ssl_emb_719;ssl_emb_729;ssl_emb_736;ssl_emb_742;ssl_emb_754,
