file_id,audio_path,known_origin_label,known_manipulation_labels,duration_sec,segment_count,has_true_timestamp_labels,usable_for_phase8e3_training,top_candidate_segment_ids,max_within_file_anomaly_score,max_neighbor_transition_score,file_level_acoustic_inside_outside_separation,file_level_ssl_inside_outside_separation,file_level_combined_inside_outside_separation,fabricated_segment_count,outside_segment_count,localization_status,review_note
phase7c1_collection_manifest_000001_ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,mixed,edited_spliced;partial_fabrication,66.114,33,true,true,phase7c1_collection_manifest_000001_ai_001_fabricated_w0009;phase7c1_collection_manifest_000001_ai_001_fabricated_w0006;phase7c1_collection_manifest_000001_ai_001_fabricated_w0012;phase7c1_collection_manifest_000001_ai_001_fabricated_w0013;phase7c1_collection_manifest_000001_ai_001_fabricated_w0007,0.8939393939393939,0.9621212121212122,3.601311193425367,0.7230118625727381,-1.5477662854106122,6,27,timestamp_supervision_available,timestamp supervision available; still requires cautious review
phase7c1_collection_manifest_000005_human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,mixed,edited_spliced;partial_fabrication,50.377,25,true,true,phase7c1_collection_manifest_000005_human_001_fabricated_w0010;phase7c1_collection_manifest_000005_human_001_fabricated_w0011;phase7c1_collection_manifest_000005_human_001_fabricated_w0008;phase7c1_collection_manifest_000005_human_001_fabricated_w0007;phase7c1_collection_manifest_000005_human_001_fabricated_w0009,0.94,0.94,7.755802000581809,0.701824401963931,-2.8718667727926963,5,20,timestamp_supervision_available,timestamp supervision available; still requires cautious review
phase7c1_collection_manifest_000009_ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,mixed,edited_spliced;partial_fabrication,46.897,23,true,true,phase7c1_collection_manifest_000009_ai_002_fabricated_w0019;phase7c1_collection_manifest_000009_ai_002_fabricated_w0018;phase7c1_collection_manifest_000009_ai_002_fabricated_w0017;phase7c1_collection_manifest_000009_ai_002_fabricated_w0020;phase7c1_collection_manifest_000009_ai_002_fabricated_w0021,1.0,0.9782608695652174,2.0730072351779487,0.49423674825408703,-1.032776270023848,4,19,timestamp_supervision_available,timestamp supervision available; still requires cautious review
phase7c1_collection_manifest_000013_human_002_fabricated,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,mixed,edited_spliced;partial_fabrication,41.039,20,true,true,phase7c1_collection_manifest_000013_human_002_fabricated_w0003;phase7c1_collection_manifest_000013_human_002_fabricated_w0004;phase7c1_collection_manifest_000013_human_002_fabricated_w0002;phase7c1_collection_manifest_000013_human_002_fabricated_w0005;phase7c1_collection_manifest_000013_human_002_fabricated_w0019,0.975,0.925,12.443475731746794,0.69697968276246,-4.2346348436259635,4,16,timestamp_supervision_available,timestamp supervision available; still requires cautious review
phase7c1_collection_manifest_000017_ai_003_fabricated,data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,mixed,edited_spliced;partial_fabrication,54.775,27,true,true,phase7c1_collection_manifest_000017_ai_003_fabricated_w0008;phase7c1_collection_manifest_000017_ai_003_fabricated_w0007;phase7c1_collection_manifest_000017_ai_003_fabricated_w0001;phase7c1_collection_manifest_000017_ai_003_fabricated_w0000;phase7c1_collection_manifest_000017_ai_003_fabricated_w0006,0.8518518518518519,0.9444444444444444,0.3417467521002153,0.2686998008491448,-0.29499374190585276,4,23,timestamp_supervision_available,timestamp supervision available; still requires cautious review
phase7c1_collection_manifest_000021_human_003_fabricated,data/phase7c1/raw/human_fabricated/human_003_fabricated.wav,mixed,edited_spliced;partial_fabrication,46.993,23,true,true,phase7c1_collection_manifest_000021_human_003_fabricated_w0000;phase7c1_collection_manifest_000021_human_003_fabricated_w0002;phase7c1_collection_manifest_000021_human_003_fabricated_w0001;phase7c1_collection_manifest_000021_human_003_fabricated_w0007;phase7c1_collection_manifest_000021_human_003_fabricated_w0006,1.0,0.9782608695652174,3.39282999360603,0.08245038851502717,-1.21895537292216,5,18,timestamp_supervision_available,timestamp supervision available; still requires cautious review
phase7c1_collection_manifest_000025_ai_004_fabricated,data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,mixed,edited_spliced;partial_fabrication,57.998,28,true,true,phase7c1_collection_manifest_000025_ai_004_fabricated_w0020;phase7c1_collection_manifest_000025_ai_004_fabricated_w0021;phase7c1_collection_manifest_000025_ai_004_fabricated_w0019;phase7c1_collection_manifest_000025_ai_004_fabricated_w0022;phase7c1_collection_manifest_000025_ai_004_fabricated_w0023,0.9464285714285714,0.9821428571428571,2.2363085845020354,0.4796776824493705,-0.8837771583794954,4,24,timestamp_supervision_available,timestamp supervision available; still requires cautious review
phase7c1_collection_manifest_000029_human_004_fabricated,data/phase7c1/raw/human_fabricated/human_004_fabricated.wav,mixed,edited_spliced;partial_fabrication,45.753,22,true,true,phase7c1_collection_manifest_000029_human_004_fabricated_w0001;phase7c1_collection_manifest_000029_human_004_fabricated_w0000;phase7c1_collection_manifest_000029_human_004_fabricated_w0002;phase7c1_collection_manifest_000029_human_004_fabricated_w0003;phase7c1_collection_manifest_000029_human_004_fabricated_w0021,0.9772727272727273,0.9318181818181819,2.6760566405342874,0.4230757771218102,-1.07618892926247,4,18,timestamp_supervision_available,timestamp supervision available; still requires cautious review
phase7c1_collection_manifest_000033_ai_005_fabricated,data/phase7c1/raw/ai_fabricated/ai_005_fabricated.wav,mixed,edited_spliced;partial_fabrication,62.614,31,true,true,phase7c1_collection_manifest_000033_ai_005_fabricated_w0021;phase7c1_collection_manifest_000033_ai_005_fabricated_w0023;phase7c1_collection_manifest_000033_ai_005_fabricated_w0022;phase7c1_collection_manifest_000033_ai_005_fabricated_w0024;phase7c1_collection_manifest_000033_ai_005_fabricated_w0026,0.9838709677419355,0.9193548387096775,60.930513565678424,0.32650439036704715,-20.187695787433533,5,26,timestamp_supervision_available,timestamp supervision available; still requires cautious review
phase7c1_collection_manifest_000037_human_005_fabricated,data/phase7c1/raw/human_fabricated/human_005_fabricated.wav,mixed,edited_spliced;partial_fabrication,53.503,26,true,true,phase7c1_collection_manifest_000037_human_005_fabricated_w0016;phase7c1_collection_manifest_000037_human_005_fabricated_w0014;phase7c1_collection_manifest_000037_human_005_fabricated_w0015;phase7c1_collection_manifest_000037_human_005_fabricated_w0017;phase7c1_collection_manifest_000037_human_005_fabricated_w0024,1.0,0.9423076923076923,5.778198928256533,0.5589596371189712,-1.4786353388397468,5,21,timestamp_supervision_available,timestamp supervision available; still requires cautious review
phase7c1_collection_manifest_000041_ai_006_fabricated,data/phase7c1/raw/ai_fabricated/ai_006_fabricated.wav,mixed,edited_spliced;partial_fabrication,61.087,30,true,true,phase7c1_collection_manifest_000041_ai_006_fabricated_w0015;phase7c1_collection_manifest_000041_ai_006_fabricated_w0018;phase7c1_collection_manifest_000041_ai_006_fabricated_w0017;phase7c1_collection_manifest_000041_ai_006_fabricated_w0014;phase7c1_collection_manifest_000041_ai_006_fabricated_w0016,0.9666666666666667,0.95,1.1701660978122173,0.4113255106149233,-0.6782356843226073,5,25,timestamp_supervision_available,timestamp supervision available; still requires cautious review
