annotation_id,source_annotation_file,file_id,audio_path,annotation_filename,matched_file_id,matched_audio_path,fabricated_start_sec,fabricated_end_sec,fabricated_duration_sec,annotation_label,timestamp_label_source,annotation_status,warning_message
insertion_stamps_0,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_001_fabricated.wav,ai_001_fabricated.wav,phase7c1_collection_manifest_000001_ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,18.024,27.818,9.794,positive,external_timestamp_annotation,matched,
insertion_stamps_1,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_002_fabricated.wav,ai_002_fabricated.wav,phase7c1_collection_manifest_000009_ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,35.741,42.331,6.590000000000003,positive,external_timestamp_annotation,matched,
insertion_stamps_2,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_003_fabricated.wav,ai_003_fabricated.wav,phase7c1_collection_manifest_000017_ai_003_fabricated,data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,1.952,8.531,6.579000000000001,positive,external_timestamp_annotation,matched,
insertion_stamps_3,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_004_fabricated.wav,ai_004_fabricated.wav,phase7c1_collection_manifest_000025_ai_004_fabricated,data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,39.453,46.277,6.823999999999998,positive,external_timestamp_annotation,matched,
insertion_stamps_4,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_005_fabricated.wav,ai_005_fabricated.wav,phase7c1_collection_manifest_000033_ai_005_fabricated,data/phase7c1/raw/ai_fabricated/ai_005_fabricated.wav,42.59,49.433,6.842999999999996,positive,external_timestamp_annotation,matched,
insertion_stamps_5,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_006_fabricated.wav,ai_006_fabricated.wav,phase7c1_collection_manifest_000041_ai_006_fabricated,data/phase7c1/raw/ai_fabricated/ai_006_fabricated.wav,29.439,38.986,9.546999999999997,positive,external_timestamp_annotation,matched,
insertion_stamps_6,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_007_fabricated.wav,ai_007_fabricated.wav,phase7c1_collection_manifest_000049_ai_007_fabricated,data/phase7c1/raw/ai_fabricated/ai_007_fabricated.wav,45.753,54.448,8.695,positive,external_timestamp_annotation,matched,
insertion_stamps_7,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_008_fabricated.wav,ai_008_fabricated.wav,phase7c1_collection_manifest_000057_ai_008_fabricated,data/phase7c1/raw/ai_fabricated/ai_008_fabricated.wav,14.11,21.003,6.893000000000001,positive,external_timestamp_annotation,matched,
insertion_stamps_8,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_009_fabricated.wav,ai_009_fabricated.wav,phase7c1_collection_manifest_000065_ai_009_fabricated,data/phase7c1/raw/ai_fabricated/ai_009_fabricated.wav,6.078,15.785,9.707,positive,external_timestamp_annotation,matched,
insertion_stamps_9,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_010_fabricated.wav,ai_010_fabricated.wav,phase7c1_collection_manifest_000073_ai_010_fabricated,data/phase7c1/raw/ai_fabricated/ai_010_fabricated.wav,39.565,46.965,7.400000000000006,positive,external_timestamp_annotation,matched,
insertion_stamps_10,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_011_fabricated.wav,ai_011_fabricated.wav,phase7c1_collection_manifest_000081_ai_011_fabricated,data/phase7c1/raw/ai_fabricated/ai_011_fabricated.wav,30.108,36.664,6.556000000000001,positive,external_timestamp_annotation,matched,
insertion_stamps_11,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_012_fabricated.wav,ai_012_fabricated.wav,phase7c1_collection_manifest_000089_ai_012_fabricated,data/phase7c1/raw/ai_fabricated/ai_012_fabricated.wav,36.178,44.19,8.012,positive,external_timestamp_annotation,matched,
insertion_stamps_12,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_013_fabricated.wav,ai_013_fabricated.wav,phase7c1_collection_manifest_000097_ai_013_fabricated,data/phase7c1/raw/ai_fabricated/ai_013_fabricated.wav,23.7,31.661,7.961000000000002,positive,external_timestamp_annotation,matched,
insertion_stamps_13,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_014_fabricated.wav,ai_014_fabricated.wav,phase7c1_collection_manifest_000105_ai_014_fabricated,data/phase7c1/raw/ai_fabricated/ai_014_fabricated.wav,3.003,11.423,8.42,positive,external_timestamp_annotation,matched,
insertion_stamps_14,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_015_fabricated.wav,ai_015_fabricated.wav,phase7c1_collection_manifest_000113_ai_015_fabricated,data/phase7c1/raw/ai_fabricated/ai_015_fabricated.wav,15.256,24.972,9.716000000000001,positive,external_timestamp_annotation,matched,
